,name,code,class,market_cap,reg_day,per
0,신성델타테크,A065350,kosdaq,2845,2004/08/06,30.09
1,한독크린텍,A256150,kosdaq,1469,2019/09/05,17.66
2,오텍,A067170,kosdaq,2070,2003/11/14,49.81
3,코웨이,A021240,kospi,48634,2001/08/07,12.01
4,신일전자,A002700,kospi,1567,1975/09/30,19.51
5,경동나비엔,A009450,kospi,6843,1993/08/31,15.56
6,부방,A014470,kosdaq,2324,1994/02/25,-38.70
7,쿠쿠홈시스,A284740,kospi,9356,2018/01/11,12.56
8,위닉스,A044340,kosdaq,4057,2000/10/24,9.57
9,위니아딤채,A071460,kosdaq,1372,2016/07/14,11.09
10,유진로봇,A056080,kosdaq,1639,2001/11/13,-15.55
11,쿠쿠홀딩스,A192400,kospi,8962,2014/08/06,8.40
12,PN풍년,A024940,kosdaq,609,1995/01/04,26.36
13,파세코,A037070,kosdaq,3234,2000/01/04,22.83
14,자이글,A234920,kosdaq,533,2016/09/06,61.56
15,하츠,A066130,kosdaq,1446,2003/02/11,24.15
16,엔바이오니아,A317870,kosdaq,766,2019/10/24,-38.38
