,name,code,class,market_cap,reg_day,per
0,대동공업,A000490,kospi,2563,1975/06/27,12.54
1,레인보우로보틱스,A277810,kosdaq,4269,2021/02/03,-249.07
2,KC그린홀딩스,A009440,kospi,1080,1994/11/05,-2.92
3,대동기어,A008830,kosdaq,364,1991/05/17,15.58
4,동양물산,A002900,kospi,2354,1973/06/26,61.43
5,화성밸브,A039610,kosdaq,973,2000/03/16,78.57
6,로보스타,A090360,kosdaq,2944,2011/10/17,-22.27
7,혜인,A003010,kospi,1017,1988/09/20,19.37
8,진성티이씨,A036890,kosdaq,3485,2000/07/20,23.00
9,동일금속,A109860,kosdaq,906,2009/07/28,13.65
10,나라엠앤디,A051490,kosdaq,1512,2001/06/12,104.41
11,에코마이스터,A064510,kosdaq,382,2018/03/15,-2.47
12,기신정기,A092440,kospi,1737,2007/10/30,19.97
13,자비스,A254120,kosdaq,444,2016/12/02,-6.52
14,에이프로젠 KIC,A007460,kospi,3846,1995/07/08,-7.55
15,에너토크,A019990,kosdaq,829,2006/02/01,184.78
16,씨에스윈드,A112610,kospi,31080,2014/11/27,87.22
17,코메론,A049430,kosdaq,968,2001/01/16,8.00
18,삼익THK,A004380,kospi,2877,1989/09/26,64.62
19,넥스턴,A089140,kosdaq,2352,2006/11/01,-96.36
20,비에이치아이,A083650,kosdaq,1074,2005/12/02,23.74
21,수산중공업,A017550,kospi,3504,1991/08/30,86.53
22,신진에스엠,A138070,kosdaq,655,2011/11/28,-57.94
23,현대엘리베이,A017800,kospi,18632,1996/07/03,19.28
24,부스타,A008470,kosdaq,560,2011/02/23,10.26
25,대창단조,A015230,kospi,1106,1989/07/25,8.32
26,SNT에너지,A100840,kospi,1321,2008/02/22,13.50
27,디와이파워,A210540,kospi,2131,2015/01/15,8.39
28,큐로,A015590,kospi,1529,1989/05/27,112.17
29,화천기공,A000850,kospi,771,1999/11/18,17.07
30,디와이피엔에프,A104460,kosdaq,3107,2009/12/22,11.97
31,테라사이언스,A073640,kosdaq,1578,2004/01/06,-16.13
32,와이지-원,A019210,kosdaq,2385,1997/08/06,-7.00
33,3S,A060310,kosdaq,1165,2002/04/23,-39.23
34,광림,A014200,kosdaq,947,1993/07/07,-4.15
35,스맥,A099440,kosdaq,549,2009/05/26,-1.75
36,티에스아이,A277880,kosdaq,1928,2020/07/22,-108.33
37,수성,A084180,kosdaq,438,2005/12/16,-9.86
38,에쎈테크,A043340,kosdaq,900,2000/08/29,-250.00
39,TPC,A048770,kosdaq,619,2001/01/16,14.57
40,현대로템,A064350,kospi,21938,2013/10/30,61.85
41,스페코,A013810,kosdaq,1345,1997/11/03,14.78
42,디에스티,A033430,kosdaq,248,1998/05/25,-2.85
43,태웅,A044490,kosdaq,2501,2001/11/08,-2.67
44,엔케이,A085310,kospi,1060,2008/01/24,
45,비엠티,A086670,kosdaq,1059,2007/11/02,26.42
46,한국정밀기계,A101680,kosdaq,121,2009/05/19,-0.93
47,강원,A114190,kosdaq,454,2009/11/20,-1.62
48,포메탈,A119500,kosdaq,575,2010/09/17,32.55
49,뉴로스,A126870,kosdaq,795,2012/02/15,-1.17
50,맥스로텍,A141070,kosdaq,267,2012/11/16,-0.97
51,스타모빌리티,A158310,kosdaq,61,2013/04/03,-0.00
52,비디아이,A148140,kosdaq,1445,2017/11/09,-1.15
