,name,code,class,market_cap,reg_day,per
0,성도이엔지,A037350,kosdaq,1052,2000/01/11,1.18
1,DB하이텍1우,A000995,kospi,129,1975/12/12,30.70
2,피에스케이홀딩스,A031980,kosdaq,2372,1997/01/07,3.74
3,한미반도체,A042700,kospi,15184,2005/07/22,31.81
4,리노공업,A058470,kosdaq,25211,2001/12/18,45.53
5,미래산업,A025560,kospi,631,1996/11/22,-8.49
6,엑사이엔씨,A054940,kosdaq,554,2001/12/13,-72.61
7,아이원스,A114810,kosdaq,2326,2013/02/07,608.00
8,인텍플러스,A064290,kosdaq,3468,2011/01/05,37.52
9,피델릭스,A032580,kosdaq,528,1997/04/22,-8.92
10,타이거일렉,A219130,kosdaq,827,2015/09/25,18.69
11,하나머티리얼즈,A166090,kosdaq,8734,2017/04/28,22.95
12,큐에스아이,A066310,kosdaq,1382,2006/11/24,"1,043.75"
13,에프에스티,A036810,kosdaq,6527,2000/01/18,32.47
14,GST,A083450,kosdaq,2395,2006/02/01,15.15
15,코세스,A089890,kosdaq,1450,2006/11/08,23.06
16,월덱스,A101160,kosdaq,4656,2008/06/19,21.35
17,오킨스전자,A080580,kosdaq,5286,2014/12/24,"1,067.86"
18,마이크로컨텍솔,A098120,kosdaq,505,2008/09/23,45.04
19,티에스이,A131290,kosdaq,6803,2011/01/05,25.07
20,엠케이전자,A033160,kosdaq,2584,1997/11/10,9.34
21,하나마이크론,A067310,kosdaq,4014,2005/10/11,-22.50
22,삼성전자우,A005935,kospi,628685,1975/06/11,19.89
23,엔시트론,A101400,kosdaq,289,2009/03/31,-3.63
24,유진테크,A084370,kosdaq,11343,2006/01/17,325.66
25,픽셀플러스,A087600,kosdaq,661,2015/06/12,16.58
26,삼성전자,A005930,kospi,5134013,1975/06/11,22.39
27,해성디에스,A195870,kospi,5933,2016/06/24,19.78
28,네온테크,A306620,kosdaq,1602,2018/10/31,-32.61
29,디아이,A003160,kospi,2394,1996/07/31,43.93
30,네패스,A033640,kosdaq,9546,1999/12/14,-19.57
31,어보브반도체,A102120,kosdaq,2427,2009/06/05,17.29
32,한국전자홀딩스,A006200,kospi,723,1979/11/30,-12.88
33,솔브레인홀딩스,A036830,kosdaq,8983,2000/01/18,0.41
34,KMH하이텍,A052900,kosdaq,1036,2005/01/18,66.97
35,젬백스,A082270,kosdaq,9726,2005/06/24,582.14
36,신성이엔지,A011930,kospi,6891,1996/07/31,-45.47
37,SK하이닉스,A000660,kospi,1041043,1996/12/26,21.89
38,미코,A059090,kosdaq,4572,2002/01/15,39.35
39,바른전자,A064520,kosdaq,741,2002/12/04,-3.74
40,엘오티베큠,A083310,kosdaq,3088,2005/10/05,74.79
41,케이엠,A083550,kosdaq,1152,2005/12/20,3.68
42,이엠네트웍스,A087730,kosdaq,266,2008/04/04,-0.27
43,테스나,A131970,kosdaq,7454,2013/10/22,22.46
44,테라셈,A182690,kosdaq,305,2014/10/30,-9.66
45,제너셈,A217190,kosdaq,474,2015/09/25,-44.63
46,나인테크,A267320,kosdaq,1923,2017/06/22,-147.88
47,피에스케이,A319660,kosdaq,6497,2019/05/10,29.18
48,테크윙,A089030,kosdaq,4517,2011/11/10,14.04
49,에이팩트,A200470,kosdaq,1227,2014/12/26,18.44
50,유니퀘스트,A077500,kospi,3225,2004/08/05,13.44
51,주성엔지니어링,A036930,kosdaq,5525,1999/12/24,-67.35
52,케이씨텍,A281820,kospi,6102,2017/12/05,13.71
