,name,code,class,market_cap,reg_day,per
0,서연,A007860,kospi,5072,1989/09/09,-94.74
1,삼기,A122350,kosdaq,1647,2010/03/19,-21.91
2,유라테크,A048430,kosdaq,1400,2001/01/11,31.56
3,오스템,A031510,kosdaq,1105,1997/02/12,46.96
4,골든센츄리,A900280,kosdaq,656,2016/10/19,2.77
5,대동금속,A020400,kosdaq,290,1993/07/30,17.06
6,삼보모터스,A053700,kosdaq,1281,2001/11/06,-20.49
7,서연이화,A200880,kospi,2743,2014/08/08,-6.65
8,서연탑메탈,A019770,kosdaq,1497,2011/06/24,41.86
9,대성엘텍,A025440,kosdaq,1352,1995/05/22,-335.00
10,태양금속우,A004105,kospi,101,1976/05/25,-12.93
11,우리산업홀딩스,A072470,kosdaq,1077,2003/10/28,53.77
12,에스엘,A005850,kospi,11593,1988/11/08,17.66
13,인팩,A023810,kospi,821,2004/09/21,24.36
14,금호에이치티,A214330,kospi,2724,2015/11/11,-20.71
15,세방전지,A004490,kospi,11074,1987/11/28,16.71
16,넥센우,A005725,kospi,108,1987/12/19,15.84
17,평화홀딩스,A010770,kospi,546,1986/03/31,-17.62
18,계양전기,A012200,kospi,1464,1988/07/06,15.27
19,아진산업,A013310,kosdaq,1527,2015/12/22,-109.31
20,케이엔더블유,A105330,kosdaq,731,2009/09/29,-5.56
21,영신금속,A007530,kosdaq,475,1994/08/05,-22.84
22,GH신소재,A130500,kosdaq,682,2013/08/02,"1,240.00"
23,네오오토,A212560,kosdaq,739,2015/11/18,20.87
24,넥센,A005720,kospi,2541,1987/12/19,24.97
25,에코플라스틱,A038110,kosdaq,832,2000/03/23,-13.28
26,DRB동일,A004840,kospi,1311,1976/05/21,56.24
27,풍강,A093380,kosdaq,416,2007/06/01,33.68
28,네오티스,A085910,kosdaq,541,2007/10/01,254.71
29,SJM홀딩스,A025530,kospi,554,1997/02/12,18.46
30,솔루에타,A154040,kosdaq,554,2013/12/27,-5.65
31,계양전기우,A012205,kospi,98,1988/07/06,23.88
32,삼성공조,A006660,kospi,784,1987/11/28,14.53
33,글로벌에스엠,A900070,kosdaq,674,2009/12/23,
34,넥센타이어,A002350,kospi,7520,1976/05/19,-47.83
35,넥센타이어1우B,A002355,kospi,194,1976/05/19,-18.51
36,한국타이어앤테크놀로지,A161390,kospi,58903,2012/10/04,15.82
37,로스웰,A900260,kosdaq,448,2016/06/30,-1.99
38,태양금속,A004100,kospi,631,1976/05/25,-7.26
39,태원물산,A001420,kospi,347,1975/06/24,"-1,140.00"
40,세동,A053060,kosdaq,300,2001/08/17,-2.98
41,동양피스톤,A092780,kospi,732,2017/12/08,-10.07
42,트루윈,A105550,kosdaq,972,2014/07/11,104.42
43,모베이스전자,A012860,kosdaq,1780,1994/10/26,-9.41
44,SG충방,A001380,kospi,1954,1976/06/29,-85.20
45,한국앤컴퍼니,A000240,kospi,16697,1968/12/27,9.85
46,케이비아이동국실업,A001620,kospi,600,1990/09/15,-5.14
47,일정실업,A008500,kospi,194,1994/08/12,-4.60
48,지코,A010580,kospi,198,1994/12/27,-1.27
49,유니크,A011320,kosdaq,1584,1993/12/29,-40.39
50,세원정공,A021820,kospi,809,1996/07/03,4.90
51,한국아트라스비엑스,A023890,kosdaq,5691,1994/11/23,13.31
52,세원물산,A024830,kosdaq,524,1994/12/29,2.86
53,체시스,A033250,kospi,512,1999/08/11,-5.88
54,럭슬,A033600,kosdaq,95,2000/11/21,-0.23
55,코다코,A046070,kosdaq,512,2000/12/26,-2.94
56,에이팸,A073070,kosdaq,584,2004/01/28,-6.48
57,OQP,A078590,kosdaq,3062,2005/10/27,-1.59
58,에스제이케이,A080440,kosdaq,66,2005/05/13,-1.44
59,이노와이즈,A086250,kosdaq,433,2006/11/10,-5.00
60,평화산업,A090080,kospi,601,2006/06/02,-7.71
61,동아타이어,A282690,kospi,1559,2017/11/29,11.69
62,에스앤씨엔진그룹,A900080,kosdaq,244,2009/12/04,-0.51
63,뉴프라이드,A900100,kosdaq,898,2010/04/21,-2.52
64,대원산업,A005710,kosdaq,1679,1993/06/21,9.29
65,코프라,A126600,kosdaq,1296,2010/11/12,10.18
66,새론오토모티브,A075180,kospi,1140,2005/10/21,18.50
67,우신시스템,A017370,kospi,1027,2002/05/28,-8.35
68,캐스텍코리아,A071850,kosdaq,605,2014/05/27,-3.30
69,엠에스오토텍,A123040,kosdaq,2535,2010/08/06,-2.71
70,경창산업,A024910,kosdaq,1044,1994/12/29,21.75
71,대성파인텍,A104040,kosdaq,920,2009/01/23,57.65
72,SJM,A123700,kospi,676,2010/05/31,25.17
73,금호타이어,A073240,kospi,10945,2005/02/17,-13.18
74,지엠비코리아,A013870,kospi,1425,2012/11/20,-17.29
75,대유에이텍,A002880,kospi,1192,1977/02/18,-58.42
76,일지테크,A019540,kosdaq,529,1992/11/03,-4.20
77,THE MIDONG,A161570,kosdaq,285,2013/11/13,-3.65
78,대유에이피,A290120,kosdaq,770,2018/12/07,13.34
79,한일단조,A024740,kosdaq,607,1996/11/29,-17.96
80,한라홀딩스,A060980,kospi,4236,2010/05/19,9.62
81,티에이치엔,A019180,kospi,591,1996/07/31,-3.65
82,모토닉,A009680,kospi,4174,1994/01/14,28.11
83,동원금속,A018500,kospi,533,1995/11/10,-2.52
