,name,code,class,market_cap,reg_day,per
0,에이피티씨,A089970,kosdaq,"5,985",2018/08/23,25.32
1,피에스케이홀딩스,A031980,kosdaq,"1,956",1997/01/07,3.08
2,에스앤에스텍,A101490,kosdaq,"7,562",2009/04/14,65.40
3,유니셈,A036200,kosdaq,"4,278",1999/12/10,20.34
4,시그네틱스,A033170,kosdaq,"1,204",2010/11/26,-3.22
5,덕산하이메탈,A077360,kosdaq,"2,885",2005/10/14,18.90
6,성우테크론,A045300,kosdaq,537,2001/12/18,14.31
7,솔브레인,A357780,kosdaq,"24,020",2020/08/06,19.09
8,KMH하이텍,A052900,kosdaq,"1,001",2005/01/18,64.70
9,원익IPS,A240810,kosdaq,"27,781",2016/05/02,28.40
10,와이아이케이,A232140,kosdaq,"5,627",2015/12/24,26.82
11,제우스,A079370,kosdaq,"2,928",2006/02/01,16.27
12,픽셀플러스,A087600,kosdaq,658,2015/06/12,16.52
13,케이씨텍,A281820,kospi,"6,008",2017/12/05,13.50
14,유진테크,A084370,kosdaq,"11,172",2006/01/17,320.72
15,씨앤지하이테크,A264660,kosdaq,"1,160",2018/01/25,11.90
16,테크윙,A089030,kosdaq,"4,391",2011/11/10,13.65
17,서플러스글로벌,A140070,kosdaq,"2,082",2017/01/25,18.10
18,앤씨앤,A092600,kosdaq,"1,008",2007/06/26,-6.33
19,피에스케이,A319660,kosdaq,"5,980",2019/05/10,26.86
20,ISC,A095340,kosdaq,"3,650",2007/10/01,50.56
21,넥스틴,A348210,kosdaq,"7,498",2020/10/08,45.24
22,원익홀딩스,A030530,kosdaq,"5,422",1996/09/24,6.90
23,다믈멀티미디어,A093640,kosdaq,433,2007/10/19,-32.62
24,아이텍,A119830,kosdaq,"1,299",2010/10/26,-19.67
25,알파홀딩스,A117670,kosdaq,987,2010/09/17,-21.38
26,월덱스,A101160,kosdaq,"4,351",2008/06/19,19.95
27,에이디테크놀로지,A200710,kosdaq,"3,509",2014/12/16,92.63
28,제이티,A089790,kosdaq,838,2006/10/27,16.08
29,엑사이엔씨,A054940,kosdaq,542,2001/12/13,-71.09
30,텔레칩스,A054450,kosdaq,"2,255",2004/12/10,-23.96
31,오킨스전자,A080580,kosdaq,"5,383",2014/12/24,"1,087.50"
32,해성디에스,A195870,kospi,"5,831",2016/06/24,19.44
33,러셀,A217500,kosdaq,"1,944",2015/06/16,101.83
34,칩스앤미디어,A094360,kosdaq,"1,581",2015/08/05,82.00
35,피에스엠씨,A024850,kosdaq,660,2001/01/18,-30.00
36,디아이,A003160,kospi,"2,227",1996/07/31,40.87
37,삼성전자,A005930,kospi,"5,062,376",1975/06/11,22.08
38,GST,A083450,kosdaq,"2,162",2006/02/01,13.68
39,이오테크닉스,A039030,kosdaq,"15,892",2000/08/24,74.44
40,원익QnC,A074600,kosdaq,"6,480",2003/12/12,25.10
41,유니테스트,A086390,kosdaq,"4,882",2006/12/05,296.15
42,코디엠,A224060,kosdaq,687,2015/12/29,-3.95
43,SFA반도체,A036540,kosdaq,"13,469",2001/05/02,80.29
44,엘오티베큠,A083310,kosdaq,"2,934",2005/10/05,71.07
45,오션브릿지,A241790,kosdaq,"1,720",2016/12/01,12.10
46,유니퀘스트,A077500,kospi,"3,170",2004/08/05,13.21
47,예스티,A122640,kosdaq,"2,444",2015/12/16,725.00
48,한미반도체,A042700,kospi,"13,107",2005/07/22,27.46
49,WI,A073570,kosdaq,"1,179",2004/01/06,-34.43
50,싸이맥스,A160980,kosdaq,"2,442",2015/06/17,10.58
51,솔브레인홀딩스,A036830,kosdaq,"8,983",2000/01/18,0.41
52,엑시콘,A092870,kosdaq,"1,525",2015/10/22,12.76
53,케이엠,A083550,kosdaq,"1,141",2005/12/20,3.65
54,삼성전자우,A005935,kospi,"613,051",1975/06/11,19.40
55,엠케이전자,A033160,kosdaq,"2,475",1997/11/10,8.94
56,에이티세미콘,A089530,kosdaq,512,2011/11/11,-1.11
57,에프에스티,A036810,kosdaq,"6,320",2000/01/18,31.44
58,미코,A059090,kosdaq,"4,572",2002/01/15,39.35
59,에스티아이,A039440,kosdaq,"3,221",2002/02/28,29.54
60,피델릭스,A032580,kosdaq,521,1997/04/22,-8.81
61,한양디지텍,A078350,kosdaq,761,2004/05/14,13.47
62,아이에이네트웍스,A123010,kosdaq,"1,153",2016/07/20,-23.97
63,하나마이크론,A067310,kosdaq,"3,807",2005/10/11,-21.34
64,유니트론텍,A142210,kosdaq,897,2016/02/02,57.60
65,뉴파워프라즈마,A144960,kosdaq,"2,823",2016/11/30,8.61
66,코미코,A183300,kosdaq,"6,844",2017/03/23,27.71
67,아진엑스텍,A059120,kosdaq,692,2014/07/24,55.47
68,에이팩트,A200470,kosdaq,"1,187",2014/12/26,17.84
