date,open,high,low,close,volume,korcom,forvol,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120,ma5,ma10,ma20,ma60,ma120,EMAFast,EMASlow,MACD,MACDSignal,MACDiff,RSI,upper_bb,mid_bb,lower_bb,fast_k,slow_k,slow_d
20110401,77300,77400,76000,76400,213434,-46367,653944,560.7138307550462,3068.892308309303,2901.7710109517834,,,77440.0,75270.0,73815.0,,,75334.25502035132,73968.7141682854,1365.5408520659255,950.9244711162088,414.61638094971715,57.51295336787565,79618.54202190357,2901.7710109517834,68011.45797809643,71.05263157894737,77.63822358855492,77.0175253597019
20110404,77000,78000,76300,76700,122437,-18167,654493,591.269819963778,2529.1105155765727,2942.0061182805425,,,77220.0,75940.0,74040.0,,,75545.7783969656,74193.35593706154,1352.4224599040608,1031.3235981722853,321.0988617317755,67.45562130177515,79924.01223656109,2942.0061182805425,68155.98776343891,72.4770642201835,75.91706072793049,76.65053827047484
20110405,76900,77000,74400,75700,237967,-25113,654561,724.9827584156732,1066.2551289442881,2963.933197627799,,,76780.0,76610.0,74110.0,,,75569.63926437985,74316.26919313431,1253.370071245532,1075.776917221759,177.59315402377297,63.687150837988824,80037.8663952556,2963.933197627799,68182.1336047444,63.302752293577974,71.7110263747388,75.00353900534779
20110406,76300,80000,75700,79000,518298,122963,672111,1116.064514264296,1053.8026380684382,3141.094554450751,,,77020.0,77050.0,74395.0,,,76099.91567466503,74695.52481164919,1404.3908630158548,1141.5518186263564,262.83904438949844,74.24242424242425,80677.1891089015,3141.094554450751,68112.8108910985,91.07142857142857,78.16578786148297,76.05783332840541
20110407,79900,82900,78900,82900,477569,21524,781416,2624.957142507283,2023.0916934237064,3642.591797058817,,,78140.0,77690.0,74845.0,,,77150.3207265297,75355.31375896878,1795.0069675609266,1272.3257362308432,522.6812313300834,77.43362831858406,82130.18359411764,3642.591797058817,67559.81640588236,100.0,85.44483147077949,79.1872509783416
20110408,82800,85900,81900,84200,360461,-17242,779454,3346.0424384636854,2651.8107021429714,4174.67363993884,,,79700.0,78570.0,75310.0,,,78238.60227988765,76062.10336594997,2176.4989139376707,1453.2521123439194,723.2468015937511,80.34188034188034,83659.34727987768,4174.67363993884,66960.65272012232,85.21739130434783,85.369011326031,81.24802138541517
20110411,84000,85700,83400,84200,209438,-3289,747414,3346.0424384636854,3119.759606123523,4574.874315213505,,,81200.0,79210.0,75845.0,,,79158.39755138585,76708.63864174523,2449.75890964063,1652.6343508478415,797.1245587927882,83.92857142857143,84994.74863042701,4574.874315213505,66695.25136957299,85.21739130434783,85.31846831638718,82.6049176330409
20110412,85200,88400,84800,87800,347292,29425,759315,2828.709953317943,3994.996871087636,5106.904639798972,,,83620.0,80200.0,76695.0,,,80491.13261657764,77585.10958636472,2906.023030212921,1903.3934627051533,1002.6295675077664,82.3529411764706,86908.80927959795,5106.904639798972,66481.19072040205,95.71428571428572,88.78387801995217,84.66465266523514
20110413,88000,94500,87100,94500,650373,47962,725218,4218.720185079831,5748.3997773293395,6228.129735321859,,,86720.0,81870.0,77880.0,,,82650.80996511728,78915.1901072145,3735.6198579027696,2269.933901083013,1465.6859568197574,85.71428571428572,90336.25947064374,6228.129735321859,65423.74052935629,100.0,92.52268405641836,87.2840656185143
20110414,97300,108500,97200,108500,1271165,-192811,666143,9139.934354250036,9598.796799599417,8845.975073444442,,,91840.0,84990.0,79835.0,,,86634.58061821341,81230.99413807584,5403.586480137572,2896.79461076967,2506.791869367902,93.43832020997377,97526.95014688886,8845.975073444442,62143.04985311112,100.0,95.01516657432859,89.8611446294804
20110415,106000,115500,102000,110000,1659745,-136493,662454,10544.951398655188,11662.696943674737,10746.622725303076,,,97000.0,88350.0,81810.0,,,90234.59175809477,83473.5149619134,6761.076796181368,3669.779481993403,3091.2973141879656,93.27956989247312,103303.24545060618,10746.622725303076,60316.754549393845,86.61800486618006,92.21607982722969,90.6461322397464
20110418,111500,126000,109000,123000,1459911,-19200,619863,12385.895203819544,14868.476720901843,13650.069596892195,,,104760.0,92980.0,84460.0,,,95281.74820624666,86542.6792386212,8739.068967625455,4683.772161865573,4055.2968057598814,95.00998003992015,111760.13919378439,13650.069596892195,57159.86080621561,94.18604651162792,92.8727405255177,91.38834080770249
20110419,120000,132500,116000,121000,2095138,-162705,532257,10224.480426897007,15786.161661404585,15309.225976514974,,,111400.0,97510.0,87060.0,,,99242.60196247256,89208.70257499523,10033.899387477315,5753.911403711094,4279.987983766221,91.53846153846152,117678.45195302994,15309.225976514974,56441.548046970056,80.20654044750431,88.65065181425261,90.47577305075829
20110420,125500,127000,116500,119500,844497,-40296,527149,5961.5434243155505,15712.873702795425,16558.607278391526,,,116400.0,101560.0,89305.0,,,102361.92328117817,91544.69004136637,10817.233239811816,6766.6619262174645,4050.571313594353,89.81132075471699,122422.21455678304,16558.607278391526,56187.78544321696,77.62478485370052,84.97535004936988,88.6422923424447
20110421,121000,126000,116000,122000,974833,27633,510148,4694.677837722201,15445.58512973853,17727.42508093042,,,119100.0,105470.0,91580.0,,,105385.46113885881,93886.19965277331,11499.261486085496,7713.246259382548,3786.01522670295,91.75824175824177,127034.85016186086,17727.42508093042,56125.14983813916,81.51408450704227,83.82159219439096,87.03538856857973
20110422,124000,129000,122000,126000,765675,13587,472533,2181.742422927143,14764.839992360226,18815.09766118691,,,122300.0,109650.0,94110.0,,,108558.96715246188,96348.30274568537,12210.66440677653,8612.778864074757,3597.885542701773,92.28130360205832,131740.19532237382,18815.09766118691,56479.80467762617,87.8731343283582,85.17210832588226,86.41429419462393
20110425,129500,144500,127000,144500,1340060,8969,486881,9205.433178292044,15437.668217706974,21366.854588357204,,,126600.0,115680.0,97445.0,,,114091.36382035352,100030.44896899203,14060.914851361491,9702.453523557358,4358.461327804134,95.38258575197891,140178.70917671444,21366.854588357204,54711.290823285584,100.0,90.11474397553923,87.64777872559355
20110426,148500,164500,148000,153500,2269957,-105471,462600,13451.393979807446,16138.850640612549,24088.62542778233,,,133100.0,122250.0,101225.0,,,120157.02055835615,104109.47805718078,16047.542501175369,10971.515539438236,5076.026961737132,95.70552147239263,149402.25085556463,24088.62542778233,53047.74914443534,86.43649815043156,88.88866119181023,88.06140649839605
20110427,158500,162000,131000,136000,2480026,-121898,466222,11607.75602776006,13606.616037795733,24593.13471276083,,,136400.0,126400.0,104135.0,,,122595.35089068153,106536.9371117189,16058.413778962627,11988.923548539082,4069.490230423544,77.9179810725552,153321.26942552163,24593.13471276083,54948.73057447834,64.24090338770388,80.67273816218844,85.59851592538126
20110428,134000,143500,133000,142000,1267237,1661,456278,9140.02188181188,12892.342688588447,25100.57967458125,,,140400.0,129750.0,107370.0,,,125581.66486228975,109230.82517952648,16350.83968276328,12861.326230613846,3489.5134521494365,78.95791583166333,157571.1593491625,25100.57967458125,57168.8406508375,70.93023255813954,77.42523530294552,82.87408821966622
20110429,146000,147500,127000,130000,1307550,-21513,376649,7941.032678436729,11100.112612041377,24505.213730959415,,,141200.0,131750.0,110050.0,,,126261.59817483992,110805.54349712798,15456.054677711943,13380.28117849912,2075.7734992128258,70.48300536672629,159060.42746191882,24505.213730959415,61039.57253808117,48.736998514115896,67.8624877607944,77.87022038183079
20110502,130500,137000,124000,136000,1049505,25560,421006,7962.411694957753,10755.115062146013,23869.924067746884,,,139500.0,133050.0,113015.0,,,127760.16714003714,112712.45727895507,15047.709861082098,13713.771674751128,1333.9381863309698,71.1033274956217,160754.84813549375,23869.924067746884,65275.151864506224,54.40000000000001,63.37499123177112,73.03847667635303
20110503,135500,138500,130000,133000,556962,-546,414674,3979.949748426479,9985.614653089711,22625.529828050483,,,135400.0,134250.0,115880.0,,,128566.45611701795,114245.50343182027,14320.9526851977,13835.209263412593,485.7434217851097,67.42081447963801,161131.05965610096,22625.529828050483,70628.94034389903,43.24324324324325,56.6644079620386,67.58045327797032
20110504,133000,137500,131000,131000,446695,1550,410662,4317.406628984581,8814.193099768123,21179.67421845771,,,134400.0,135400.0,118480.0,,,128940.91069052431,115509.68589645912,13431.224794065214,13754.41163150642,-323.18683744120426,61.421319796954315,160839.34843691546,21179.67421845771,76120.65156308457,30.927835051546392,48.08554980797291,61.08215172951011
20110506,132000,137500,127500,137000,578035,16187,383185,2727.636339397171,7598.684096605149,19877.48160607884,,,133400.0,136900.0,121185.0,,,130180.94769681989,117128.96814231273,13051.979554507168,13613.924189493435,-561.9446349862683,63.10679611650486,160939.9632121577,19877.48160607884,81430.03678784231,43.29896907216496,46.49002283190544,56.218108568133886
20110509,139500,145000,137500,141500,724343,-3963,376909,3600.0,6750.74070010099,18415.930603692075,,,135700.0,138450.0,124050.0,,,131922.55083998106,118962.97178876484,12959.57905121622,13483.05439677233,-523.4753455561076,59.788359788359784,160881.86120738415,18415.930603692075,87218.13879261585,52.57731958762887,48.5191218048524,53.65177957827178
20110511,146000,147000,139500,142000,516094,248,386803,4409.081537009721,6565.820588471786,16355.531174498814,,,136900.0,138200.0,126940.0,,,133473.08619432038,120694.54495587155,12778.541238448859,13342.151106130383,-563.6098676815236,61.29032258064516,159651.06234899766,16355.531174498814,94228.93765100236,47.058823529411754,48.03235570434314,51.77863825349999
20110512,139000,141500,135000,135500,367317,-2987,352936,4066.939881532551,4146.082488325576,13743.430248668003,,,137400.0,136400.0,129325.0,,,133784.94607248466,121806.18126455287,11978.76480793176,13069.472826280087,-1090.7080183483304,58.163265306122454,156811.86049733602,13743.430248668003,101838.13950266401,28.395061728395056,41.486590967737044,48.34795578405464
