date,open,high,low,close,volume,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
20110401,81200,84000,81100,84000,1366606,5.76,1.12,2304,40014,4524.35,128.7,120.04,673.08,397.0,-11093.0,-3398.0,12764.0
20110404,85000,85600,83900,84600,1026111,5.76,1.12,2304,40014,4524.35,128.7,120.04,673.08,397.0,-11093.0,-3398.0,12764.0
20110405,84900,85400,82600,84900,776413,5.76,1.12,2304,40014,4524.35,128.7,120.04,673.08,397.0,-11093.0,-3398.0,12764.0
20110406,84200,84500,81700,82000,1117557,5.76,1.12,2304,40014,4524.35,128.7,120.04,673.08,397.0,-11093.0,-3398.0,12764.0
20110407,82600,83900,81200,81300,727943,5.76,1.12,2304,40014,4524.35,128.7,120.04,673.08,397.0,-11093.0,-3398.0,12764.0
20110408,81000,83600,81000,83000,913233,5.76,1.12,2304,40014,4524.35,128.7,120.04,673.08,397.0,-11093.0,-3398.0,12764.0
20110411,82900,84000,81400,81500,547549,5.76,1.12,2304,40014,4524.35,128.7,120.04,673.08,397.0,-11093.0,-3398.0,12764.0
20110412,81200,81300,79200,79300,679948,5.76,1.12,2304,40014,4524.35,128.7,120.04,673.08,397.0,-11093.0,-3398.0,12764.0
20110413,79500,79900,77500,79700,982665,5.76,1.12,2304,40014,4524.35,128.7,120.04,673.08,397.0,-11093.0,-3398.0,12764.0
20110414,79700,80000,77800,80000,836291,5.76,1.12,2304,40014,4524.35,128.7,120.04,673.08,397.0,-11093.0,-3398.0,12764.0
20110415,80700,83500,80400,81900,1606986,5.76,1.12,2304,40014,4524.35,128.7,120.04,673.08,397.0,-11093.0,-3398.0,12764.0
20110418,82500,83100,80100,80500,819210,5.76,1.12,2304,40014,4524.35,128.7,120.04,673.08,397.0,-11093.0,-3398.0,12764.0
20110419,78800,79300,77200,77600,1212594,5.76,1.12,2304,40014,4524.35,128.7,120.04,673.08,397.0,-11093.0,-3398.0,12764.0
20110420,78800,84900,78600,84500,2078562,5.76,1.12,2304,40014,4524.35,128.7,120.04,673.08,397.0,-11093.0,-3398.0,12764.0
