date,kospi,dollar,euro,jap,dollaridx,cny,gold,wti,nasdaq,dowjones,eurostock,nikkei,hangsen,usa2,usa5,usa10,usa30
20110401,"2,121.01","1,087.05","1,546.99",12.9319,76.083,166.01,"1,428.10",107.94,"2,789.60","1,332.41","2,323.67","9,708.39","23,801.90",109.02,116.65,118.97,120.38
20110404,"2,115.87","1,088.45","1,547.83",12.9454,76.159,166.43,"1,432.20",108.47,"2,789.19","1,332.87","2,323.67","9,718.89","24,150.58",109.08,116.91,119.22,120.38
20110405,"2,130.43","1,087.50","1,546.64",12.8024,76.111,166.09,"1,451.80",108.34,"2,791.19","1,332.63","2,323.67","9,615.55","24,150.58",108.97,116.55,118.77,119.84
20110406,"2,126.71","1,085.85","1,556.07",12.7037,75.757,165.89,"1,457.70",108.83,"2,799.82","1,335.54","2,323.67","9,584.37","24,285.05",108.95,116.35,118.38,118.97
20110407,"2,122.14","1,087.60","1,555.65",12.8066,75.81,166.47,"1,458.50",110.3,"2,796.14","1,333.51","2,323.67","9,590.93","24,281.80",109.04,116.55,118.47,118.66
20110408,"2,127.97","1,082.50","1,567.57",12.7774,75.273,165.63,"1,473.40",112.79,"2,780.41","1,328.17","2,323.67","9,768.08","24,396.07",109.01,116.45,118.38,118.53
20110411,"2,122.39","1,088.25","1,571.27",12.8536,75.282,166.44,"1,467.40",109.92,"2,771.51","1,324.46","2,323.67","9,719.70","24,303.07",108.99,116.48,118.45,118.5
20110412,"2,089.40","1,092.00","1,580.78",13.0528,75.065,167.16,"1,452.90",106.25,"2,744.79","1,314.16","2,323.67","9,555.26","23,976.37",109.15,116.95,119.09,119.34
20110413,"2,121.92","1,086.55","1,569.25",12.9591,75.19,166.57,"1,454.90",107.11,"2,761.52","1,314.41","2,323.67","9,641.18","24,135.03",109.2,117.13,119.39,119.81
20110414,"2,141.06","1,086.30","1,573.62",13.0111,74.888,166.25,"1,471.70",108.11,"2,760.22","1,314.52","2,323.67","9,653.92","24,014.00",109.13,116.93,119.2,119.69
20110415,"2,140.50","1,088.00","1,570.20",13.0879,75.028,166.55,"1,485.30",109.66,"2,764.65","1,319.68","2,323.67","9,591.52","24,008.07",109.29,117.4,119.81,120.81
20110418,"2,137.72","1,088.50","1,549.37",13.1668,75.73,166.72,"1,492.30",107.12,"2,735.38","1,305.14","2,323.67","9,556.65","23,830.31",109.37,117.75,120.19,121.16
20110419,"2,122.68","1,085.45","1,556.26",13.1442,75.249,166.13,"1,494.50",108.15,"2,744.97","1,312.62","2,323.67","9,441.03","23,520.62",109.38,117.75,120.25,121.47
20110420,"2,169.91","1,078.70","1,566.11",13.0807,74.567,165.12,"1,498.30",111.45,"2,802.51","1,330.36","2,323.67","9,606.82","23,896.10",109.35,117.49,119.91,121
20110421,"2,198.54","1,080.95","1,573.00",13.2073,74.18,166.31,"1,503.20",112.29,"2,820.16","1,337.38","2,323.67","9,685.77","24,138.31",109.37,117.51,119.98,121.03
20110422,"2,197.82","1,081.05","1,573.57",13.2085,74.28,166.13,"1,503.20",112.29,"2,820.16","1,337.38","2,323.67","9,682.21","24,138.31",109.37,117.51,119.98,120.99
20110425,"2,216.00","1,082.28","1,578.07",13.2219,74.181,165.8,"1,508.60",112.28,"2,825.88","1,335.25","2,323.67","9,671.96","24,138.31",109.43,117.77,120.33,121.5
20110426,"2,206.30","1,083.00","1,585.84",13.2851,74.025,166.03,"1,503.00",112.21,"2,847.54","1,347.24","2,323.67","9,558.69","24,007.38",109.48,117.99,120.67,122.16
20110427,"2,206.70","1,077.55","1,592.40",13.1065,73.691,165.63,"1,516.70",112.76,"2,869.88","1,355.66","2,323.67","9,691.84","23,892.84",109.48,117.96,120.42,121.38
20110428,"2,208.35","1,073.40","1,591.21",13.1698,73.311,165.17,"1,530.80",112.86,"2,872.53","1,360.48","2,323.67","9,849.74","23,805.63",109.55,118.35,120.95,122.12
20110429,"2,192.36","1,068.50","1,581.59",13.154,73.107,164.61,"1,556.00",113.93,"2,873.54","1,363.61","2,323.67","9,849.74","23,720.81",109.56,118.47,121.14,122.38
20110502,"2,228.96","1,065.95","1,580.33",13.1242,73.139,164.18,"1,556.70",113.52,"2,864.08","1,361.22","2,323.67","10,004.20","23,720.81",109.59,118.49,121.23,122.59
20110503,"2,200.73","1,073.50","1,591.62",13.258,73.315,165.23,"1,540.10",111.05,"2,841.62","1,356.62","2,323.67","10,004.20","23,633.25",109.61,118.59,121.44,123.09
20110504,"2,180.64","1,076.75","1,596.23",13.3617,73.213,165.82,"1,514.90",109.24,"2,828.23","1,347.32","2,323.67","10,004.20","23,323.91",109.62,118.64,121.64,123.53
20110506,"2,147.45","1,085.55","1,553.47",13.4633,75.08,167.18,"1,491.20",97.18,"2,827.56","1,340.20","2,323.67","9,859.20","23,159.14",109.7,119.04,122.28,124.31
20110509,"2,139.17","1,081.50","1,553.47",13.4725,74.9,166.54,"1,502.90",102.55,"2,843.25","1,346.29","2,323.67","9,794.38","23,336.00",109.73,119.19,122.47,124.44
20110511,"2,166.63","1,076.50","1,528.41",13.2762,75.517,165.82,"1,501.10",98.21,"2,845.06","1,342.08","2,323.67","9,864.26","23,291.80",109.72,119.15,122.42,124.41
