day,cur_pr,high_pr,low_pr,clo_pr,pr_diff,acc_vol,for_stor,for_stor_diff,for_perc,com_buy_vol,oot_cur_pr,oot_high_pr,oot_low_pr,oot_clo_pr,oot_pr_diff,oot_vol
20210326,141600,141700,140800,141400,-800,89081,4378735,-22814,19.97,-6465,141300,141300,141200,141300,-100,367
20210325,141300,142300,140500,142200,500,50764,4400049,-1980,20.06,-1358,142200,142200,142100,142200,0,236
20210324,142000,142700,141200,141700,1000,64382,4402029,2807,20.07,-3313,141600,141900,141600,141800,100,346
20210323,145100,146200,142700,142700,2200,82394,4399015,-11988,20.06,-3217,142800,142800,142800,142800,100,597
20210322,144600,145000,143200,144900,300,62095,4411003,1632,20.11,1796,145200,145200,144800,144900,0,673
20210319,142300,144600,141900,144600,700,58455,4407835,11098,20.1,-5018,144400,144600,144300,144600,0,301
20210318,144000,144800,143500,143900,1100,76308,4394727,7506,20.04,-56,144400,144400,143700,143800,-100,608
20210317,144000,144500,142100,142800,1200,88427,4386717,-17405,20.0,-6910,142900,143000,142700,142800,0,290
20210316,142900,144500,142800,144000,1700,84464,4404122,-4914,20.08,5372,144100,144200,144000,144200,200,408
20210315,142200,143300,141200,142300,0,54316,4409036,-2508,20.11,-93,142300,142500,142100,142400,100,331
20210312,141000,142700,140500,142300,2300,88670,4411544,5664,20.12,6385,142500,142500,141700,141700,-600,833
20210311,140000,141200,139700,140000,300,69453,4405880,7089,20.09,-7637,140100,140300,140100,140300,300,339
20210310,142900,143000,139500,139700,1900,68940,4398763,8615,20.06,-13746,139500,139500,139200,139200,-500,1431
20210309,141200,142500,138700,141600,0,135203,4390148,8720,20.02,-14945,141600,141600,141300,141300,-300,927
20210308,145500,145900,140700,141600,3700,118497,4381428,-396,19.98,-34469,141500,141500,140500,140500,-1100,1541
20210305,143300,145800,142800,145300,500,111980,4381824,6232,19.98,9251,145200,145500,145200,145300,0,575
20210304,140000,145400,139300,144800,3700,164415,4375580,23343,19.95,9235,144800,145000,144700,144700,-100,807
20210303,139400,141300,139000,141100,1700,71867,4352237,13361,19.85,-2772,141200,141400,141200,141400,300,508
20210302,140800,141700,138000,139400,1100,98151,4338876,-322,19.79,-698,139400,139400,139000,139100,-300,1884
20210226,140500,140900,138300,138300,4900,158685,4339198,-31432,19.79,-24475,138400,139100,138400,138700,400,1658
20210225,141500,143300,140200,143200,3700,97160,4370630,1547,19.93,2187,143300,143500,143100,143100,-100,975
20210224,140400,143400,138500,139500,500,177999,4369083,11541,19.91,-19055,139500,140000,139500,140000,500,620
20210223,141400,141700,138300,139000,2800,163279,4357542,1383,19.86,-43864,139000,139700,139000,139600,600,2184
20210222,142800,144000,141000,141800,300,92250,4356159,-2333,19.86,-17624,141700,141700,141100,141100,-700,745
20210219,144500,145000,140300,142100,2900,206762,4358492,-14124,19.88,-44793,142100,142800,142100,142800,700,2632
20210218,148400,149000,144700,145000,2900,162585,4372616,-47219,19.94,-4589,144600,144900,144600,144800,-200,1305
20210217,146400,149500,145600,147900,2300,206696,4419835,-13634,20.16,-24860,148000,148300,148000,148000,100,1096
20210216,144600,146500,144100,145600,1100,183746,4433469,-30222,20.22,-24820,145800,146100,145800,146000,400,1137
20210215,145100,146400,144000,144500,500,211340,4463691,-74651,20.36,-13193,144600,144800,144600,144600,100,1182
20210210,146000,147000,143400,144000,3000,275247,4538342,-32215,20.7,-81712,144100,144400,144100,144400,400,2079
20210209,149800,149900,147000,147000,2000,171492,4570557,-36722,20.84,-34118,147100,147500,147100,147100,100,1399
20210208,150100,150100,147500,149000,1300,222063,4607279,9898,21.01,-73231,149000,149100,148900,148900,-100,1181
20210205,157900,158000,147100,150300,9300,817364,4597381,-75943,20.96,-313665,150200,150200,149500,149900,-400,3179
20210204,162300,162700,157600,159600,2300,110572,4673324,6020,21.31,-18447,160600,160600,158900,159000,-600,1836
20210203,163500,163500,160100,161900,1400,104947,4667304,783,21.28,-736,162000,162400,162000,162400,500,798
20210202,156800,164000,156800,160500,4000,161876,4666521,19777,21.28,12936,160600,160900,160600,160800,300,469
20210201,152500,157200,151200,156500,3600,114519,4646744,-4378,21.19,6225,156500,156500,156400,156400,-100,621
20210129,162000,162500,150800,152900,6900,248559,4651122,16797,21.21,-36628,153200,153400,153000,153000,100,1337
20210128,162900,165200,158600,159800,7500,264526,4634325,-48222,21.13,-2943,159800,159800,159100,159100,-700,1701
20210127,168400,170600,165300,167300,700,154546,4682547,-319,21.35,-14205,167600,167600,167100,167100,-200,598
20210126,174000,174000,167700,168000,4800,224684,4682866,-31974,21.35,-22923,168000,168000,167900,168000,0,871
20210125,166800,173000,166500,172800,9000,291125,4714840,22095,21.5,32220,172700,173000,172700,173000,200,1551
20210122,165200,166900,162600,163800,700,179018,4692745,15059,21.4,-803,163900,164400,163900,164400,600,581
20210121,167500,167600,162600,163100,1400,187580,4677686,-33333,21.33,-4379,163700,163900,163600,163800,700,930
20210120,164500,165600,162500,164500,1500,164169,4711019,-20836,21.48,12123,164600,164700,164500,164700,200,751
20210119,157100,164000,156900,163000,6500,218486,4729370,-5133,21.57,62344,163500,163500,163000,163400,400,959
20210118,158400,161400,153300,156500,2100,202591,4734503,4286,21.59,-12440,156500,156500,156000,156100,-400,905
20210115,163200,163900,158200,158600,4500,241177,4730217,36751,21.57,-35603,158700,158700,158200,158400,-200,928
20210114,167700,167800,161500,163100,5300,295375,4693466,-61929,21.4,-17021,162900,162900,162700,162700,-400,1518
20210113,170100,171000,166200,168400,600,217398,4753400,-711,21.68,-2390,168400,168400,167600,167600,-800,837
20210112,162100,169500,158700,169000,9100,526700,4754111,48958,21.68,28588,169000,169500,169000,169500,500,1938
20210111,161100,164000,155000,159900,3700,490885,4705153,-35603,21.46,33032,160200,160700,160200,160500,600,2047
20210108,148600,158000,148300,156200,8500,427589,4739736,97904,21.61,26899,156200,158100,156200,158100,1900,4296
20210107,149300,149700,146500,147700,1200,148988,4641832,1130,21.17,5050,147900,148000,147800,148000,300,597
20210106,149600,153800,146400,146500,1100,306267,4640702,-26069,21.16,-13665,146500,146600,146000,146000,-500,1348
20210105,141200,148200,140400,147600,5800,316304,4666771,32842,21.28,1435,148000,148100,147800,148100,500,2522
20210104,140000,142800,138800,141800,2300,156069,4633929,14538,21.13,-3078,142300,142300,141900,142200,400,406
20201230,139200,141100,138600,139500,400,130855,4619391,-2978,21.07,-13894,139000,139600,139000,139400,-100,425
20201229,140100,140400,138100,139100,900,127194,4622369,-38341,21.08,-23411,139400,139600,139200,139600,500,479
20201228,138700,140000,137500,140000,2400,157656,4660710,29639,21.25,38724,140500,140500,140200,140200,200,1156
20201224,136000,142100,135700,137600,1900,243215,4632091,50904,21.12,20160,137700,138000,137700,137900,300,823
20201223,135000,137000,134200,135700,900,127023,4581187,41917,20.89,1882,135700,135700,135400,135700,0,389
20201222,135900,136500,134800,134800,1700,116678,4539270,8812,20.7,-15773,135400,135400,134800,135100,300,359
