day,cur_pr,high_pr,low_pr,clo_pr,pr_diff,acc_vol,for_stor,for_stor_diff,for,com_buy_vol,oot_cur_pr,oot_high_pr,oot_low_pr,oot_clo_pr,oot_pr_diff,oot_vol
20210325,8690,8780,8670,8710,20,9985,44482,0,0.49,0,0,0,0,0,0,0
20210324,8600,8790,8600,8690,10,19674,44482,618,0.49,53,8690,8690,8690,8690,0,2
20210323,8840,8870,8700,8700,70,43647,43864,-7516,0.47,84,8650,8890,8650,8890,190,157
20210322,8890,8900,8730,8770,120,39152,51380,-1481,0.56,53,8890,8890,8750,8750,-20,251
20210319,8910,8920,8780,8890,30,16485,52861,-141,0.57,10,8980,8980,8720,8980,90,27
20210318,9050,9050,8900,8920,100,45586,53002,-5928,0.57,30,9040,9040,8910,8910,-10,32
20210317,9060,9170,8900,9020,80,83675,58930,8361,0.64,303,9010,9100,9010,9010,-10,486
20210316,8850,9140,8690,8940,250,70417,50569,4298,0.55,27,9020,9020,9020,9020,80,8
20210315,8780,8810,8650,8690,80,28725,46271,-3671,0.51,-8,8820,8820,8670,8670,-20,340
20210312,8700,8900,8700,8770,70,31963,49942,2374,0.55,-19,8790,8790,8790,8790,20,1
20210311,8610,8820,8590,8700,100,29221,47568,4828,0.52,-709,8670,8670,8610,8610,-90,350
20210310,8820,8960,8600,8600,140,40448,42740,-800,0.47,280,8800,8800,8580,8580,-20,630
20210309,8710,8940,8550,8740,100,60917,43540,-2603,0.47,19,8740,8880,8740,8880,140,1499
20210308,8900,9120,8830,8840,40,61973,46143,2248,0.51,15,8840,8840,8830,8840,0,767
20210305,8800,8850,8690,8800,40,50479,43895,-3120,0.47,66,8900,8900,8900,8900,100,151
20210304,9000,9030,8820,8840,200,74547,47015,-4889,0.51,295,8970,8970,8900,8900,60,111
20210303,9000,9150,8990,9040,70,61981,51904,6811,0.57,125,9130,9150,9040,9040,0,335
20210302,9110,9240,9000,9110,10,52641,45093,-8210,0.49,207,9010,9110,9010,9110,0,46
20210226,8900,9170,8800,9100,20,97167,53303,-14087,0.57,59,9190,9190,9190,9190,90,5
