day,cur_pr,high_pr,low_pr,clo_pr,pr_diff,acc_vol,for_stor,for_stor_diff,for,com_buy_vol,oot_cur_pr,oot_high_pr,oot_low_pr,oot_clo_pr,oot_pr_diff,oot_vol
20210326,24200,24550,24050,24100,-250,2018,1935,0,0.11,0,24100,24100,24100,24100,0,0
20210325,24200,24500,24000,24350,150,2026,1935,0,0.11,0,24350,24350,24350,24350,0,0
20210324,25450,25750,22950,24200,1000,15722,1935,-63,0.11,0,24250,24250,24250,24250,50,7
20210323,26000,26000,25150,25200,650,2190,1998,95,0.11,0,25200,25200,25200,25200,0,0
20210322,26200,26400,25250,25850,250,2724,1903,-50,0.11,0,25400,25750,25400,25750,-100,45
20210319,26500,26500,25300,26100,400,1576,1953,-7,0.11,0,26100,26100,26100,26100,0,1
20210318,27000,27000,26100,26500,100,1086,1960,-12,0.11,0,26500,26500,26350,26450,-50,22
20210317,26450,26950,25000,26400,200,6327,1972,-3,0.11,0,26400,26400,26400,26400,0,0
20210316,25550,28850,25550,26600,1150,35860,1975,-278,0.11,0,26600,26850,26450,26800,200,392
20210315,25350,25600,25100,25450,200,2402,2253,0,0.14,0,25700,25700,25650,25650,200,75
20210312,25300,25350,25100,25250,200,2163,2253,32,0.14,0,25500,25500,25500,25500,250,1
20210311,25350,25350,24450,25050,150,932,2221,12,0.13,0,25050,25050,25050,25050,0,15
20210310,25100,25500,24400,24900,0,833,2209,-11,0.13,0,24900,24900,24900,24900,0,0
20210309,25500,25500,23800,24900,900,6668,2220,-103,0.13,0,24900,24900,24900,24900,0,0
20210308,26200,26450,25400,25800,650,1763,2323,1,0.14,0,25800,25800,25800,25800,0,0
20210305,26100,26600,25750,26450,450,2674,2322,-56,0.14,0,26700,26700,26700,26700,250,1
20210304,27400,27400,26300,26900,50,1545,2378,-183,0.14,0,26550,26850,26550,26850,-50,3
20210303,27000,27650,26800,26850,50,1534,2561,-19,0.16,0,26850,26850,26850,26850,0,67
20210302,26700,27500,26700,26800,100,2788,2580,211,0.16,0,26800,26800,26800,26800,0,0
20210226,27000,27300,26250,26700,1000,6790,2369,280,0.14,-133,26700,26950,26700,26900,200,39
20210225,28900,28900,27500,27700,300,3013,2089,-5,0.13,-4,27450,28150,27450,27450,-250,229
20210224,28950,30350,27100,27400,1500,3036,2094,157,0.13,137,29900,29900,27400,27400,0,145
20210223,29250,29300,28800,28900,400,3426,1937,109,0.11,0,28900,28900,28350,28750,-150,228
20210222,29450,29850,29300,29300,550,3065,1828,86,0.11,0,29300,29300,29300,29300,0,9
20210219,29900,30100,29400,29850,0,3483,1742,-215,0.11,0,30200,30200,30150,30150,300,13
20210218,30500,30500,29850,29850,200,4190,1957,-71,0.11,0,29850,30000,29850,30000,150,80
20210217,30100,30350,30000,30050,100,7010,2028,86,0.11,0,30000,30100,29900,30100,50,219
