day,cur_pr,high_pr,low_pr,clo_pr,pr_diff,acc_vol,for_stor,for_stor_diff,for,com_buy_vol,oot_cur_pr,oot_high_pr,oot_low_pr,oot_clo_pr,oot_pr_diff,oot_vol
20210326,21700,21700,21250,21300,50,6458,8493,0,0.68,0,21300,21300,21300,21300,0,0
20210325,21500,21500,21200,21250,250,12734,8493,1125,0.68,0,21250,21250,21250,21250,0,0
20210324,21600,21650,21300,21500,100,8559,7368,569,0.59,0,21550,21600,21550,21600,100,60
20210323,22000,22150,21200,21600,400,12034,6799,-245,0.54,0,21500,21500,21450,21500,-100,216
20210322,22150,22150,21800,22000,150,5173,7044,-219,0.56,0,22000,22000,22000,22000,0,23
20210319,21650,22200,21650,21850,0,7645,7263,248,0.57,2000,21800,22100,21800,22100,250,31
20210318,22000,22050,21750,21850,50,6305,7015,-5,0.56,0,22950,22950,21900,22050,200,258
20210317,22200,22200,21600,21900,300,9487,7020,-25,0.56,0,21900,21900,21900,21900,0,78
20210316,22000,22350,21850,22200,200,4947,7045,-176,0.56,0,22100,22200,22000,22200,0,6
20210315,21650,22400,21400,22000,350,16190,7221,-954,0.57,0,22150,22150,21800,22150,150,8
20210312,21250,21750,21250,21650,250,7803,8175,48,0.65,0,21650,21800,21550,21800,150,33
20210311,21100,21500,21000,21400,300,10236,8127,0,0.65,0,21400,21400,21400,21400,0,76
20210310,21200,21400,20850,21100,150,13808,8127,34,0.65,0,21050,21050,21050,21050,-50,2
20210309,21550,21550,20800,21250,350,15468,8093,-450,0.64,0,21350,21350,21250,21250,0,39
20210308,22000,22200,21600,21600,400,12063,8543,-943,0.68,0,21600,21600,21300,21300,-300,154
20210305,22000,22200,21750,22000,300,8338,9486,240,0.76,0,21900,21900,21900,21900,-100,16
20210304,21900,22300,21650,22300,300,10073,9246,-208,0.74,0,22300,22400,22300,22350,50,69
20210303,21800,22200,21700,22000,100,6293,9454,-155,0.75,0,22100,22100,22100,22100,100,5
20210302,22150,22350,21650,21900,250,10614,9609,-168,0.77,0,21950,21950,21750,21750,-150,110
20210226,22250,22450,21800,22150,450,15577,9777,-41,0.78,0,22150,22200,22100,22100,-50,43
20210225,22350,22750,22150,22600,450,10633,9818,1644,0.78,0,22900,22900,22900,22900,300,1
20210224,23050,23050,22150,22150,850,22259,8174,-2146,0.65,0,22200,22300,22200,22300,150,80
20210223,23300,23350,22800,23000,200,13917,10320,1075,0.82,0,22900,23100,22900,23100,100,2
20210222,23600,23950,23150,23200,400,12459,9245,698,0.74,0,23150,23900,23150,23300,100,361
20210219,23700,24000,23450,23600,150,11833,8547,-199,0.68,0,23600,23600,23600,23600,0,5
20210218,23800,24200,23700,23750,400,11998,8746,272,0.7,0,23850,23850,23650,23650,-100,138
20210217,24000,24200,23550,24150,50,8870,8474,171,0.68,0,24200,24200,23750,23950,-200,236
