date,open,high,low,close,volume,korcom,forvol
20101001,33300,34100,32550,33850,615742,72511,66719168
20101004,33850,34050,32850,33250,829389,-125845,66740298
20101005,33000,33000,31150,31800,1219546,-25935,66544129
20101006,31400,32700,31000,32650,1035377,-145125,66682448
20101007,32650,34150,32400,33250,961281,68343,66698253
20101008,33050,33300,32350,32450,685629,-52204,66715914
20101011,32550,33150,31850,33050,309264,26354,66707580
20101012,33000,33000,31250,31600,624581,-182055,66746977
20101013,31700,31850,30500,31200,798105,-49762,66714447
20101014,31100,31500,30100,31000,1138483,-172553,66768267
20101015,31150,31150,30450,30700,524149,15532,66629512
20101018,31050,31650,30500,30550,560817,-16522,66514952
20101019,30600,30850,29950,30050,734956,31276,66416542
20101020,30050,30700,29100,30100,539156,86758,66302062
20101021,30350,30600,29800,30100,561541,12847,66184351
20101022,30100,31700,30000,31100,690277,-66197,66382203
20101025,31050,32000,31050,31750,615039,-51788,66514238
20101026,31950,31950,31100,31700,512254,41026,66431361
20101027,31700,31750,30750,30850,613028,-96832,66516921
20101028,30850,31350,30200,30200,504021,-34509,66412731
20101029,30300,30300,29150,29250,804119,39467,66127271
20101101,29350,30850,29350,30550,881509,222518,65843329
20101102,30900,31300,29750,31200,543479,105957,65808549
20101103,31450,32600,31400,32050,715771,-73508,66074019
20101104,31800,32050,31250,31300,348787,37138,66044855
20101105,31450,32300,30150,30250,666069,-241553,66090842
20101108,30250,30550,29850,29950,481834,-5242,65861292
20101109,30050,30700,30000,30500,308355,17545,65851242
20101110,30500,30600,29750,30150,646478,-301286,65915362
20101111,30100,31200,29600,29600,1082177,136169,65943352
20101112,30400,30850,29000,29700,854091,-3961,65815082
20101115,29850,30550,29350,30250,397563,19628,65898842
20101116,30100,30400,29550,29700,309366,-30586,65968502
20101117,29300,29500,28950,29100,496534,-57541,65924492
20101118,29100,30450,29050,30400,462772,2156,66006472
20101119,30350,30600,29850,30350,494178,-36823,66098883
20101122,30500,30850,30100,30100,381617,-17922,66061673
20101123,29950,30000,29000,29700,692961,-36097,65966713
20101124,28850,29950,28750,29950,537661,128906,65880813
20101125,30150,30200,29400,29650,336022,54907,65780863
20101126,29650,29900,28950,29450,279272,56761,65775163
20101129,29700,29750,29000,29250,213206,31792,65757363
20101130,29100,30250,29100,30000,553417,118983,65886631
20101201,30550,32000,30400,32000,1218126,236486,66241638
20101202,32200,33050,32100,32500,1449186,8409,66763860
20101203,32550,32600,31800,32500,589928,-829,66916402
20101206,32800,33350,32650,33100,1094940,-39589,67149772
20101207,32800,32850,31600,32350,557826,47978,67092872
20101208,31900,32500,31700,32200,399826,-21612,67113122
20101209,32200,33250,31800,33250,650491,-83493,67265389
20101210,32900,33300,32300,32550,851355,-20165,67237543
20101213,32550,32550,32100,32200,248332,-34034,67241013
20101214,32200,32300,31750,32150,589530,-237069,67460213
20101215,32450,32450,31950,32300,320014,-51533,67456553
20101216,32200,32250,31700,31850,207794,-16415,67439173
20101217,31850,32300,31650,32100,404378,21617,67379043
20101220,31600,32700,31600,32600,695845,14728,67270613
