date,open,high,low,close,volume,korcom,forvol
20161019,17150,18200,17050,17800,1871286,61504,1860770
20161020,17950,18150,17600,18050,584819,-88791,1999728
20161021,18100,19200,18000,19050,866412,-66451,2148653
20161024,19150,19450,18850,19400,573417,-2190,2351547
20161025,19400,19850,19050,19650,543584,-63651,2620018
20161026,19650,19650,18850,19250,314883,-68283,2692644
20161027,19100,19350,18850,19200,169601,-4308,2722915
20161028,19050,19150,18500,18650,121367,25551,2715336
20161031,18500,18950,18250,18900,195913,79114,2677136
20161101,18500,18700,17850,17850,362183,29364,2575164
20161102,17950,17950,17150,17500,232445,35129,2535888
20161103,17350,17900,17350,17650,87308,4911,2543893
20161104,17550,17700,17300,17650,77373,21913,2555005
20161107,17700,17900,17650,17800,42235,6763,2552730
20161108,17850,18000,17650,18000,93059,-11955,2574879
20161109,17950,18000,16950,17450,164619,-8835,2568390
20161110,17550,18000,17550,17650,119527,20133,2542605
20161111,17900,17900,17500,17850,106923,54588,2498707
20161114,18150,18200,17800,17900,138474,4140,2440687
20161115,17800,18000,17650,17950,115130,25186,2388418
20161116,17900,18000,17750,17850,98735,37109,2353259
20161117,17850,18100,17750,18000,128811,64150,2301371
20161118,18100,18100,17200,17550,138780,15477,2247811
20161121,17600,17600,17100,17350,116394,-20179,2239607
20161122,17350,17450,17050,17350,102890,-40215,2225567
20161123,17350,17600,17200,17550,83128,44769,2196983
20161124,17450,17500,17000,17250,150750,-86840,2186607
20161125,17200,17250,17000,17150,114343,-44348,2175032
20161128,17100,17150,17000,17150,42742,-26267,2171793
20161129,17100,17250,17050,17250,28446,-5347,2167713
20161130,17250,17250,16950,16950,50944,-13590,2150486
20161201,17150,17150,16950,17000,107204,-36323,2129978
20161202,17000,17050,16950,17000,66753,-22333,2117067
20161205,17100,17100,16950,17050,44277,249,2102379
20161206,17000,17100,16900,17050,92460,-48173,2098914
20161207,17050,17050,16800,16800,101628,-14783,2052786
20161208,16850,17100,16850,17000,56254,2635,2043504
20161209,16950,17100,16900,17050,38191,6628,2036583
20161212,17050,17150,16950,17050,39836,10636,2030864
20161213,17100,17400,17000,17350,69709,15236,2016243
20161214,17300,17300,17100,17200,49205,10815,2000439
20161215,17100,17250,17050,17050,76760,20238,1951960
20161216,17100,17250,17050,17100,70366,1528,1942944
20161219,17100,17150,16950,17100,110631,-16175,1918216
20161220,17000,17150,17000,17100,153523,-58881,1893143
20161221,17150,17350,17100,17350,168521,55878,1858159
20161222,17350,17350,17200,17300,108650,3251,1846238
20161223,17200,17350,17200,17250,60432,19443,1835981
20161226,17350,17400,17250,17350,119904,27735,1827273
20161227,17300,17400,17250,17400,168286,62024,1809107
20161228,16800,17000,16650,16900,145428,-2253,1807167
20161229,16900,16950,16750,16800,50383,4346,1818285
20170102,16900,16900,16750,16800,17587,1984,1829118
20170103,16950,17100,16750,17050,142967,43391,1828766
20170104,17050,17500,16900,17400,301221,-37276,1949403
20170105,17400,17450,17250,17250,67641,10372,1945093
20170106,17250,17250,17050,17150,56874,25844,1937340
20170109,17150,17200,16950,17100,56264,1747,1928591
20170110,17000,17500,16950,17350,165919,-25751,2029601
20170111,17350,17400,16950,17200,109253,-9895,2025478
20170112,17200,17250,16950,17150,137042,-25858,2028677
20170113,17150,17200,17000,17100,71516,-846,2033637
20170116,17100,17100,16850,17050,61182,-24976,2039847
20170117,17000,17300,16900,17050,107445,3568,2069633
20170118,16950,17100,16850,16850,89806,15207,2044925
20170119,16950,16950,16850,16850,76614,-23973,2020380
20170120,16900,16950,16600,16650,196185,-68017,1971659
20170123,16800,17000,16650,16900,68615,7717,1970460
20170124,16750,16850,16700,16700,52113,-9821,1969788
20170125,16850,16850,16500,16650,56534,-7653,1967166
20170126,16700,16700,16500,16650,51226,-30886,1963585
20170131,16650,16700,16450,16600,48461,-5701,1957093
20170201,16650,16650,16450,16600,56569,-11341,1952603
20170202,16600,16650,16450,16600,56129,-746,1941873
20170203,16550,16600,16450,16600,45874,-1421,1939392
20170206,16600,16650,16450,16600,24683,7787,1932852
20170207,16600,16600,16500,16550,24619,-85,1932254
20170208,16500,16600,16150,16450,150324,5963,1922255
20170209,16350,16400,16150,16400,38311,11724,1921856
20170210,16300,16550,16250,16400,43539,17260,1925047
20170213,16400,16450,16250,16300,53146,-27885,1931102
20170214,16300,16350,16200,16250,69223,-32237,1940628
20170215,16300,16400,16200,16300,75112,-11448,1991291
20170216,16300,16350,16250,16350,21619,-3303,1989006
20170217,16350,16350,16150,16350,32188,2730,1989006
20170220,16400,16450,16200,16400,27572,9574,1988874
20170221,16450,16450,16250,16350,21469,-538,1987098
20170222,16350,16400,16100,16250,96481,666,1980830
20170223,16200,16250,16050,16250,55064,-17525,1980827
20170224,16400,16850,16300,16700,227215,49901,1996495
20170227,16650,16750,16450,16650,58648,5254,1994124
20170228,16600,16700,16450,16700,38990,4551,1994024
20170302,16700,16750,16550,16650,47423,5452,1993131
20170303,16650,16650,16400,16550,30753,5153,1991436
20170306,16450,16500,16400,16450,21587,-3399,1992320
20170307,16550,16550,16400,16500,32025,-3869,1990108
20170308,16500,16500,16300,16350,38673,5507,1989499
20170309,16300,16450,16200,16350,34237,-9925,1988991
20170310,16300,16400,16200,16400,28435,892,1990185
20170313,16400,16450,16300,16400,35459,2868,1991646
20170314,16400,16450,16300,16300,22313,4538,1989242
20170315,16300,16350,16200,16300,42149,-2174,1991576
20170316,16300,16350,16200,16250,69683,11700,1990007
20170317,16300,16350,16200,16300,33052,-11203,2006135
20170320,16300,16300,16200,16250,28730,-9536,2004621
20170321,16250,16300,16200,16250,40149,-1966,2003287
20170322,16200,16300,16150,16300,28954,2095,2000119
20170323,16300,16350,16150,16300,47573,-8143,2006220
20170324,16300,16450,16200,16300,46981,-7569,2010443
20170327,16350,16350,16200,16300,40359,-25004,2017321
20170328,16300,16400,16250,16300,45587,-14069,2027278
20170329,16350,16450,16300,16450,32156,-16468,2037226
20170330,16400,16400,16300,16400,20805,-15534,2036548
20170331,16350,16450,16300,16450,35136,-6515,2043768
20170403,16400,16450,16300,16350,20305,-855,2047368
20170404,16400,16400,16300,16300,27326,-13599,2053867
20170405,16350,16450,16300,16400,32313,4393,2064852
20170406,16350,16450,16300,16400,30022,-11723,2070879
20170407,16400,16400,16300,16350,31400,-12279,2074122
20170410,16400,16400,16200,16200,50205,-21090,2078476
20170411,16250,16300,16200,16300,29749,-12787,2078296
20170412,16300,16300,16200,16250,16448,1804,2076742
20170413,16250,16300,16200,16250,22439,-11734,2080076
20170414,16200,16250,16200,16250,24963,-10657,2079455
20170417,16300,16350,16200,16350,36962,-15504,2079255
20170418,16300,16600,16250,16500,105095,-9167,2118199
20170419,16450,16650,16350,16650,102155,-13434,2180176
20170420,16600,17050,16500,17050,197206,-25708,2208070
20170421,17000,17200,16800,17150,177388,7926,2205240
20170424,17150,17450,17150,17300,176646,-13108,2252730
20170425,17150,17300,17150,17250,51147,-18334,2273337
20170426,17250,17600,17150,17400,284195,-16703,2355174
20170427,17400,17700,17250,17600,111352,-11030,2385444
20170428,17600,17650,17300,17500,66841,26693,2382139
20170502,17500,17500,17200,17300,58805,-18846,2381862
20170504,17300,17500,17250,17350,20549,3704,2382477
20170508,17300,17750,17250,17500,84038,-18165,2399094
20170510,17500,17700,17250,17500,113582,-38424,2422187
20170511,17400,17800,17400,17750,124803,-47592,2429585
20170512,17750,17800,17450,17750,76763,-5634,2428647
20170515,17550,17850,17550,17800,62046,-7068,2427557
20170516,18050,18400,17800,18250,144683,16274,2442739
20170517,18350,18500,18000,18350,146043,-11504,2443740
20170518,18100,18500,18050,18250,48455,11057,2445681
20170519,18250,18700,18250,18650,104060,6943,2446853
20170522,18700,18850,18550,18750,127097,-6114,2448518
20170523,18800,19000,18650,19000,148534,17508,2462575
20170524,19000,19000,18600,18900,94423,9014,2458268
20170525,18850,19250,18750,19250,159751,-31279,2477710
20170526,19300,19450,19200,19300,119755,-38854,2514490
20170529,19500,20150,19500,20150,355176,-52301,2524129
20170530,20100,20400,19600,19900,249308,-83704,2511726
20170531,19950,20250,19750,20050,102332,-19103,2524901
20170601,20200,20200,19850,20150,119089,-22781,2529022
20170602,20250,20250,19800,20200,147869,-48452,2533815
20170605,20250,20250,19600,19750,113718,-29760,2537020
20170607,19650,20000,19600,19900,126558,-15839,2543566
20170608,19750,19900,19350,19450,101093,-11745,2516774
20170609,19450,19800,19450,19700,142006,-52686,2533388
20170612,19650,19800,19300,19500,104525,-38821,2536575
20170613,19500,19900,19450,19900,88388,6654,2536100
20170614,19950,20450,19550,19900,210566,-91630,2535698
20170615,19800,19800,18950,19300,241638,-140622,2535556
20170616,19300,19600,19100,19300,73363,-14083,2534435
20170619,19300,19300,18850,19100,131334,-12319,2524438
20170620,19200,19600,19100,19400,173624,-65487,2519986
20170621,19400,19400,18850,19300,67722,8062,2524096
20170622,19300,19500,19200,19500,159218,-35407,2527342
20170623,19550,19600,19450,19600,37560,17365,2521833
20170626,19450,19600,19300,19550,67064,31211,2508328
20170627,19500,19950,19350,19850,88847,5770,2510715
20170628,19900,20050,19700,19950,80960,25769,2503023
20170629,20100,20200,19850,20000,42579,1886,2498313
20170630,20000,20100,19750,20100,84556,-528,2489855
20170703,20100,20250,20100,20150,61465,168,2488125
20170704,20100,20200,19400,19700,82379,-16424,2492782
20170705,19600,19800,19300,19600,45077,-7618,2494024
20170706,19550,19750,19350,19700,51597,-593,2495501
20170707,19650,19700,19500,19700,57147,-27117,2498927
20170710,19550,20100,19550,19950,95853,189,2495920
20170711,20000,20100,19900,20000,326564,-26772,2534879
20170712,19950,20000,19500,19650,81570,-6398,2516745
20170713,19650,19850,19600,19800,91236,-42169,2541871
20170714,19800,20300,19700,20300,182341,-40145,2594460
20170717,20450,20450,20050,20250,95462,-21291,2600208
20170718,20250,20250,19750,19950,89051,-22880,2595787
20170719,20050,20100,19800,19950,81178,-9901,2587043
20170720,19950,20050,19750,20050,99058,-4380,2557604
20170721,19950,20100,19950,20050,55556,33957,2535982
20170724,20000,20100,19800,19900,43700,5187,2526931
20170725,20000,20050,19750,20000,89752,-13080,2531695
20170726,19950,20000,19650,19800,85662,-23855,2528194
20170727,19800,20000,19750,20000,106807,-2828,2533099
20170728,20000,20000,19500,19650,85512,-948,2506856
20170731,19550,20000,19500,20000,68201,-13278,2514554
20170801,20000,20200,19750,20200,108053,31290,2514538
20170802,20250,20250,19950,20100,117722,-32385,2515836
20170803,20100,20200,19600,19900,89144,-20910,2510802
20170804,19900,20000,19600,19950,104431,478,2515059
20170807,20000,20350,19900,20200,112707,-15325,2532599
20170808,20250,20450,20200,20350,99250,12761,2528021
20170809,20100,20350,20000,20250,92096,-18712,2545992
20170810,20250,20250,19750,20200,111166,28067,2549944
20170811,19900,20200,19800,20150,148278,58559,2559475
20170814,20300,20350,20000,20150,76291,9540,2552678
20170816,20150,20700,20100,20400,135717,44389,2527188
20170817,20450,20550,20300,20500,55104,7856,2529869
20170818,20450,20550,20250,20500,54746,23980,2516931
