date,open,high,low,close,volume,korcom
20201230,22950,23200,22550,23200,76172,-2725
20201229,23450,23900,22500,22900,140626,-616
20201228,22100,22400,21750,22300,93065,719
20201224,22100,22300,21550,21800,59031,-383
20201223,20700,21600,20450,21250,59933,-1121
20201222,21450,21450,20700,20700,30475,-55
20201221,21400,21550,21150,21300,44019,-13257
20201218,21700,21700,21100,21400,38431,-22019
20201217,21750,21800,21250,21350,38731,-17849
20201216,21550,21750,20950,21700,54049,-17316
20201215,21550,21750,21150,21200,15019,161
20201214,21050,22200,21050,21550,73636,-5
20201211,20850,21050,20850,20900,12886,-1021
20201210,21050,21300,20800,20850,22650,-4477
20201209,21300,21300,20950,21100,24132,-1540
20201208,21900,22150,21000,21150,47497,-11934
20201207,21550,22400,21100,21900,57947,-5518
20201204,21600,21650,21000,21400,22801,296
20201203,21250,21600,21250,21250,26826,-932
20201202,21200,21450,21150,21250,28304,-5331
20201201,21650,22050,21150,21250,48998,-7062
20201130,22100,22500,21700,21700,24175,-284
20201127,21500,22200,21500,22050,24895,2170
20201126,21250,22000,21250,21700,35812,-5488
20201125,22200,22400,21400,21800,38176,2468
20201124,22250,22400,22000,22200,32778,-9475
20201123,22400,22750,22000,22250,33001,-1366
20201120,22450,22800,21700,22350,58766,4290
20201119,21200,22900,21050,22150,73454,2511
20201118,21050,21250,20900,21200,25827,-13683
20201117,21400,21700,21050,21100,28357,-15370
20201116,21550,22000,21250,21400,25977,-12644
20201113,21800,21800,21250,21750,8785,-223
20201112,21700,21800,21200,21800,29819,-10453
20201111,22100,22150,21050,21300,43558,-5832
20201110,22350,22500,21700,21950,23481,-7612
20201109,22900,22900,22350,22650,25645,8752
20201106,22000,22300,21700,21950,18137,-78
20201105,21400,21950,21350,21900,17937,84
20201104,21500,21700,21000,21600,17451,2514
20201103,21500,21700,21000,21500,31502,-1636
20201102,20450,21500,20100,21500,12624,-28
20201030,20600,21400,20000,20000,24028,-6208
20201029,21000,21000,20300,20750,22381,-2976
