date,open,high,low,close,volume,korcom
20201230,45500,47300,45000,46400,6628,0
20201229,43400,47700,43400,45500,11299,0
20201228,44900,44900,43600,43950,7381,0
20201224,45300,45300,43900,44900,7618,0
20201223,46700,46700,44950,45300,9619,0
20201222,47950,47950,46700,46700,10762,0
20201221,49100,49100,47750,47950,13624,0
20201218,49500,49600,49000,49100,10754,0
20201217,49650,49800,49250,49600,4492,0
20201216,49550,50400,49550,49650,10339,0
20201215,50300,50300,49600,49700,9149,0
20201214,50900,50900,49900,49900,10221,0
20201211,50300,51000,50300,50600,10473,0
20201210,50300,51600,50200,50500,14737,0
20201209,51200,51400,50500,50500,13772,0
20201208,50300,52000,50300,50700,14754,0
20201207,52100,52400,50800,50900,19203,0
20201204,52300,53700,52100,52200,21889,-60
20201203,51100,58300,50300,52800,170739,60
20201202,54700,55400,52000,52500,76705,0
20201201,54300,66000,50200,54600,502454,0
20201130,53500,55800,53500,54300,34428,0
20201127,53700,56600,52300,53700,59744,0
20201126,54100,55400,53800,54100,24263,-56
20201125,56100,59100,54100,54800,109479,0
20201124,55300,59600,53800,56800,198418,56
20201123,54400,55800,53100,54600,57062,0
20201120,52600,54900,51300,52700,49937,0
20201119,54100,54100,52000,52700,62140,0
20201118,57200,58800,54000,54200,109792,0
20201117,64900,67400,56100,56500,393271,0
20201116,55100,70300,53700,67400,1073832,-200
20201113,54000,59300,52500,54200,148280,-100
20201112,53000,59500,51600,53600,101652,300
20201111,52800,53700,52500,53000,13822,0
20201110,58000,58000,52500,52800,40978,0
20201109,50900,53500,50900,52500,21966,0
20201106,51800,51800,50800,51300,6179,0
20201105,51000,52100,50600,51300,18215,0
20201104,50700,51000,49900,50600,8764,0
20201103,50000,50700,49700,50700,7574,0
20201102,49000,51700,48750,49900,29587,0
20201030,49450,49450,48600,48600,4933,0
20201029,49000,49600,48900,49050,4292,0
20201028,49300,50000,49050,49600,4710,0
20201027,48900,49900,48750,49150,6011,0
20201026,49650,50100,48800,48900,10247,0
20201023,50200,50500,49800,50100,7087,0
20201022,51000,51000,49900,50000,7399,0
20201021,49950,51900,49600,50700,18171,0
20201020,49950,50400,49450,49600,9604,0
20201019,49850,51000,49850,50000,10748,0
20201016,50100,50900,49700,50000,7859,0
20201015,49600,50900,49600,50000,11481,0
20201014,50300,50300,49800,49950,3072,0
20201013,50800,51000,49800,50200,5324,0
20201012,50500,51000,49600,50600,11340,0
20201008,49250,51700,49050,50000,19868,0
20201007,49100,49200,48900,49100,2256,0
20201006,49250,49250,49050,49050,4785,0
20201005,49050,49450,49000,49250,3401,0
20200929,49900,49900,48900,49300,3817,0
20200928,49800,49800,48700,49000,3982,-15
20200925,49900,51000,48050,48800,18060,-324
20200924,49900,49900,48700,49050,14310,339
20200923,50700,50700,49750,50300,7589,0
20200922,50300,50600,49850,49950,10969,0
20200921,52500,52600,50000,50600,18210,0
20200918,51000,52800,50700,52200,25316,0
20200917,50300,51600,50300,51200,7167,0
20200916,51000,51300,50500,51100,7367,0
20200915,51000,54300,50400,51000,58106,0
20200914,50500,51400,50000,50400,11191,0
20200911,50000,50400,49850,50100,3586,0
20200910,50400,50400,49850,49900,3469,0
20200909,49800,50300,49600,49900,6165,0
20200908,50400,51000,49800,50100,10683,0
20200907,50100,50600,49900,50600,9020,0
20200904,49900,50400,49850,50100,7780,0
20200903,50200,51000,50000,50900,11051,0
20200902,50700,50900,50200,50500,5878,0
20200901,50500,50900,49950,50500,6415,0
20200831,51100,51100,50100,50200,8915,0
20200828,50600,53500,50000,50000,30264,0
20200827,50900,50900,49850,49850,8417,0
20200826,51000,51000,50000,50600,7363,0
20200825,50500,51400,50300,50300,8359,0
20200824,50200,50200,49300,49900,5268,0
20200821,50000,50900,49850,50200,7087,0
20200820,52800,52800,50200,50400,19222,0
20200819,52800,52900,52000,52500,9972,0
20200818,53000,53200,51800,52200,25812,0
20200814,53300,54000,51500,54000,29817,0
20200813,55100,57000,53000,53300,49616,-29
20200812,51700,59900,51700,54500,335660,29
20200811,52200,52600,51800,52200,24725,0
20200810,53000,53100,51600,52200,58971,0
20200807,65800,65800,54400,55700,377353,-80
20200806,51600,52400,47700,51800,39311,0
20200805,51500,52100,51500,51600,9914,0
20200804,51700,52800,51700,51900,5677,0
20200803,52100,52200,51700,51800,9168,-180
20200731,51800,52900,51800,52400,12272,0
20200730,51800,52700,51700,52100,18069,0
20200729,52600,52700,51500,52100,17839,0
20200728,53000,60700,51600,52400,203822,0
20200727,52300,52900,51600,52200,9325,0
20200724,54200,54400,51700,52300,36842,0
20200723,54200,54400,51500,53000,32102,-321
20200722,54300,54400,52600,53300,30382,0
20200721,52700,54700,52600,53500,34212,0
20200720,54500,54500,52400,53300,19048,0
20200717,53200,54700,52700,53600,17246,0
20200716,54400,55500,53200,53400,21634,0
20200715,53200,54300,52500,53900,28910,0
20200714,54200,54400,52800,53200,26631,0
20200713,54000,55700,53500,54500,36711,0
20200710,55500,55600,52600,53800,37777,0
20200709,54100,57500,53500,55300,70188,0
20200708,51800,55000,51800,53400,60690,0
20200707,53200,53200,51800,52000,20576,0
20200706,52600,54000,51800,53200,26591,0
20200703,54500,54500,52500,53000,26982,0
20200702,54200,55500,52500,53700,37176,0
20200701,53000,55600,51800,52300,89982,0
20200630,52000,53800,50600,50800,28656,0
20200629,50000,53800,49500,51400,26564,0
20200626,54000,58800,51400,53800,82933,0
20200625,54500,54800,52000,53100,47762,0
20200624,56300,58400,54800,55100,66327,0
20200623,53600,62400,53300,57100,261606,-364
20200622,56400,57500,51200,52600,77435,401
20200619,72000,84800,55600,56400,661628,-290
20200618,55900,69400,53700,69400,658561,-347
20200617,47600,56000,47150,53400,148744,-366
20200616,48050,49200,47200,48650,30329,-21
20200615,49900,50600,46050,46800,55730,21
20200612,49200,50700,47900,50000,91909,-110
20200611,48000,57900,47700,53200,528665,-215
20200610,47550,48150,47000,47900,26823,-13
20200609,48150,49800,47400,47850,41138,13
20200608,47800,49600,47600,48100,45372,0
20200605,46700,49000,46500,47600,79308,0
20200604,46000,46500,45850,45900,14975,0
20200603,46500,47000,45550,46000,27349,0
20200602,45350,46500,45350,46150,15710,0
20200601,46450,46950,46000,46600,20532,0
20200529,47300,47650,46050,46050,25574,0
20200528,48100,49000,46750,47250,50288,0
20200527,50500,50900,46600,46700,75624,0
20200526,45400,51900,45300,46700,364076,0
20200525,46400,46400,45050,45400,6372,0
20200522,46300,47100,45900,45900,14624,-7
20200521,46300,48150,45800,46350,27022,-77
20200520,45200,46400,45200,46300,10566,69
20200519,45500,47800,45300,45750,32216,15
20200518,46450,46450,44900,44950,10301,0
20200515,46700,47000,45200,45650,14398,0
20200514,45250,49000,45050,46700,35836,0
20200513,46000,46900,45000,46750,34954,0
20200512,48500,49750,47250,47450,30717,363
20200511,47600,49450,47600,48300,39162,0
20200508,47800,48750,47500,47550,20159,0
20200507,46700,53400,46150,47450,113647,0
20200506,47850,47950,46300,46600,10378,0
20200504,47150,47350,44950,46300,16428,0
20200429,47850,48900,47050,47350,21192,-100
20200428,48200,49750,47700,47800,37978,100
20200427,50000,50300,47450,48100,53298,0
20200424,48700,55500,48250,48800,442735,0
20200423,49750,49950,48350,48700,33934,0
