date,open,high,low,close,volume,korcom
20201230,31250,31550,31100,31550,4606,0
20201229,30800,31400,30800,31250,8193,0
20201228,32550,32550,30700,30800,13854,0
20201224,33400,33400,31500,32000,27077,0
20201223,33650,34050,32700,34050,19768,0
20201222,33800,33800,32700,32850,21143,0
20201221,35200,35200,32550,34100,48240,0
20201218,36150,36850,34500,35500,64845,0
20201217,34650,35250,33900,34750,31091,-169
20201216,35550,35550,34250,34400,140184,0
20201215,37350,37500,35850,35850,10963,169
20201214,38700,39000,36100,36150,26015,-10913
20201211,38250,39400,38250,38700,7725,0
20201210,39000,40800,37500,38250,25894,-35
20201209,39950,40450,38600,39400,23570,35
20201208,37900,42000,37050,39800,52766,2694
20201207,38050,38500,37750,37950,11980,830
20201204,37700,38900,37100,37750,16616,2748
20201203,36150,38100,36000,37700,17999,2410
20201202,36000,36700,35600,36650,13892,2231
20201201,37050,37100,35550,35550,23893,0
20201130,38100,38800,35950,37250,51856,0
20201127,45750,45750,37500,37500,416705,0
20201126,33550,36650,33550,35200,50864,0
20201125,33650,35000,33550,34000,24962,0
20201124,33200,34300,33000,33650,8475,0
20201123,33400,33750,32850,32850,6521,0
20201120,34450,34450,33000,33400,11981,0
20201119,34050,34400,33700,34000,7280,0
20201118,34600,35050,33700,34050,6904,0
20201117,34350,34950,34100,34600,9487,0
20201116,33550,34550,33550,34150,6421,0
20201113,33050,34200,33050,34000,3463,0
20201112,33000,34350,32550,33550,8018,0
20201111,32650,33000,32500,33000,5295,0
20201110,32900,33150,32400,32800,4210,0
20201109,32400,33300,32400,32900,5918,0
20201106,32750,32950,32400,32500,2548,0
20201105,32000,33000,32000,32750,3211,0
20201104,33000,33000,31850,32050,3168,0
20201103,32250,33200,31950,32050,3132,0
20201102,33800,33800,31650,32300,3186,0
20201030,33300,33300,31650,31700,5304,0
20201029,31900,31900,31300,31600,3570,0
20201028,32100,32200,31500,31900,2515,0
20201027,31800,34650,30700,31450,19439,0
20201026,33500,33550,31300,31300,9211,0
20201023,34500,34500,33900,33950,2222,0
20201022,34200,34600,33800,34300,2424,0
20201021,34600,34800,33950,34400,4378,0
20201020,33900,34900,33750,34100,5564,0
20201019,35500,35600,34300,34300,12807,0
20201016,35000,42000,34500,35750,126632,0
20201015,35000,35750,34000,35000,9205,0
20201014,36000,36050,35050,35050,7116,0
20201013,35150,38300,35150,36000,30728,0
20201012,35300,35500,35100,35350,3208,0
20201008,35500,35900,35100,35100,7144,0
20201007,35050,36100,35050,35900,4155,0
20201006,35650,35700,35000,35450,4874,0
20201005,35050,35900,35050,35300,5833,0
20200929,34800,38250,34800,35500,38869,0
20200928,34700,35500,34600,34600,12427,0
20200925,35300,36500,34700,34700,14219,0
20200924,36950,37950,35500,35500,31447,0
