date,open,high,low,close,volume,korcom,forvol,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120,ma5,ma10,ma20,ma60,ma120,EMAFast,EMASlow,MACD,MACDSignal,MACDiff,RSI,upper_bb,mid_bb,lower_bb,fast_k,slow_k,slow_d
20110401,12000,12050,11800,11900,1054022,59431,24849346,295.6349099818897,247.99193535274486,364.48593937215117,1457.1032907793467,1285.4716357776579,11660.0,11550.0,11330.0,12610.0,12099.583333333336,11543.844382206224,11604.049568661729,-60.205186455506926,-220.10043697952247,159.89525052401555,67.24137931034483,12058.971878744302,364.48593937215117,10601.028121255698,87.87878787878788,86.13193571515076,79.57246058272368
20110404,11950,12000,11750,11800,816379,-184760,24923545,235.37204591879643,258.0697580112788,377.91368062032285,1457.49475890043,1285.7509694943087,11760.0,11580.0,11357.5,12584.166666666664,12096.666666666664,11583.252938813965,11618.56524150395,-35.31230268998479,-183.1428101215968,147.83050743161198,72.22222222222223,12113.327361240646,377.91368062032285,10601.672638759354,78.57142857142857,83.61176666724337,80.91889594423023
20110405,11800,11950,11600,11800,774239,-171348,25057545,118.32159566199232,253.22914524201198,389.71143170299683,1458.2752369380298,1285.89544028017,11850.0,11625.0,11375.0,12560.0,12092.5,11616.598640552134,11632.005561465572,-15.406920913435895,-149.5956322799514,134.18871136651543,71.15384615384616,12154.422863405996,389.71143170299683,10595.577136594004,68.42105263157895,78.5481953220219,80.12866240349413
20110406,11750,11800,11500,11500,960444,-297961,25135791,180.0,233.9337513057917,390.34439921689597,1462.4415942753628,1286.8757925905495,11810.0,11645.0,11377.5,12532.5,12085.833333333336,11598.660388151653,11622.226894621035,-23.56650646938397,-124.38980711782992,100.82330064844595,63.15789473684211,12158.188798433792,390.34439921689597,10596.811201566208,36.84210526315789,64.64616530240056,74.96783003646294
20110407,11550,11700,11350,11500,1481644,-483338,25054441,167.33200530681512,230.2172886644268,389.39054944875005,1457.3041606564725,1287.8208877359025,11700.0,11650.0,11375.0,12492.5,12079.166666666664,11583.481866891929,11613.172641536315,-29.690774644383048,-105.4500006231358,75.75922597875274,55.319148936170215,12153.7810988975,389.39054944875005,10596.2189011025,36.84210526315789,55.37814528931967,68.4379351207485
20110408,11400,11850,11350,11650,1745859,-110414,25112324,134.16407864998735,229.6192500641007,391.6232245411392,1447.8106076264096,1288.3125806866728,11650.0,11655.0,11397.5,12453.333333333336,12074.166666666664,11593.715425834842,11615.900708130175,-22.18528229533331,-88.79705695757194,66.61177466223863,53.33333333333332,12180.74644908228,391.6232245411392,10614.25355091772,52.631578947368425,54.46262317533592,63.77949780561098
20110411,11700,11750,11450,11450,864574,-324523,25154064,128.84098726725125,210.0,374.66651838668406,1440.0916251714286,1289.3257685705346,11580.0,11670.0,11425.0,12411.666666666664,12071.25,11571.605360315927,11603.611290799676,-32.00593048374867,-77.43883166280546,45.432901179056785,52.17391304347826,12174.333036773369,374.66651838668406,10675.666963226631,31.578947368421048,46.83473123969762,58.13124228363986
20110412,11400,11450,11000,11000,1362767,-342245,25223804,220.454076850486,278.4331158465171,339.07963666371865,1434.1896666759235,1292.8518755921816,11420.0,11635.0,11445.0,12360.0,12064.166666666664,11483.666074093755,11558.897739793465,-75.23166569970817,-76.99739847018594,1.7657327704777686,44.444444444444464,12123.159273327437,339.07963666371865,10766.840726672563,0.0,31.223154159798412,49.16187957569272
20110413,11050,11400,11050,11200,891466,-210730,25144204,231.08440016582685,305.81857366746056,299.33259094191436,1427.5065674104605,1294.6990614510464,11360.0,11585.0,11470.0,12315.0,12060.416666666664,11440.025139609512,11532.31183921916,-92.28669960964909,-80.05525869807889,-12.23144091157019,45.45454545454545,12068.665181883827,299.33259094191436,10871.334818116173,18.181818181818183,26.876042167138337,41.733267106174594
20110414,11150,11250,10800,11150,1707238,-472155,25124174,231.08440016582685,287.61954036539316,261.53393661243933,1420.008558268418,1293.7467122878245,11290.0,11495.0,11490.0,12269.166666666664,12061.666666666664,11395.405887354731,11503.991572977744,-108.58568562301298,-85.76134408306619,-22.8243415399468,41.509433962264154,12013.067873224878,261.53393661243933,10966.932126775122,26.923076923076927,26.891720419117867,36.78608487715568
