date,open,high,low,close,volume,korcom,forvol,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120,ma5,ma10,ma20,ma60,ma120,EMAFast,EMASlow,MACD,MACDSignal,MACDiff,RSI,upper_bb,mid_bb,lower_bb,fast_k,slow_k,slow_d
20161019,17150,18200,17050,17800,1871286,61504,1860770,,,,,,,,,,,17800.0,17800.0,0.0,0.0,0.0,,,,,,,
20161020,17950,18150,17600,18050,584819,-88791,1999728,,,,,,,,,,,17935.416666666664,17929.80769230769,5.608974358972773,3.1160968660959845,2.4928774928767883,,,,,,,
20161021,18100,19200,18000,19050,866412,-66451,2148653,,,,,,,,,,,18370.438799076208,18332.28191227205,38.156886804157686,17.477076348908156,20.679810455249537,,,,,,,
20161024,19150,19450,18850,19400,573417,-2190,2351547,,,,,,,,,,,18695.431034482757,18630.76923076923,64.66180371352675,33.46106258353505,31.200741129991695,,,,,,,
20161025,19400,19850,19050,19650,543584,-63651,2620018,735.7988855658863,,,,,18790.0,,,,,18954.784010806598,18867.13305007198,87.65096073461244,49.58133214299406,38.0696285916184,,,,,,,
20161026,19650,19650,18850,19250,314883,-68283,2692644,550.9990925582364,,,,,19080.0,,,,,19026.53702743607,18943.81824650532,82.71878093075065,58.56342317098776,24.155357759762893,,,,,,,
20161027,19100,19350,18850,19200,169601,-4308,2722915,203.46989949375805,,,,,19310.0,,,,,19065.244682863082,18989.37884335334,75.86583950974091,62.942203159860924,12.923636349879985,,,,,,,
20161028,19050,19150,18500,18650,121367,25551,2715336,329.5451410656816,,,,,19230.0,,,,,18978.58951775993,18934.69650244958,43.89301531034653,58.364325099565704,-14.471309789219186,,,,,,,
20161031,18500,18950,18250,18900,195913,79114,2677136,338.5262175962152,,,,,19130.0,,,,,18963.041713912342,18929.553719096417,33.48799481592505,52.617769391933784,-19.129774576008746,,,,,,,
20161101,18500,18700,17850,17850,362183,29364,2575164,508.5272854036448,632.5345840347385,,,,18770.0,18780.0,,,,18752.12074170338,18780.585812820525,-28.46507111714527,34.45050626546806,-62.91557738261333,,,,,,,
20161102,17950,17950,17150,17500,232445,35129,2535888,642.339474110069,683.3739825307953,,,,18420.0,18750.0,,,,18523.012836735168,18614.493427207537,-91.48059047236893,6.897501861466006,-98.37809233383491,,,,,,,
20161103,17350,17900,17350,17650,87308,4911,2543893,559.8214000911362,733.07571232445,,,,18110.0,18710.0,,,,18367.7940203422,18495.99021271972,-128.19619237751613,-22.1149580502905,-106.08123432722564,,,,,21.428571428571427,21.428571428571427,21.428571428571427
20161104,17550,17700,17300,17650,77373,21913,2555005,507.34603575863287,786.5112840894271,,,,17910.0,18570.0,,,,18243.157709787043,18396.882611893867,-153.72490210682372,-49.96819474230023,-103.75670736452349,,,,,18.51851851851852,19.68253968253968,20.38095238095238
20161107,17700,17900,17650,17800,42235,6763,2552730,124.09673645990856,763.8062581571322,,,,17690.0,18410.0,,,,18167.702101041883,18329.84559121758,-162.14349017569842,-73.43535024272148,-88.70813993297692,50.0,,,,24.074074074074073,21.76274018379281,21.03548344545574
20161108,17850,18000,17650,18000,93059,-11955,2574879,169.1153452528776,647.475868276185,,,,17720.0,18245.0,,,,18139.609128157583,18294.1643779573,-154.55524979971233,-90.25097743827507,-64.30427236143724,52.0,,,,31.48148148148148,25.799755799755797,23.014488884934224
20161109,17950,18000,16950,17450,164619,-8835,2568390,182.75666882497063,590.78337823605,,,,17710.0,18065.0,,,,18025.64578246852,18205.85784937813,-180.21206690961844,-108.76429900832028,-71.44776790129816,44.339622641509436,,,,17.24137931034483,22.514312692446378,22.822478119097656
20161110,17550,18000,17550,17650,119527,20133,2542605,182.75666882497063,461.9523784980436,,,,17710.0,17910.0,,,,17964.267784302316,18149.433423432376,-185.1656391300603,-124.39657458497824,-60.76906454508208,34.44444444444444,,,,25.925925925925924,23.76096234016898,23.16541295476733
20161111,17900,17900,17500,17850,106923,54588,2498707,187.0828693386971,390.6404996924919,,,,17750.0,17830.0,,,,17945.773760583554,18119.849929113683,-174.07616853012226,-134.5147665156414,-39.56140201448082,32.18390804597701,,,,37.5,28.62534235669002,25.098530261227573
20161114,18150,18200,17800,17900,138474,4140,2440687,196.468827043885,169.1153452528768,,,,17770.0,17730.0,,,,17938.424175408847,18098.653214742426,-160.22903933357884,-139.73282117204872,-20.49621816153013,28.915662650602414,,,,43.18181818181818,33.67451168730941,28.07326005961631
20161115,17800,18000,17650,17950,115130,25186,2388418,185.4723699099141,178.60571099491673,697.4238309665079,,,17760.0,17740.0,18260.0,,,17940.270426281848,18084.634086714486,-144.36366043263482,-140.66979155722842,-3.693868875406338,32.89473684210527,19654.847661933014,697.4238309665079,16865.152338066982,50.0,39.261676092899265,31.902335099748257
20161116,17900,18000,17750,17850,98735,37109,2353259,101.9803902718557,161.63229875244528,695.8582829858392,,,17840.0,17775.0,18262.5,,,17925.953848211364,18062.945152567318,-136.99130435595362,-139.9272453369291,2.9359409809754884,32.467532467532465,19654.21656597168,695.8582829858392,16870.783434028326,51.42857142857142,43.388879899741745,35.798753217771036
20161117,17850,18100,17750,18000,128811,64150,2301371,58.309518948453004,168.52299546352634,696.7065379340145,,,17910.0,17810.0,18260.0,,,17937.641789999674,18057.23159377159,-119.5898037719162,-135.82952115622808,16.239717384311913,40.57971014492754,19653.413075868033,696.7065379340145,16866.586924131967,84.0,57.08425240786657,42.976906386412494
20161118,18100,18100,17200,17550,138780,15477,2247811,158.11388300841895,180.2775637731987,688.3131554750354,,,17850.0,17800.0,18185.0,,,17876.697617871083,18011.946065500033,-135.24844762894645,-135.71261636669706,0.4641687377506116,31.50684931506849,19561.626310950072,688.3131554750354,16808.373689049928,48.0,54.03264850283981,46.690777853286654
20161121,17600,17600,17100,17350,116394,-20179,2239607,249.7999199359359,225.22211259110355,651.397536071484,,,17740.0,17755.0,18082.5,,,17794.169652026318,17953.732835877174,-159.5631838508525,-140.50536296944588,-19.05782088140663,41.07142857142857,19385.29507214297,651.397536071484,16779.704927857034,32.0,46.65050115624758,46.677282947663386
20161122,17350,17450,17050,17350,102890,-40215,2225567,263.8181191654584,238.53720883753067,561.3098520425241,,,17620.0,17690.0,17967.5,,,17724.770272416994,17901.365285008138,-176.59501259114768,-147.7506648704708,-28.84434772067689,46.938775510204074,19090.11970408505,561.3098520425241,16844.88029591495,32.0,41.75021490205677,45.02928172505313
20161123,17350,17600,17200,17550,83128,44769,2196983,237.4868417407584,230.2172886644261,484.0648200396309,,,17560.0,17700.0,17882.5,,,17697.528609096065,17871.26918043771,-173.74057134164468,-152.9644037234959,-20.776167618148747,48.0,18850.629640079263,484.0648200396309,16914.370359920737,48.0,43.838244948434806,44.63136075066014
20161124,17450,17500,17000,17250,150750,-86840,2186607,120.0,267.2077843177472,397.5235842060195,,,17410.0,17660.0,17785.0,,,17627.912738818468,17818.66373249006,-190.7509936715869,-160.54003847401387,-30.21095519757305,42.857142857142854,18580.047168412042,397.5235842060195,16989.952831587958,24.0,37.215413776881235,42.15560924581715
20161125,17200,17250,17000,17150,114343,-44348,2175032,132.664991614216,298.161030317511,367.62752889303636,,,17330.0,17590.0,17710.0,,,17553.697342537333,17762.63905705956,-208.941714522236,-170.2391344637686,-38.70258005846742,38.18181818181818,18445.25505778607,367.62752889303636,16974.74494221393,12.5,28.968572310081328,37.75546429952562
20161128,17100,17150,17000,17150,42742,-26267,2171793,149.66629547095766,304.9999999999996,269.01440481877603,,,17290.0,17515.0,17622.5,,,17491.09733355949,17711.802191504707,-220.70485794521665,-180.3479217507221,-40.35693619449452,33.333333333333336,18160.528809637548,269.01440481877603,17084.471190362452,12.5,23.475331262929963,32.992196939222055
20161129,17100,17250,17050,17250,28446,-5347,2167713,146.96938456699067,276.08875384556995,275.3520473866143,,,17270.0,17445.0,17592.5,,,17453.75674446919,17673.820058723242,-220.0633142540537,-188.30084549411976,-31.76246875993393,45.23809523809525,18143.204094773228,275.3520473866143,17041.795905226772,20.833333333333336,22.594267844866355,29.524656391203994
20161130,17250,17250,16950,16950,50944,-13590,2150486,109.54451150103323,276.08875384556995,308.6664866810135,,,17150.0,17355.0,17565.0,,,17375.816477656288,17614.77022577534,-238.95374811905282,-198.44146880600326,-40.51227931304953,34.09090909090909,18182.33297336203,308.6664866810135,16947.66702663797,0.0,15.060579633951724,24.701847115149747
20161201,17150,17150,16950,17000,107204,-36323,2129978,109.54451150103323,192.9378138157467,331.38912172852065,,,17100.0,17255.0,17532.5,,,17317.72153427956,17564.99045152376,-247.26891724420057,-208.2147016464404,-39.054215597760155,29.268292682926827,18195.27824345704,331.38912172852065,16869.72175654296,4.3478260869565215,11.488945723167081,20.296663474507184
20161202,17000,17050,16950,17000,66753,-22333,2117067,112.24972160321823,178.88543819998242,349.64267474094214,,,17070.0,17200.0,17500.0,,,17268.643274551214,17519.55494874038,-250.91167418916663,-216.75951207201803,-34.152162117148606,27.5,18199.285349481885,349.64267474094214,16800.714650518115,4.3478260869565215,9.108254314591672,16.566695217488633
20161205,17100,17100,16950,17050,44277,249,2102379,104.88088481701516,176.35192088548317,355.6244507904375,,,17050.0,17170.0,17462.5,,,17234.890612447092,17482.03224317094,-247.1416307238469,-222.83901847836185,-24.302612245485054,27.5,18173.748901580875,355.6244507904375,16751.251098419125,8.695652173913043,8.970708011664621,14.03447384916553
20161206,17000,17100,16900,17050,92460,-48173,2098914,37.416573867739416,168.52299546352634,343.91132578035325,,,17010.0,17140.0,17415.0,,,17206.36349195327,17447.708375708404,-241.34488375513317,-226.54169351715146,-14.803190237981768,28.947368421052627,18102.822651560702,343.91132578035325,16727.177348439294,21.428571428571427,13.123575844239031,13.73082314303548
20161207,17050,17050,16800,16800,101628,-14783,2052786,92.73618495495705,132.38202294873622,368.87497882073853,,,16980.0,17065.0,17382.5,,,17143.692838198913,17396.52461624387,-252.831778044958,-231.80141730066762,-21.030360744290306,20.0,18120.24995764148,368.87497882073853,16644.750042358522,0.0,8.748877315454738,12.070108766018498
20161208,16850,17100,16850,17000,56254,2635,2043504,92.73618495495705,117.89826122551477,372.4916106437839,,,16980.0,17040.0,17350.0,,,17121.540428634897,17365.344416123964,-243.80398748906742,-234.2025547092588,-9.601432779808619,34.285714285714285,18094.98322128757,372.4916106437839,16605.016778712434,25.0,14.166061231643877,12.76877803375349
20161209,16950,17100,16900,17050,38191,6628,2036583,96.95359714832657,112.249721603217,359.37445652132857,,,16990.0,17030.0,17310.0,,,17110.51491256569,17340.6602666359,-230.14535407020958,-233.3909460169184,3.2455919467087715,40.625,18028.74891304266,359.37445652132857,16591.25108695734,35.714285714285715,21.34892915112674,15.628878746688862
20161212,17050,17150,16950,17050,39836,10636,2030864,96.95359714832657,105.35653752852606,336.628504437756,,,16990.0,17020.0,17267.5,,,17101.19111846614,17318.003533076127,-216.81241460998717,-230.0746887277784,13.262274117791208,40.625,17940.757008875513,336.628504437756,16594.242991124487,55.55555555555556,32.751271747279006,21.336410052185002
20161213,17100,17400,17000,17350,69709,15236,2016243,176.06816861659007,128.84098726725017,299.11327285829407,,,17050.0,17030.0,17237.5,,,17139.51743326496,17320.488004264724,-180.97057099976521,-220.25255959727383,39.281988597508644,44.11764705882353,17835.726545716592,299.11327285829407,16639.273454283408,91.66666666666666,52.38989034630221,31.687651124283196
20161214,17300,17300,17100,17200,49205,10815,2000439,128.84098726725125,134.99999999999895,264.0549185302184,,,17130.0,17055.0,17205.0,,,17148.832319967205,17311.16563607054,-162.3333161033297,-208.66747896140384,46.33416285807411,48.38709677419354,17733.109837060438,264.0549185302184,16676.890162939562,66.66666666666666,57.148840604801634,40.174758545527915
20161215,17100,17250,17050,17050,76760,20238,1951960,120.0,133.79088160259548,192.53246479490227,,,17140.0,17060.0,17157.5,,,17133.613694056818,17291.025209467218,-157.41151541039653,-198.4154141019783,41.00389869158178,46.875,17542.564929589804,192.53246479490227,16772.435070410196,41.66666666666667,51.988098016247896,44.11255205974622
20161216,17100,17250,17050,17100,70366,1528,1942944,114.01754250991378,132.66499161421493,170.36725037400905,,,17150.0,17070.0,17135.0,,,17128.438427763056,17276.338530375917,-147.90010261286082,-188.3116641785671,40.41156156570628,48.48484848484848,17475.734500748018,170.36725037400905,16794.265499251982,50.0,51.32539714147725,46.51683932636173
20161219,17100,17150,16950,17100,110631,-16175,1918216,106.77078252031308,132.7591804735165,163.1525359900982,,,17160.0,17075.0,17122.5,,,17124.060472857956,17262.81899558577,-138.75852272781412,-178.40049627310864,39.64197354529453,45.16129032258064,17448.805071980198,163.1525359900982,16796.194928019802,50.0,50.88359741164332,47.97242760398337
20161220,17000,17150,17000,17100,153523,-58881,1893143,48.98979485566357,132.66499161421493,154.59624833740398,,,17110.0,17080.0,17110.0,,,17120.356848634587,17250.368274554854,-130.011425920271,-168.7222606559269,38.710834735655936,56.00000000000001,17419.19249667481,154.59624833740398,16800.80750332519,50.0,50.589064637684906,48.844640847054244
20161221,17150,17350,17100,17350,168521,55878,1858159,106.77078252031308,118.42719282326892,130.38404810405405,,,17140.0,17135.0,17100.0,,,17155.70282006242,17257.968875239934,-102.26605517751524,-155.43055641194834,53.16450123443312,62.06896551724138,17360.768096208107,130.38404810405405,16839.231903791893,91.66666666666666,64.28160805085697,53.99030011549577
20161222,17350,17350,17200,17300,108650,3251,1846238,111.35528725660043,118.42719282326892,133.67404385294955,,,17190.0,17165.0,17102.5,,,17177.911028563023,17261.168221884498,-83.25719332147855,-140.99548140269223,57.73828808121371,60.00000000000001,17369.848087705897,133.67404385294955,16835.151912294103,83.33333333333334,70.63218605257069,59.53759796763443
20161223,17200,17350,17200,17250,60432,19443,1835981,102.95630140987,114.12712210513205,137.18144918319052,,,17220.0,17185.0,17107.5,,,17189.005292694692,17260.31984790823,-71.31455521353928,-127.05898537061468,55.744430157075406,56.66666666666666,17381.86289836638,137.18144918319052,16833.13710163362,72.72727272727273,71.33054849063068,63.468582675143814
20161226,17350,17400,17250,17350,119904,27735,1827273,92.73618495495705,114.12712210513205,146.86303142724609,,,17270.0,17215.0,17117.5,,,17213.780612182534,17267.119394806214,-53.338782623679435,-112.31468177406154,58.9758991503821,59.375,17411.226062854494,146.86303142724609,16823.773937145506,90.0,77.55370026007111,68.1636228254893
20161227,17300,17400,17250,17400,168286,62024,1809107,50.99019513592785,120.83045973594456,156.92354826475304,,,17330.0,17220.0,17125.0,,,17242.4365046289,17277.176839679167,-34.74033505026455,-96.79959099052692,62.059255940262354,71.42857142857143,17438.847096529506,156.92354826475304,16811.152903470494,100.0,85.03580118837704,73.78768304272604
20161228,16800,17000,16650,16900,145428,-2253,1807167,177.2004514666935,154.59624833740216,160.05858302509202,,,17240.0,17190.0,17122.5,,,17189.74345384329,17248.67513737984,-58.931683536549826,-89.22592302373045,30.29423948718064,47.058823529411754,17442.617166050182,160.05858302509202,16802.382833949818,33.33333333333333,67.80164367807778,71.79233640738869
20161229,16900,16950,16750,16800,50383,4346,1818285,243.72115213907884,191.1151485361632,173.11484627264144,,,17140.0,17165.0,17112.5,,,17129.772799602633,17214.821106691015,-85.04830708838199,-88.39039220460039,3.3420851162184,42.857142857142854,17458.729692545283,173.11484627264144,16766.270307454717,20.0,51.86776149136914,65.15081103495253
20170102,16900,16900,16750,16800,17587,1984,1829118,268.32815729997475,220.28390771910625,184.71261462065948,,,17050.0,17135.0,17102.5,,,17079.031275408808,17183.564585728418,-104.53331031960987,-91.61899942067595,-12.914310898933936,42.857142857142854,17471.92522924132,184.71261462065948,16733.07477075868,20.0,41.24517390060935,57.18226500321272
20170103,16950,17100,16750,17050,142967,43391,1828766,224.4994432064365,221.58519806160282,184.71261462065948,,,16990.0,17130.0,17102.5,,,17074.56438550074,17173.51339303813,-98.94900753739056,-93.08500961432408,-5.863997923066492,41.17647058823529,17471.92522924132,184.71261462065948,16733.07477075868,53.333333333333336,45.27456048615692,53.21303005783306
20170104,17050,17500,16900,17400,301221,-37276,1949403,224.4994432064365,235.3720459187958,195.1922129594321,,,16990.0,17160.0,17120.0,,,17124.636523581496,17190.537209119277,-65.9006855377811,-87.6481193717387,21.7474338339576,55.26315789473684,17510.384425918866,195.1922129594321,16729.615574081134,88.23529411764706,59.59480528580729,55.34028850515966
20170105,17400,17450,17250,17250,67641,10372,1945093,239.58297101421883,229.1287847477914,182.53424336271885,,,17060.0,17150.0,17142.5,,,17143.924881267238,17195.001847130166,-51.07696586292877,-80.33386130408834,29.25689544115957,55.26315789473684,17507.56848672544,182.53424336271885,16777.43151327456,70.58823529411765,63.259281998886145,57.979953034505556
20170106,17250,17250,17050,17150,56874,25844,1937340,201.49441679609888,223.66269246344987,179.58284996068048,,,17130.0,17135.0,17150.0,,,17144.85958335452,17191.62638373666,-46.76680038214181,-73.6204290253533,26.85362864321148,51.282051282051285,17509.16569992136,179.58284996068048,16790.83430007864,58.82352941176471,61.78069779143954,59.24686796354243
20170109,17150,17200,16950,17100,56264,1747,1928591,124.09673645990856,220.45407685048542,178.5182063544228,,,17190.0,17120.0,17152.5,,,17137.957681399774,17184.76015071412,-46.80246931434522,-68.25682423986977,21.454354925524555,50.0,17509.536412708847,178.5182063544228,16795.463587291153,52.94117647058824,58.83419066889294,59.10930886459782
20170110,17000,17500,16950,17350,165919,-25751,2029601,114.01754250991378,220.45407685048542,181.8481509391841,,,17250.0,17120.0,17167.5,,,17170.58128675207,17197.132097779457,-26.55081102738768,-59.91560561877293,33.36479459138525,55.55555555555557,17531.196301878368,181.8481509391841,16803.803698121632,82.35294117647058,66.67377419908266,61.63079731832378
