date,open,high,low,close,volume,korcom,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120,ma5,ma10,ma20,ma60,ma120
20190809,60500,68900,53900,54600,324642,-94372,,,,,,,,,,
20190812,54400,56200,53000,53600,166709,44481,,,,,,,,,,
20190813,52600,53200,51400,51800,163852,32121,,,,,,,,,,
20190814,52400,52900,51900,51900,95402,46143,,,,,,,,,,
20190816,51200,51800,50000,51100,63207,13233,1294.604186614581,,,,,52600.0,,,,
20190819,51700,54100,51400,52500,82918,16103,837.6156636548777,,,,,52180.0,,,,
20190820,53200,53800,52500,53800,37312,2398,906.4215354899734,,,,,52220.0,,,,
20190821,53800,56000,53200,55000,41778,9958,1386.5064009949615,,,,,52860.0,,,,
20190822,55000,56700,55000,56400,27663,-535,1853.2134253776605,,,,,53760.0,,,,
20190823,55900,56600,55300,56100,23459,5278,1454.0976583434833,1749.7428382479495,,,,54760.0,53680.0,,,
20190826,55000,55600,54400,54700,15880,30,948.6832980505146,1755.2492700468476,,,,55200.0,53690.0,,,
20190827,54600,55400,53700,53700,29742,16861,978.5703858180062,1754.9928774784216,,,,55180.0,53700.0,,,
20190828,53800,55000,53800,54900,19888,10543,983.0564581955614,1663.4001322592178,,,,55160.0,54010.0,,,
20190829,54900,56000,54900,55100,24045,15202,769.4153624668547,1529.084693534003,,,,54900.0,54330.0,,,
20190830,55900,56900,55300,56000,43353,16485,738.6474125047764,1154.8160026601486,,,,54880.0,54820.0,,,
20190902,55600,56700,55600,55900,21667,8097,830.4215796810687,892.4124606928998,,,,55120.0,55160.0,,,
20190903,55700,56600,55600,56100,16112,5458,497.9959839195508,804.3009387038852,,,,55600.0,55390.0,,,
20190904,56200,56900,56000,56700,20227,3574,512.2499389946294,879.99999999997,,,,55960.0,55560.0,,,
20190905,56500,57900,56500,57100,25974,9217,463.0334761116106,967.5226095549114,,,,56360.0,55630.0,,,
20190906,57000,57200,55800,56400,19068,-2217,427.0831300812542,986.1034428496561,1731.2134472675498,,,56440.0,55660.0,54670.0,,
20190909,56100,56900,56100,56500,19077,4866,332.26495451672525,958.331884056844,1776.3093762067444,,,56560.0,55840.0,54765.0,,
20190910,56200,57100,56200,56900,23658,11505,256.12496949731684,685.857127979241,1813.3118871280785,,,56720.0,56160.0,54930.0,,
20190911,56900,57900,56900,57300,23952,-1191,344.09301068170726,619.6773353931279,1733.0536633353258,,,56840.0,56400.0,55205.0,,
20190916,57300,59500,57300,59200,36697,8044,1020.9799214480182,911.5371632577126,1766.9465187152648,,,57260.0,56810.0,55570.0,,
20190917,59100,59600,58400,59600,15415,2363,1256.980508997654,1189.1593669478912,1659.6611099860095,,,57900.0,57170.0,55995.0,,
20190918,59800,61800,59600,61400,42333,-2346,1636.3373735266214,1655.1737068960153,1845.6435192094907,,,58880.0,57720.0,56440.0,,
20190919,61100,61600,59900,60400,27465,1356,1365.8696863171103,1735.0792489105177,1932.1231844786691,,,59580.0,58150.0,56770.0,,
20190920,60000,60600,59600,59600,18050,-2454,783.836717690618,1710.6723824274127,1980.9088823063,,,60040.0,58440.0,57000.0,,
20190923,59600,60500,59600,60200,9996,-116,662.1178142898751,1720.610356821053,2093.2988319874435,,,60240.0,58750.0,57190.0,,
20190924,60200,61100,60100,60800,13232,818,601.3318551349176,1623.2375057273237,2217.8536921988325,,,60480.0,59190.0,57425.0,,
20190925,60500,61200,59800,60300,19400,-3039,387.81438859330825,1374.8090776540039,2209.6323223559148,,,60260.0,59570.0,57705.0,,
20190926,60300,60900,59900,60800,12373,-1420,445.4211490264033,1084.6197490364282,2105.564057443989,,,60340.0,59960.0,58060.0,,
20190927,60700,60800,59600,60000,5727,-585,324.96153618544065,629.3647591022537,2014.2678570637008,,,60420.0,60230.0,58315.0,,
20190930,59800,60300,59200,60000,7029,-1799,360.00000000000205,537.4941860149148,1903.2603605392492,,,60380.0,60310.0,58560.0,,
20191001,59200,61500,59200,61300,16144,-559,503.5871324805684,554.6169849543304,1897.333655422787,,,60480.0,60480.0,58825.0,,
20191002,60300,61000,58400,59300,15671,-8578,696.8500556073749,564.0035460879983,1776.0841759331101,,,60280.0,60270.0,58995.0,,
20191004,59300,59300,56700,56700,25903,-7027,1523.9422561238996,1205.8192235985648,1731.4372642403173,,,59460.0,59900.0,59025.0,,
20191007,56700,57700,56600,57300,10459,-883,1704.5820602130018,1438.0890097625568,1695.722559854646,,,58920.0,59670.0,59055.0,,
20191008,56400,58600,56400,58500,11961,-1560,1617.8998732925354,1465.6056768448514,1641.6074439402355,,,58620.0,59500.0,59125.0,,
20191010,58700,58700,57300,57700,9018,959,912.1403400793113,1485.5638660117788,1555.9241626763155,,,57900.0,59190.0,59190.0,,
20191011,58000,59200,57700,59200,9796,4403,881.816307401945,1439.3053880257187,1428.5919641381138,,,57880.0,59080.0,59325.0,,
20191014,59400,60800,59400,60800,14460,5843,1237.7398757412648,1439.3053880257187,1348.183963708215,,,58700.0,59080.0,59520.0,,
20191015,60800,61000,59900,60800,12311,2174,1237.7398757412648,1508.7743370033386,1273.7641068894955,,,59400.0,59160.0,59695.0,,
20191016,60900,61300,60400,61300,7863,1609,1333.5666462535726,1626.9296235547067,1314.5341380123966,,,59960.0,59290.0,59800.0,,
20191017,61300,61300,60300,60900,6500,-72,723.8784428341553,1581.2969360622503,1335.0187264604172,,,60600.0,59250.0,59865.0,,
20191018,61200,61800,60000,61200,18421,464,209.7617696340339,1686.5349092147055,1324.1884307000998,,,61000.0,59440.0,59855.0,,
20191021,61200,61200,60300,61000,8771,-1638,185.4723699099181,1467.0037491430776,1342.8607522747825,,,61040.0,59870.0,59885.0,,
20191022,61000,61700,60300,60500,6851,31,278.56776554368497,1195.3660527218592,1347.627544984145,,,60980.0,60190.0,59930.0,,
20191023,61000,61000,58900,59800,8486,-1042,495.5804677345562,1068.4568311353696,1346.4397498588614,,,60680.0,60320.0,59910.0,,
20191024,60100,60500,58800,60500,9073,-859,485.7983120596463,616.4414002967591,1338.0863200855144,,,60600.0,60600.0,59895.0,,
20191025,60200,60700,59700,60700,5722,2217,394.96835316263184,403.1128874147113,1346.9502589182698,,,60500.0,60750.0,59915.0,,
20191028,60700,60900,59600,60700,12668,5156,332.26495451672525,402.98883359198163,1343.8377878300614,,,60440.0,60740.0,59910.0,,
20191029,60500,61300,60400,61000,8600,2776,402.98883359219946,410.36569057345116,1364.6977687385565,,,60540.0,60760.0,59960.0,,
20191030,60400,61000,60100,60300,8427,-113,233.23807579381523,387.81438859308435,1366.7022353095035,,,60640.0,60660.0,59975.0,,
20191031,59900,61100,59900,60900,14454,1070,240.0000000000031,387.81438859308435,1349.990740708985,,,60720.0,60660.0,59955.0,,
20191101,60900,62300,60100,62100,16976,5036,600.0000000000013,566.1271941885725,1418.2647848691706,,,61000.0,60750.0,60095.0,,
20191104,62400,64600,62400,64500,24806,11717,1488.0860190190624,1264.1202474447666,1501.0912697101376,,,61760.0,61100.0,60485.0,,
20191105,64700,66800,64000,66800,18768,4801,2415.284662312085,2100.9759636892095,1874.6733048720766,,,62920.0,61730.0,60960.0,,
20191106,66900,67200,65500,66500,11742,-1580,2342.306555513177,2422.395508582318,2141.5881957089678,,,64160.0,62400.0,61360.0,,
20191107,66500,66900,65800,66900,7704,1913,1849.9729727755491,2668.7824939473376,2289.017256378814,3503.055808861745,,65360.0,63040.0,61820.0,58560.0,
20191108,66900,66900,65500,66200,8895,1207,874.9857141690953,2696.4606431394027,2394.3892749509205,3597.9840034231543,,66180.0,63590.0,62170.0,58753.333333333336,
20191111,65900,66200,64300,65000,5303,-298,685.2736679604736,2539.606268695947,2448.5914318236096,3621.756786729645,,66280.0,64020.0,62380.0,58943.333333333336,
20191112,65000,68000,65000,67600,18753,5986,859.3020423576343,2526.5787143882403,2667.88305590781,3666.918173192431,,66440.0,64680.0,62720.0,59206.666666666664,
20191113,67600,67600,66200,66700,6104,-2163,865.7944328765352,2112.723360972685,2781.348593758071,3664.899574188754,,66480.0,65320.0,62990.0,59453.333333333336,
20191114,66100,67100,66000,67100,5527,-836,888.5943956609233,1562.8179676468094,2875.0652166516143,3629.315821657487,,66520.0,65940.0,63300.0,59720.0,
20191115,67100,68000,66500,67400,7032,1044,930.8061022576084,948.7360012140912,2964.7765514453185,3636.550181452506,,66760.0,66470.0,63610.0,59968.333333333336,
20191118,67400,67700,66300,67700,9536,-3304,363.31804249170096,748.9325737339137,3028.774504647052,3678.722604383217,,67300.0,66790.0,63945.0,60200.0,
20191119,67100,67500,66200,66800,5721,851,372.02150475476753,748.9325737339137,2981.3419797131623,3710.748651627538,,67140.0,66790.0,64260.0,60396.666666666664,
20191120,66300,67000,65000,66200,12392,1189,516.1395160225592,765.7675887628727,2824.818578245335,3746.7408059094123,,67040.0,66760.0,64580.0,60560.0,
20191121,66200,66200,63700,64500,18465,971,1133.8430226446699,1018.6265262596023,2666.0082520502438,3734.3897314911733,,66520.0,66520.0,64780.0,60700.0,
20191122,63700,66400,63700,66200,17832,2405,1045.7533169921105,1018.6265262596023,2510.074700083644,3716.597532989316,,66280.0,66520.0,65055.0,60891.666666666664,
20191125,66200,67000,66200,67000,7024,2533,880.0000000000009,888.594395660756,2332.8308982864564,3677.474979142927,,66140.0,66720.0,65370.0,61113.333333333336,
20191126,66800,67000,66200,66700,16069,589,865.7944328765352,839.1066678317508,2120.01768860545,3655.393275695524,,66120.0,66630.0,65655.0,61310.0,
20191127,66700,67200,66200,66400,6192,-1750,873.1551981177237,841.4273587183293,1730.722392528621,3621.532441139011,,66160.0,66600.0,65960.0,61498.333333333336,
