date,open,high,low,close,volume,korcom,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120
20201230,38660,39750,38595,39705,455202,-17889,,,,,
20201229,38410,38845,38350,38795,384866,37712,,,,,
20201228,38265,38515,38015,38045,298808,-7020,,,,,
20201224,37350,38125,37340,37980,322135,-18422,,,,,
20201223,36925,37290,36585,37255,264926,-14303,832.2043018393985,,,,
20201222,37180,37260,36730,36730,1959280,1698993,709.474453380811,,,,
20201221,37355,37355,36885,37330,278282,22924,490.7402571625855,,,,
20201218,37425,37445,37195,37315,2103559,-1685900,396.9962216444894,,,,
20201217,37365,37380,36940,37340,385192,23359,233.86748384501973,,,,
20201216,37450,37570,37250,37380,324565,875,245.44653185571917,836.4187049558375,,,
20201215,37200,37250,36845,37225,399118,-58868,51.24451190128128,549.5928038102395,,,
20201214,37555,37555,37165,37225,448185,48379,62.33778950203928,360.0920021327888,,,
20201211,37130,37540,37130,37345,442005,-28232,65.16133823058392,284.63353632346343,,,
20201210,36925,37365,36695,37045,420539,31712,117.49042514179851,186.74581655287588,,,
20201209,36870,37270,36695,37265,304250,-14886,98.3056458195589,186.96256309753664,,,
20201208,36960,37065,36470,36470,328375,-16605,315.68972108702013,257.9127759534226,,,
20201207,37185,37225,36660,37090,298244,35270,306.9299594370034,255.2939482243956,,,
20201204,36380,37090,36375,36890,440939,-713,269.0092935197603,262.8806763533607,,,
20201203,36135,36260,35945,36215,541967,1912,389.50481383418173,367.69552621700524,,,
20201202,35490,36015,35490,35990,421452,-785,409.2969582100514,455.6522797046015,813.2131869934223,,
20201201,34975,35440,34975,35335,340275,-58820,633.5092738074168,630.2269432513976,728.9089020584095,,
20201130,35415,35450,34835,34835,220259,40208,711.3128706834993,808.7712902916376,781.1601548338175,,
20201127,35265,35380,35130,35340,296926,16739,497.41934019497126,810.0717560809045,807.5719782161786,,
20201126,34865,35280,34810,35280,267940,-765,368.7465254073597,809.3633300316986,821.247526632495,,
20201125,35305,35460,34740,34905,255493,-4114,221.7521138568933,769.9123326717142,890.7391593502495,,
20201124,35045,35330,34940,35115,294271,28294,199.17329138215436,765.4555832966406,940.5334590007886,,
20201123,34225,34965,34170,34910,347715,-26490,181.0248601711946,638.2634644094869,974.1846270086521,,
20201120,34055,34250,33975,34145,249847,-3920,388.99100246663875,558.8076592173736,1054.8773329160053,,
20201119,34000,34105,33845,34095,220146,-234,426.7598856499994,537.931222369552,1110.1283709553518,,
20201118,34190,34255,33990,34080,234816,14470,448.99220483211127,487.4515360525602,1138.3804285035742,,
20201117,34170,34320,34030,34095,391293,-1919,323.24912992922435,494.272192218013,1152.283710724047,,
20201116,33755,34205,33475,34120,468666,-38895,22.93468988237161,517.8322604859612,1143.2719219415726,,
20201113,33035,33405,32935,33360,546216,29443,295.27952858266445,575.597298464821,1156.4629263404752,,
20201112,33150,33240,32950,33060,530319,-10830,445.5962297865642,623.5465098932078,1186.5459061915697,,
20201111,32740,33260,32740,33210,618668,-10634,449.87109264766116,635.9944968315373,1150.256927820898,,
20201110,32785,32795,32460,32675,442796,-16833,475.64692787823253,636.761336765982,1192.3165215243678,,
20201109,32570,32935,32565,32685,492564,4738,276.4525275702875,588.1719561488803,1143.207548960365,,
20201106,32375,32520,32200,32300,706023,-911,320.4902494616654,658.5408111878871,1103.8347928924704,,
20201105,31750,32230,31645,32200,598026,-809,356.0814513562881,693.783287489689,1100.1230328922127,,
20201104,31565,31675,31260,31505,850080,-5316,430.63441571709126,783.4660171315667,1145.48515922292,,
20201103,30910,31350,30910,31300,272006,5224,516.5713890644744,812.7947157800672,1221.2046050928386,,
20201102,30385,30730,30275,30710,244589,-12816,590.0982968963735,835.958880567699,1347.2953462399971,,
20201030,30980,30980,30250,30310,362466,8070,653.4676732631849,943.269447188872,1438.2597122911948,,
20201029,31000,31105,30750,31080,445686,-1884,426.57238541659086,906.1187836040043,1426.2366563792798,,
20201028,31115,31425,31040,31425,321467,-2304,407.7008707373588,776.884161249282,1394.2808181998153,,
20201027,31295,31485,31175,31260,411961,-5881,401.39257591540047,696.3485118818021,1328.4613985735316,,
20201026,31735,31780,31490,31505,312209,4883,428.59538028308305,570.3045239168284,1240.124590514978,,
20201023,31530,31685,31340,31585,723371,9539,180.92539899085634,486.586066384972,1190.3029026260251,,
20201022,31495,31515,31280,31455,352417,5140,107.62899237659228,388.3687036824677,1131.9845405304523,,
20201021,31685,31750,31545,31665,406998,-3239,137.05473359209657,403.06606158296233,1050.444519001331,,
20201020,31225,31585,31100,31585,393793,-9188,72.55342858887207,416.88247744418373,946.4307621268108,,
20201019,31305,31605,31305,31355,337182,3715,110.01818031580306,374.88831670245526,811.6681895946979,,
20201016,31515,31620,31075,31280,519916,-8003,141.9718281913724,169.69752502614872,736.3567409889945,,
20201015,31660,31675,31325,31465,600955,6349,141.84498581197911,126.47529403010049,668.8338265219039,,
20201014,32030,32060,31650,31720,419783,2053,157.77832550765825,147.9231219248714,563.0614420291371,,
20201013,32170,32225,31790,32020,175979,8373,270.67692919789187,198.20507057086198,513.7531021803479,,
20201012,31910,32110,31895,31975,663523,-4437,286.2621176474466,231.66193040722158,452.9983443677587,,
20201008,32015,32105,31790,31870,633300,-4317,201.02238681301284,243.97540859685094,423.01920760165285,,
20201007,31355,31870,31320,31845,138137,-4043,105.23307464861301,242.61286033514457,398.47921840408446,,
20201006,31655,31770,31460,31555,244418,8473,162.43768035773152,245.43023448630035,398.9996083957102,2557.729651902682,
