date,open,high,low,close,volume,korcom,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120
20201230,31250,31550,31100,31550,4606,0,,,,,
20201229,30800,31400,30800,31250,8193,0,,,,,
20201228,32550,32550,30700,30800,13854,0,,,,,
20201224,33400,33400,31500,32000,27077,0,,,,,
20201223,33650,34050,32700,34050,19768,0,1129.8672488394377,,,,
20201222,33800,33800,32700,32850,21143,0,1161.6367762773352,,,,
20201221,35200,35200,32550,34100,48240,0,1255.9458587057006,,,,
20201218,36150,36850,34500,35500,64845,0,1194.571052721436,,,,
20201217,34650,35250,33900,34750,31091,-169,875.7853618324526,,,,
20201216,35550,35550,34250,34400,140184,0,870.976463516667,1563.8494173033425,,,
20201215,37350,37500,35850,35850,10963,169,659.2419889539804,1659.8870443497078,,,
20201214,38700,39000,36100,36150,26015,-10913,659.2419889539804,1630.09969020303,,,
20201211,38250,39400,38250,38700,7725,0,1513.4728276384747,1773.985625646393,,,
20201210,39000,40800,37500,38250,25894,-35,1594.553228964151,1766.040769631333,,,
20201209,39950,40450,38600,39400,23570,35,1415.132502630054,2046.026637167766,,,
20201208,37900,42000,37050,39800,52766,2694,1274.1271522104848,2040.073528086683,,,
20201207,38050,38500,37750,37950,11980,830,691.8092222571191,1871.2629425070252,,,
20201204,37700,38900,37100,37750,16616,2748,817.6796438703852,1802.3595645708579,,,
20201203,36150,38100,36000,37700,17999,2410,894.7625383307014,1589.7248189545435,,,
20201202,36000,36700,35600,36650,13892,2231,1021.077861869505,1243.0205147140807,2739.7296855711925,,
20201201,37050,37100,35550,35550,23893,0,906.4215354899728,1292.8263611174002,2587.8791992672354,,
20201130,38100,38800,35950,37250,51856,0,817.0679286326199,1191.4277149705974,2398.6702045091633,,
20201127,45750,45750,37500,37500,416705,0,774.9838707999025,1164.946350696056,2102.4554097530904,,
20201126,33550,36650,33550,35200,50864,0,911.3725912051558,1381.1679839903813,1878.3819499771705,,
20201125,33650,35000,33550,34000,24962,0,1311.8688958886098,1566.2135869670037,1881.628284226201,,
20201124,33200,34300,33000,33650,8475,0,1601.4368548275638,1527.4488534808754,1811.5532009852864,,
20201123,33400,33750,32850,32850,6521,0,1617.838063589802,1735.3385836775585,1912.2156651382284,,
20201120,34450,34450,33000,33400,11981,0,785.2388171760232,1739.7198050260938,2015.9287561816354,,
20201119,34050,34400,33700,34000,7280,0,429.6510211788167,1593.180780702562,2051.767530691534,,
20201118,34600,35050,33700,34050,6904,0,439.77266854592045,1513.6792923205437,2069.3160101830836,,
20201117,34350,34950,34100,34600,9487,0,600.4997918400971,1489.798644112694,2100.083331679968,,
20201116,33550,34550,33550,34150,6421,0,383.92707640904933,1213.4249049694083,2148.1038149959218,,
