date,open,high,low,close,volume,korcom,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120
20201230,8830,9090,8690,8900,131753,0,,,,,
20201229,8540,8910,8540,8780,125248,0,,,,,
20201228,9290,9600,8750,8820,556084,1000,,,,,
20201224,8350,8480,8260,8460,18426,0,,,,,
20201223,8420,8420,8230,8290,18984,0,234.09399821439266,,,,
20201222,8510,8530,8310,8320,30169,0,224.9977777668039,,,,
20201221,8690,8690,8400,8510,51394,0,188.99735447883938,,,,
20201218,8680,8830,8540,8610,60290,0,119.23086848631134,,,,
20201217,8600,8790,8440,8630,57390,0,142.60434775980735,,,,
20201216,8560,8670,8540,8580,29589,0,112.60550608207429,193.23560748474912,,,
20201215,8420,8800,8350,8590,96887,0,40.792156108743136,163.612346722367,,,
20201214,8590,8590,8370,8420,36155,0,74.99333303701117,150.06998367428457,,,
20201211,8530,8590,8440,8520,24615,0,73.04792947099918,113.1415043209168,,,
20201210,8580,8700,8430,8520,63044,0,60.5309838016868,112.82287002199526,,,
20201209,8330,8430,8240,8400,40311,0,70.42726744663653,96.02083107326261,,,
20201208,8400,8480,8260,8330,37599,0,73.32121111929392,94.06912352095152,,,
20201207,8550,8570,8350,8350,47198,0,81.63332652783464,105.7591603597534,,,
20201204,8820,8820,8520,8560,44050,0,91.95651146058157,101.29165809680497,,,
20201203,8840,8870,8600,8750,82228,0,158.16447135814056,122.13107712617635,,,
20201202,8700,8780,8540,8740,57720,0,181.3945974939719,140.41367454774493,172.69626515938322,,
20201201,8440,8800,8440,8700,88628,0,151.1290838985007,149.62954253756186,157.49285698088033,,
20201130,8520,8580,8400,8430,47278,0,123.38557452149773,148.92951352905183,149.5418001764058,,
20201127,8490,8650,8370,8470,76369,0,138.76599006961348,150.01666574084373,133.82451195502315,,
20201126,8270,8420,8260,8400,39027,0,142.74452704044407,154.6641522784127,135.5507285115065,,
20201125,8350,8430,8250,8290,60268,-138,134.96666255042416,165.81917862539314,135.5507285115065,,
20201124,8300,8370,8250,8320,44250,0,67.34983296193147,166.8801965483024,135.5507285115065,,
20201123,8280,8590,8160,8250,122195,-4500,79.14543574963795,178.23860412379815,146.5639792036235,,
20201120,8170,8260,8080,8160,36896,-500,79.14543574963795,201.61597158955448,160.73191966750178,,
20201119,8200,8200,8040,8170,43458,3000,63.68673331236318,190.3706910214911,168.96375350944447,,
20201118,8350,8350,8180,8240,42778,2000,58.44655678481043,155.05160431288687,171.8567717606739,,
20201117,8580,8580,8260,8300,98236,0,52.38320341483585,99.40321926376447,170.01176429882844,,
20201116,8620,8730,8500,8600,57933,-3500,161.1955334368793,129.61481396815734,174.68543156199482,,
20201113,8350,8500,8350,8490,68052,0,160.37456157383585,132.04544672195266,173.9906606689002,,
20201112,8710,8770,8350,8480,137251,3500,132.42356285797504,138.78040207464466,173.09751586894708,,
20201111,8820,8940,8610,8710,147416,0,136.61625086350477,178.25823964125763,184.01358645491462,,
20201110,9180,9290,8780,8890,243496,0,152.91827882892244,234.71045992882387,206.7970019125042,,
20201109,8770,9200,8620,8840,348637,0,171.27755252805332,255.5308200589511,220.30603713924907,,
20201106,8830,10700,8600,8690,1856357,-1700,142.74452704044407,236.23928547132044,224.17403953178916,,
20201105,8360,8590,8010,8300,151445,1700,207.32583051805213,218.3666641225259,220.09713764608625,,
20201104,8480,8570,8200,8290,152400,0,259.18333279746224,211.58686159589408,214.63690269848823,,
20201103,8500,8620,8270,8480,199834,0,216.42550681470073,195.85964362267188,207.09901013766418,,
20201102,8260,8650,8080,8280,302866,0,159.1728620085725,214.72074888095943,210.0208323000372,,
20201030,8330,8550,7860,7990,280442,0,157.4039389596082,272.22233560088347,230.76557368897213,,
20201029,8190,8960,7950,8440,630183,0,172.34848418248438,272.7068022620632,230.8565571951562,,
20201028,9060,9230,8190,8310,655659,0,172.3948955160798,266.92508312258707,230.37523738457747,,
20201027,7890,9470,7530,8770,3003802,0,253.09286833097465,249.01606373886813,242.0206602751103,,
20201026,9640,9800,7910,8000,1290615,0,292.12326165507613,241.13274352522106,257.18232831981356,,
20201023,8780,10650,8550,9950,3510027,0,674.8214578686722,534.2742741326781,414.16059687034465,,
20201022,7530,9250,7410,8300,3276566,0,687.5638152200856,534.2742741326781,409.7544996702295,,
20201021,7300,7650,7200,7530,91429,0,825.324178732212,605.3635271471185,459.941300602588,,
20201020,7210,7300,7100,7280,23949,0,938.8375791370944,691.4224468441852,528.7050217276173,,
20201019,7260,7320,7210,7250,13347,0,1017.3573610093948,758.0079155259529,585.9033623388763,,
20201016,7350,7550,7200,7230,74705,0,405.72897357718983,809.7802170959723,634.6296163905375,,
20201015,7450,7450,7220,7430,58577,0,116.55041827466772,824.6726623333649,660.511922678161,,
20201014,7300,7530,7240,7370,49200,0,76.0,838.0149163350256,677.9815631711538,,
20201013,7280,7320,7220,7320,16101,0,74.29670248402684,801.4886150158342,682.2233871687494,,
20201012,7250,7290,7210,7270,25877,0,70.8801805866774,810.0499984568854,683.1720134783051,,
20201008,7350,7370,7160,7250,11205,0,65.84831053261732,305.77933219889144,685.0664201374942,,
20201007,7340,7340,7210,7220,6588,0,53.14132102234569,95.10520490488415,697.9512876985054,,
20201006,7420,7420,7230,7300,13375,0,35.4400902933387,62.57795138864806,703.4790330919622,535.7935703234964,
20201005,7300,7400,7230,7340,18544,0,41.27953488110059,64.0,696.1485114542745,543.0955256674458,
20200929,7300,7390,7220,7280,14512,0,41.182520563948,62.36184731067546,695.1782145608437,552.949138709881,
20200928,7100,7250,7050,7250,27437,0,41.182520563948,60.340699366182356,700.6388156532597,561.6548960190959,
20200925,7040,7060,6860,7050,26376,0,101.31140113531151,83.57631243360764,693.1341861429161,579.796204617526,
20200924,7050,7050,6850,6950,33033,0,148.4048516727132,118.49472562101657,690.2832751849077,600.7074301743452,
20200923,7170,7250,7000,7090,29744,0,124.1933975700802,119.74973903938162,639.1017133446,615.7480545374591,
20200922,7300,7330,7000,7070,56516,0,96.82974749528164,123.0447073221762,633.6029908389032,628.8224444679639,
20200921,7670,7690,7200,7330,57348,0,125.60254774486066,129.75361266646874,262.6304437798551,633.4307819766533,
20200918,7680,8050,7640,7670,191408,0,255.6873090319502,194.78449630296555,158.6631652274835,631.8543256866157,
20200917,7520,7900,7350,7630,131717,0,255.6873090319502,228.39439572809135,167.95535120978943,631.020579872179,
20200916,7820,7820,7500,7520,40547,0,221.05203007436958,240.29981273400944,175.98011251276003,631.0182247764315,
20200915,7840,7840,7500,7730,80210,0,140.79772725438434,274.9709075520536,199.86245270186095,630.3846048247045,
20200914,7490,7860,7450,7740,135591,0,79.84985911070852,299.1253917673991,219.00856147649466,628.2776058399654,
20200911,7430,7430,7280,7400,22289,0,129.3986089569745,278.4618465786651,218.492562802498,629.8256151948367,
20200910,7440,7480,7360,7370,39891,0,157.65785740013087,233.50588857671235,218.492562802498,632.7963513028667,
20200909,7150,7480,7060,7340,34138,0,179.84437717093076,204.69489490458722,218.44907873461847,636.4989962460437,
20200908,7400,7410,7200,7250,64695,0,167.69019053003666,173.3666634621547,218.81270529839793,641.0909755166483,
20200907,6980,7340,6980,7110,58315,-2000,104.80458005259122,204.46026508835402,223.73198251480176,644.9900946698492,
20200904,6800,7050,6790,6980,14622,-1690,146.28738838327794,240.58470441821524,235.54192832700423,647.1323709686869,
20200903,7080,7080,6960,6970,42255,0,146.28738838327794,260.09421369957465,247.6141151065578,648.3809751133107,
20200902,6910,7120,6800,7010,45223,-1500,105.37551897855593,269.81475126464085,255.50146770616345,648.3194300137333,
20200901,6820,6900,6790,6790,19946,0,103.61467077590895,263.82570003697515,277.54053757965477,657.3560467678234,
20200831,6850,6890,6720,6760,16839,0,104.95713410721541,222.29709849658408,298.4057640194033,665.2392218008652,
20200828,6820,6990,6750,6800,19923,2400,102.87856919689348,213.48536249588636,310.9899516061634,672.0324892939814,
20200827,7000,7000,6760,6820,24979,1100,89.12911982062877,190.4757202375148,317.9606893941512,678.9148817537181,
20200826,7250,7250,6970,6980,23524,0,77.45966692414834,149.13416778190035,321.08059735836406,681.257395474638,
20200825,7080,7220,6980,7130,28125,0,138.04347141389917,127.534309109353,320.0042968461578,681.5541675709508,
20200824,7000,7070,6830,7010,20130,0,123.51518125315609,116.8973909033046,321.923515761126,684.2742302777597,
20200821,6800,7020,6650,6950,33612,-1500,99.87992791347018,115.82745788456207,307.3349150357051,687.303426442789,
20200820,7160,7160,6550,6710,46681,1500,137.34627770711518,130.39938650162432,303.039188884877,693.3705719166326,
20200819,7060,7240,7040,7100,22025,0,149.3987951758648,140.65916251705752,288.7018358098961,690.9578496550988,
20200818,7520,7520,6990,7040,85775,0,134.9666625504239,140.21412197064888,249.6417433042886,682.3816747246353,
20200814,7700,7760,7590,7590,69638,0,288.4024965217881,231.1730953203681,230.7265697747105,672.0377593558252,
20200813,7690,7890,7690,7700,46293,-1000,367.1185094761636,296.64962497869436,260.4702478211366,661.6862927399948,
20200812,7810,7890,7630,7740,46611,0,301.8343916786157,334.8208476185436,292.2823976910075,644.8435641473211,
20200811,7710,8080,7710,7860,188310,-3000,286.3284826907725,379.4219287284276,333.65401241406374,621.8796552031217,
20200810,7570,7780,7500,7660,92487,2400,89.88882021697692,391.1828217087248,353.3337657230117,597.9978400183938,
20200807,7900,7910,7640,7700,59810,0,68.81860213634101,388.43918442917163,373.9986630992202,578.2539811074927,
20200806,7780,7990,7700,7810,79541,0,72.55342858886821,373.0804202849568,396.5384596732124,570.0599140051451,
20200805,8150,8150,7840,7840,85651,1100,79.39773296511683,278.5749450327506,415.4756310543421,562.1917426959892,
20200804,8050,8180,7860,8120,123299,500,161.44348856488452,261.57981573508306,452.22201405947015,553.2011890402563,
20200803,8440,8440,7900,8100,160289,0,166.80527569594435,168.39239887833418,467.42806933260164,549.2272348996846,
20200731,8210,8650,7900,8150,415338,0,147.32277488562318,178.08986495586996,474.6943753616671,552.1826388674897,
20200730,7780,9400,7750,8170,2711416,-3913,120.43255373859678,189.2220917334971,476.17118770459336,545.2425301337603,
20200729,7360,7530,7230,7270,121363,0,346.837137573242,268.5814587792687,453.15863668256725,534.2542829860015,
20200728,7370,7810,7250,7320,447854,0,414.8927572276961,315.03015728656834,438.28386919895075,505.53107388830637,
20200727,7250,7320,7160,7240,65342,0,433.54353875937306,357.8491302211031,433.66346399022706,500.20784568905606,
20200724,7320,7400,7140,7180,105610,0,369.78912909927465,399.84997186444815,424.48645443642005,375.1314954637724,
20200723,7330,7580,7200,7320,161619,0,52.76362383309168,415.53459543099416,405.00493824150203,354.4455372675557,
20200722,7110,7720,7090,7360,467812,0,64.99230723708769,420.9287350609364,357.04726577863994,353.59251500373136,
20200721,7340,7350,7120,7200,137061,0,69.2820323027551,402.3791744114002,350.46076813247265,353.955584156477,
20200720,7410,7470,7150,7340,203042,0,74.83314773547883,356.9383700304578,331.2744330611747,353.7800242460743,
20200717,7550,7940,7390,7450,810638,0,80.39900496896712,272.40594707164524,333.5906923162016,353.7903883500599,
20200716,7710,7960,7210,7450,999804,0,91.86947262284681,88.43641783790206,335.28197088421376,353.8836516270372,
20200715,6850,8580,6600,8280,4361962,-943,379.2940811560339,301.56922919953223,364.78623877553645,373.73772740905656,
20200714,6450,6650,6260,6600,77622,3577,532.9390209020165,388.76213807416997,425.30694797993,386.0672077357597,
20200713,6550,6550,6390,6440,27662,0,666.2311911041091,474.4006745357768,491.508901241883,402.98231971142025,
20200710,6760,6760,6470,6550,50030,0,706.6144634806168,520.6812844725648,532.3107644975848,415.0947348363819,
20200709,6660,6890,6610,6760,61068,0,684.7948597937925,534.5848856823395,546.7366825081369,421.05459529878016,
20200708,6750,6750,6550,6610,38061,0,103.42146779078317,551.2313488908264,563.4933451248592,430.51893751094485,691.8705271861835
20200707,6650,6890,6510,6700,101206,-2000,112.32096865679178,559.6034310116406,550.7492623690056,437.2630787066263,691.4177011763574
20200706,6370,6660,6320,6530,37292,0,87.86353054595519,565.7216630110606,539.2624592904683,447.9316354087945,694.3774189876846
