,KG이니시스,A035600,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,465.5,485.13,495.29,507.83,567.97,623.22,873.78,900.97,957.17,1425.78,1327.34,1202.47,1320.24,1627.85,1689.9,1689.32,1748.98,1840.46,1601.88,1617.51
, - 매출원가,358.97,364.43,379.75,386.31,456.65,501.1,614.19,643.49,701.68,1149.4,1077.11,933.17,1027.81,1304,1427.12,1438.15,1475.35,1535.14,1323.1,1349.31
, = 매출총이익,106.53,120.7,115.54,121.52,111.32,122.12,259.59,257.48,255.49,276.38,250.23,269.3,292.43,323.85,262.78,251.17,273.63,305.32,278.78,268.2
, - 판매비와관리비,61.99,77.87,72.86,83.03,72.96,86.65,158.28,157.72,161.53,211.19,163.19,168.74,172.86,233.26,197,209.66,203.29,282.92,197.13,183.16
, = 영업이익,44.54,42.83,42.68,38.49,38.36,35.47,101.31,99.76,93.96,65.19,87.04,100.56,119.57,90.59,65.78,41.51,70.34,22.4,81.65,85.04
,* 지배순이익,44.5,3.59,47.9,46.88,43.38,25.08,75.76,69.44,37.05,-13.47,41.27,56.66,67.81,11.61,14.47,-17.71,16.31,-21.84,21.68,50.15
,매출원가비중,77.11,75.12,76.67,76.07,80.4,80.4,70.29,71.42,73.31,80.62,81.15,77.6,77.85,80.11,84.45,85.13,84.35,83.41,82.6,83.42
,매출총이익율,22.89,24.88,23.33,23.93,19.6,19.6,29.71,28.58,26.69,19.38,18.85,22.4,22.15,19.89,15.55,14.87,15.65,16.59,17.4,16.58
,판관비율,13.32,16.05,14.71,16.35,12.85,13.9,18.11,17.51,16.88,14.81,12.29,14.03,13.09,14.33,11.66,12.41,11.62,15.37,12.31,11.32
,영업이익률,9.57,8.83,8.62,7.58,6.75,5.69,11.59,11.07,9.82,4.57,6.56,8.36,9.06,5.57,3.89,2.46,4.02,1.22,5.1,5.26
,지배순이익률,9.56,0.74,9.67,9.23,7.64,4.02,8.67,7.71,3.87,-0.94,3.11,4.71,5.14,0.71,0.86,-1.05,0.93,-1.19,1.35,3.1
,매출액YOY(%),,,,,22.01,28.46,76.42,77.42,68.52,128.78,51.91,33.46,37.93,14.17,27.31,40.49,32.47,13.06,-5.21,-4.25
,영업이익YOY(%),,,,,-13.88,-17.18,137.37,159.18,144.94,83.79,-14.09,0.8,27.26,38.96,-24.43,-58.72,-41.17,-75.27,24.13,104.87
,지배순이익YOY(%),,,,,-2.52,598.61,58.16,48.12,-14.59,-153.71,-45.53,-18.4,83.02,186.19,-64.94,-131.26,-75.95,-288.11,49.83,383.17
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1714.98,-153.66,1449.08,1718.85,2190.62,2225.98,2337.49,2388.24,2322.2,2198.31,2281.07,1778.09,1896.65,1519.72,2409.15,1903.5,1979.17,1809.72,0,
