,SK가스,A018670,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,13006.3,13170.35,13588.05,12684.73,11513.36,21770.85,15127.2,15230.44,17153.84,19210.99,16929.55,15876.53,13261.04,13367.53,9141.62,9636.85,10882.73,11128.67,11650.11,13044.04
, - 매출원가,12040.87,12089.76,12725.35,11847.29,10606.13,20974.68,14354.39,14426.18,16362.52,18352.54,16249.46,14811.13,12323.73,12620.14,8506.15,8846.13,10114.98,9999.17,10307.24,11863.79
, = 매출총이익,965.43,1080.59,862.7,837.44,907.23,796.17,772.81,804.26,791.32,858.45,680.09,1065.4,937.31,747.39,635.47,790.72,767.75,1129.5,1342.87,1180.25
, - 판매비와관리비,480.67,659.85,483.09,439.89,498.78,679.3,454.19,483.51,462.35,591.87,533.44,554.34,466.92,672.34,535.12,517.73,528.77,750.19,712.27,672.82
, = 영업이익,484.76,420.74,379.61,397.55,408.45,116.87,318.62,320.75,328.97,266.58,146.65,511.06,470.39,75.05,100.35,272.99,238.98,379.31,630.6,507.43
,* 지배순이익,293.52,101.97,182.42,58.98,563.84,-1.71,248.38,294.63,249.52,231.76,36.42,423.74,196.81,317.32,69.11,205.06,93.31,324.41,311.29,511.53
,매출원가비중,92.58,91.8,93.65,93.4,92.12,96.34,94.89,94.72,95.39,95.53,95.98,93.29,92.93,94.41,93.05,91.79,92.95,89.85,88.47,90.95
,매출총이익율,7.42,8.2,6.35,6.6,7.88,3.66,5.11,5.28,4.61,4.47,4.02,6.71,7.07,5.59,6.95,8.21,7.05,10.15,11.53,9.05
,판관비율,3.7,5.01,3.56,3.47,4.33,3.12,3,3.17,2.7,3.08,3.15,3.49,3.52,5.03,5.85,5.37,4.86,6.74,6.11,5.16
,영업이익률,3.73,3.19,2.79,3.13,3.55,0.54,2.11,2.11,1.92,1.39,0.87,3.22,3.55,0.56,1.1,2.83,2.2,3.41,5.41,3.89
,지배순이익률,2.26,0.77,1.34,0.46,4.9,-0.01,1.64,1.93,1.45,1.21,0.22,2.67,1.48,2.37,0.76,2.13,0.86,2.92,2.67,3.92
,매출액YOY(%),,,,,-11.48,65.3,11.33,20.07,48.99,-11.76,11.91,4.24,-22.69,-30.42,-46,-39.3,-17.93,-16.75,27.44,35.36
,영업이익YOY(%),,,,,-15.74,-72.22,-16.07,-19.32,-19.46,128.1,-53.97,59.33,42.99,-71.85,-31.57,-46.58,-49.2,405.41,528.4,85.88
,지배순이익YOY(%),,,,,92.1,-101.68,36.16,399.54,-55.75,13653.22,-85.34,43.82,-21.12,36.92,89.76,-51.61,-52.59,2.23,350.43,149.45
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,12945.22,15076.12,17063.77,16525.05,13855.61,16144.54,16605.76,14418.2,19517.71,18049.96,12741.06,12904.18,10637.2,13028.3,12353.21,10311.87,9565.89,11892.22,17396,
