,대성홀딩스,A016710,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,96.74,126.74,148.74,95.95,80.88,3607.26,4410.3,2617.42,2008.89,3702.19,4574.96,2313.37,1934.38,3871.75,4278.57,1927.47,1545.71,2808.08,3593.79,1525.37
, - 매출원가,81.64,112.68,62.28,78.05,64.24,3268.11,4000.83,2384.08,1809.99,3328.87,4154.08,2126.17,1730.45,3454.97,3802.68,1713.5,1327.02,2469.31,3073.96,1316.38
, = 매출총이익,15.1,14.06,86.46,17.9,16.64,339.15,409.47,233.34,198.9,373.32,420.88,187.2,203.93,416.78,475.89,213.97,218.69,338.77,519.83,208.99
, - 판매비와관리비,13.68,19.94,15.46,16.69,16.46,227.59,224.14,238.64,248.22,244.74,238.09,233.04,234.46,277.08,243.2,249.21,249.57,264.87,254.17,257.41
, = 영업이익,1.42,-5.88,71,1.21,0.18,111.56,185.33,-5.3,-49.32,128.58,182.79,-45.84,-30.53,139.7,232.69,-35.24,-30.88,73.9,265.66,-48.42
,* 지배순이익,-11.16,16.53,94.36,-9.41,-4.93,105.82,164.21,-20.04,-24.44,81.39,128.83,17.58,-25.27,56.45,201.97,20.3,-53.74,23.97,176.25,-10.11
,매출원가비중,84.39,88.91,41.87,81.34,79.43,90.6,90.72,91.09,90.1,89.92,90.8,91.91,89.46,89.24,88.88,88.9,85.85,87.94,85.54,86.3
,매출총이익율,15.61,11.09,58.13,18.66,20.57,9.4,9.28,8.91,9.9,10.08,9.2,8.09,10.54,10.76,11.12,11.1,14.15,12.06,14.46,13.7
,판관비율,14.14,15.73,10.39,17.39,20.35,6.31,5.08,9.12,12.36,6.61,5.2,10.07,12.12,7.16,5.68,12.93,16.15,9.43,7.07,16.88
,영업이익률,1.47,-4.64,47.73,1.26,0.22,3.09,4.2,-0.2,-2.46,3.47,4,-1.98,-1.58,3.61,5.44,-1.83,-2,2.63,7.39,-3.17
,지배순이익률,-11.54,13.04,63.44,-9.81,-6.1,2.93,3.72,-0.77,-1.22,2.2,2.82,0.76,-1.31,1.46,4.72,1.05,-3.48,0.85,4.9,-0.66
,매출액YOY(%),,,,,-16.39,2746.19,2865.11,2627.9,2383.79,2.63,3.73,-11.62,-3.71,4.58,-6.48,-16.68,-20.09,-27.47,-16,-20.86
,영업이익YOY(%),,,,,-87.32,1997.28,161.03,-538.02,-27500,15.26,-1.37,-764.91,38.1,8.65,27.3,23.12,-1.15,-47.1,14.17,-37.4
,지배순이익YOY(%),,,,,55.82,540.17,74.03,-112.96,-395.74,-23.09,-21.55,187.72,-3.4,-30.64,56.77,15.47,-112.66,-57.54,-12.73,-149.8
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1210.61,2416.89,3385.11,1620.43,1274.68,2751.04,3501.68,1491.65,1242.72,2862.25,3380.29,1639.62,1320.04,2845.73,3434.26,1686.38,1201.34,2573.1,0,
