,부산가스,A015350,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,1564.89,2967.52,4329.92,2207.31,1842.61,3502.25,4355.31,2509.38,1793.33,3441.39,4655.85,2473.81,1970.18,3677.81,4286.92,2000.15,1514.08,2740.67,3666.9,1606.5
, - 매출원가,1335.29,2686.32,3867.26,1875.53,1582.84,3185.55,3927.91,2184.53,1562.78,3150.18,4201.18,2169.67,1722.76,3352.06,3842.91,1702.52,1276.35,2435.22,3211.7,1301.13
, = 매출총이익,229.6,281.2,462.66,331.78,259.77,316.7,427.4,324.85,230.55,291.21,454.67,304.14,247.42,325.75,444.01,297.63,237.73,305.45,455.2,305.37
, - 판매비와관리비,214.32,245.65,231.19,208.86,217,264.5,197.43,234.52,216.77,251.14,219.79,239.22,227.19,263.5,238.85,237.15,237.31,261.47,238.35,244.09
, = 영업이익,15.28,35.55,231.47,122.92,42.77,52.2,229.97,90.33,13.78,40.07,234.88,64.92,20.23,62.25,205.16,60.48,0.42,43.98,216.85,61.28
,* 지배순이익,13.36,24.86,183.31,111.44,36.43,41.51,189.7,93.82,16.7,67.84,190.27,88.03,27.1,45.22,173.34,239.2,21.32,-18.3,210.97,87.7
,매출원가비중,85.33,90.52,89.31,84.97,85.9,90.96,90.19,87.05,87.14,91.54,90.23,87.71,87.44,91.14,89.64,85.12,84.3,88.85,87.59,80.99
,매출총이익율,14.67,9.48,10.69,15.03,14.1,9.04,9.81,12.95,12.86,8.46,9.77,12.29,12.56,8.86,10.36,14.88,15.7,11.15,12.41,19.01
,판관비율,13.7,8.28,5.34,9.46,11.78,7.55,4.53,9.35,12.09,7.3,4.72,9.67,11.53,7.16,5.57,11.86,15.67,9.54,6.5,15.19
,영업이익률,0.98,1.2,5.35,5.57,2.32,1.49,5.28,3.6,0.77,1.16,5.04,2.62,1.03,1.69,4.79,3.02,0.03,1.6,5.91,3.81
,지배순이익률,0.85,0.84,4.23,5.05,1.98,1.19,4.36,3.74,0.93,1.97,4.09,3.56,1.38,1.23,4.04,11.96,1.41,-0.67,5.75,5.46
,매출액YOY(%),,,,,17.75,18.02,0.59,13.68,-2.67,-1.74,6.9,-1.42,9.86,6.87,-7.92,-19.15,-23.15,-25.48,-14.46,-19.68
,영업이익YOY(%),,,,,179.91,46.84,-0.65,-26.51,-67.78,-23.24,2.14,-28.13,46.81,55.35,-12.65,-6.84,-97.92,-29.35,5.7,1.32
,지배순이익YOY(%),,,,,172.68,66.98,3.49,-15.81,-54.16,63.43,0.3,-6.17,62.28,-33.34,-8.9,171.73,-21.33,-140.47,21.71,-63.34
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1190.44,2404.98,3504.04,1774.1,1411.99,2662.22,3629.08,1749.98,1409.05,2729.96,3555.03,1918,1505.09,2749.78,3584.41,1899.38,1283.26,2453.67,0,
, - 매출원가,947.19,2090.45,3024.17,1460.54,1176.72,2318.99,3109.68,1405.72,1143.66,2411.28,3026.91,1555.96,1237.79,2366.12,3088.73,1559.82,1007.24,2107.3,,
, = 매출총이익,243.25,314.53,479.87,313.56,235.27,343.23,519.4,344.26,265.39,318.68,528.12,362.04,267.3,383.66,495.68,339.56,276.02,346.37,,
, - 판매비와관리비,233.05,243.81,237.67,234.34,246.03,276.26,243.45,247.23,242.46,301.99,258.71,262.84,255.16,329.12,252.74,281.72,264.81,307.61,,
, = 영업이익,10.2,70.72,242.2,79.22,-10.76,66.97,275.95,97.03,22.93,16.69,269.41,99.2,12.14,54.54,242.94,57.84,11.21,38.76,0,
,* 지배순이익,197.6,0.64,211.86,102.21,12.54,123.53,233.2,130.97,63.88,64.27,236.41,157.12,-31.49,127.24,205.7,1505.13,57.07,25.82,0,
,매출원가비중,79.57,86.92,86.31,82.33,83.34,87.11,85.69,80.33,81.17,88.33,85.14,81.12,82.24,86.05,86.17,82.12,78.49,85.88,,
,매출총이익율,20.43,13.08,13.69,17.67,16.66,12.89,14.31,19.67,18.83,11.67,14.86,18.88,17.76,13.95,13.83,17.88,21.51,14.12,,
,판관비율,19.58,10.14,6.78,13.21,17.42,10.38,6.71,14.13,17.21,11.06,7.28,13.7,16.95,11.97,7.05,14.83,20.64,12.54,,
,영업이익률,0.86,2.94,6.91,4.47,-0.76,2.52,7.6,5.54,1.63,0.61,7.58,5.17,0.81,1.98,6.78,3.05,0.87,1.58,0,
,지배순이익률,16.6,0.03,6.05,5.76,0.89,4.64,6.43,7.48,4.53,2.35,6.65,8.19,-2.09,4.63,5.74,79.24,4.45,1.05,0,
,매출액YOY(%),-21.38,-12.25,-4.44,10.43,18.61,10.7,3.57,-1.36,-0.21,2.54,-2.04,9.6,6.82,0.73,0.83,-0.97,-14.74,-10.77,0,
,영업이익YOY(%),2328.57,60.8,11.69,29.28,-205.49,-5.3,13.93,22.48,313.1,-75.08,-2.37,2.24,-47.06,226.78,-9.83,-41.69,-7.66,-28.93,0,
,지배순이익YOY(%),826.83,103.5,0.42,16.55,-93.65,19201.56,10.07,28.14,409.41,-47.97,1.38,19.97,-149.3,97.98,-12.99,857.95,281.23,-79.71,0,
,,,,,,,,,,,,,,,,,,,,,
,개별 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,1564.89,2967.52,4329.92,2207.31,1842.61,3502.25,4355.31,2509.38,1793.33,3441.39,4655.85,2473.81,1970.18,3677.81,4286.92,2000.15,1514.08,2740.67,3666.9,1606.5
,영업이익,14.6,46.98,231.47,122.92,42.77,52.2,229.97,99.31,4.8,40.07,234.88,64.92,20.23,62.25,205.16,60.48,0.42,43.98,216.85,61.28
,순이익,13.36,24.86,183.31,111.44,36.43,41.51,189.7,102.8,7.72,67.84,190.27,88.03,27.1,45.22,173.34,239.2,21.32,-18.3,210.97,87.7
,영업이익율(%),0.93,1.58,5.35,5.57,2.32,1.49,5.28,3.96,0.27,1.16,5.04,2.62,1.03,1.69,4.79,3.02,0.03,1.6,5.91,3.81
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1190.44,2404.98,3504.04,1774.1,1411.99,2662.22,3629.08,1749.98,1409.05,2729.96,3555.03,1918,1505.09,2749.78,3584.41,1899.38,1283.26,2453.67,0,
,영업이익,10.2,70.72,242.2,79.22,-10.76,66.97,275.95,97.03,22.93,16.69,269.41,99.2,12.14,54.54,242.94,57.84,11.21,38.76,0,
,순이익,197.6,0.64,211.86,102.21,12.54,123.53,233.2,130.97,63.88,64.27,236.41,157.12,-31.49,127.24,205.7,1505.13,57.07,25.82,0,
,영업이익율(%),0.86,2.94,6.91,4.47,-0.76,2.52,7.6,5.54,1.63,0.61,7.58,5.17,0.81,1.98,6.78,3.05,0.87,1.58,0,
