,서울가스,A017390,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,1711.38,5196.47,8067.01,2791.71,1859.32,6503.8,8565.61,4028.66,2578.19,6224.12,7950.41,3404.87,2600.32,6373.08,7568.36,2568.77,1750.99,3514.59,5835.62,1848.54
, - 매출원가,1451.4,4778.88,7537.04,2389.82,1596.83,6028.47,8027.44,3514.08,2268.36,5901.83,7441.33,2924.27,2314.01,5932.65,6982.97,2198.58,1522.21,3201.01,5279.17,1529.07
, = 매출총이익,259.98,417.59,529.97,401.89,262.49,475.33,538.17,514.58,309.83,322.29,509.08,480.6,286.31,440.43,585.39,370.19,228.78,313.58,556.45,319.47
, - 판매비와관리비,338.46,497.67,355.51,356.68,368.31,401.18,400.75,350.12,400.87,384.83,392.36,394.65,393.59,461.55,403.13,388.54,391.42,339.62,360.62,359.54
, = 영업이익,-78.48,-80.08,174.46,45.21,-105.82,74.15,137.42,164.46,-91.04,-62.54,116.72,85.95,-107.28,-21.12,182.26,-18.35,-162.64,-26.04,195.83,-40.07
,* 지배순이익,94,-94.31,350.69,104.79,111.83,191.7,233.85,312.98,34.45,89.85,301.38,216.57,28.27,61.03,255.9,107.99,-38.18,119.28,206.21,70.67
,매출원가비중,84.81,91.96,93.43,85.6,85.88,92.69,93.72,87.23,87.98,94.82,93.6,85.88,88.99,93.09,92.27,85.59,86.93,91.08,90.46,82.72
,매출총이익율,15.19,8.04,6.57,14.4,14.12,7.31,6.28,12.77,12.02,5.18,6.4,14.12,11.01,6.91,7.73,14.41,13.07,8.92,9.54,17.28
,판관비율,19.78,9.58,4.41,12.78,19.81,6.17,4.68,8.69,15.55,6.18,4.94,11.59,15.14,7.24,5.33,15.13,22.35,9.66,6.18,19.45
,영업이익률,-4.59,-1.54,2.16,1.62,-5.69,1.14,1.6,4.08,-3.53,-1,1.47,2.52,-4.13,-0.33,2.41,-0.71,-9.29,-0.74,3.36,-2.17
,지배순이익률,5.49,-1.81,4.35,3.75,6.01,2.95,2.73,7.77,1.34,1.44,3.79,6.36,1.09,0.96,3.38,4.2,-2.18,3.39,3.53,3.82
,매출액YOY(%),,,,,8.64,25.16,6.18,44.31,38.66,-4.3,-7.18,-15.48,0.86,2.39,-4.81,-24.56,-32.66,-44.85,-22.89,-28.04
,영업이익YOY(%),,,,,-34.84,192.59,-21.23,263.77,13.97,-184.34,-15.06,-47.74,-17.84,66.23,56.15,-121.35,-51.6,-23.3,7.45,-118.37
,지배순이익YOY(%),,,,,18.97,303.27,-33.32,198.67,-69.19,-53.13,28.88,-30.8,-17.94,-32.08,-15.09,-50.14,-235.05,95.44,-19.42,-34.56
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1247.71,3788.53,5531.14,2016.6,1500.61,4455.86,5931.5,2093.02,1450.87,4414.31,5718.42,2207.81,1533.35,4150.44,5403.85,2227.74,1343.81,3831.7,0,
