,한국가스공사,A036460,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,50620.43,86901.8,113709.6,74588.64,61049.85,100965.1,122223.8,81770.58,69455.32,107177.4,125223.9,73743.76,66093.19,107787.8,102121.1,49680.97,43896.44,64828.76,77645.77,35367.64
, - 매출원가,51208.67,82242.16,105676.4,71430.43,60446.18,96665.95,112825.3,78780.59,69449.59,101092.5,117194,71872.7,66265.38,103237.8,92499.02,48791.57,44291.08,61100.26,67648.25,34654.62
, = 매출총이익,-588.24,4659.63,8033.23,3158.21,603.67,4299.16,9398.52,2989.99,5.73,6084.91,8029.89,1871.06,-172.19,4549.98,9622.05,889.4,-394.64,3728.5,9997.52,713.02
, - 판매비와관리비,679.09,989,852.46,768.91,789.57,1016.79,901.43,1005.53,628,1062.12,818.9,924.91,687.28,1128.59,968.24,852.59,1055.22,891.14,1056.82,777.51
, = 영업이익,-1267.33,3670.63,7180.77,2389.3,-185.9,3282.37,8497.09,1984.46,-622.27,5022.79,7210.99,946.15,-859.47,3421.39,8653.81,36.81,-1449.86,2837.36,8940.7,-64.49
,* 지배순이익,-3419.14,995.53,4121.71,417.71,-1668.94,796.26,2831.6,-407.05,-3159.19,-1272.43,4222.8,200.69,-1438.67,1487.4,5811.92,-404.39,-2407.43,191.81,5112.82,-1061.9
,매출원가비중,101.16,94.64,92.94,95.77,99.01,95.74,92.31,96.34,99.99,94.32,93.59,97.46,100.26,95.78,90.58,98.21,100.9,94.25,87.12,97.98
,매출총이익율,-1.16,5.36,7.06,4.23,0.99,4.26,7.69,3.66,0.01,5.68,6.41,2.54,-0.26,4.22,9.42,1.79,-0.9,5.75,12.88,2.02
,판관비율,1.34,1.14,0.75,1.03,1.29,1.01,0.74,1.23,0.9,0.99,0.65,1.25,1.04,1.05,0.95,1.72,2.4,1.37,1.36,2.2
,영업이익률,-2.5,4.22,6.32,3.2,-0.3,3.25,6.95,2.43,-0.9,4.69,5.76,1.28,-1.3,3.17,8.47,0.07,-3.3,4.38,11.51,-0.18
,지배순이익률,-6.75,1.15,3.62,0.56,-2.73,0.79,2.32,-0.5,-4.55,-1.19,3.37,0.27,-2.18,1.38,5.69,-0.81,-5.48,0.3,6.58,-3
,매출액YOY(%),,,,,20.6,16.18,7.49,9.63,13.77,6.15,2.45,-9.82,-4.84,0.57,-18.45,-32.63,-33.58,-39.86,-23.97,-28.81
,영업이익YOY(%),,,,,85.33,-10.58,18.33,-16.94,-234.73,53.02,-15.14,-52.32,-38.12,-31.88,20.01,-96.11,-68.69,-17.07,3.32,-275.2
,지배순이익YOY(%),,,,,51.19,-20.02,-31.3,-197.45,-89.29,-259.8,49.13,149.3,54.46,216.89,37.63,-301.5,-67.34,-87.1,-12.03,-162.59
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
