,경동나비엔,A009450,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,773.7,892.09,746.47,653.47,832.31,1292.38,970.64,872.1,1004.21,1294.83,904.21,974.96,1023.52,1387.16,1031.17,1066.19,1230.85,1792.09,1319.37,1153.41
, - 매출원가,608.35,688.11,579.03,515.16,663.96,941.81,666.39,677.6,726.91,890.79,650.1,735.7,783.15,969.45,698.49,748.46,844.24,1229.31,828.73,725.36
, = 매출총이익,165.35,203.98,167.44,138.31,168.35,350.57,304.25,194.5,277.3,404.04,254.11,239.26,240.37,417.71,332.68,317.73,386.61,562.78,490.64,428.05
, - 판매비와관리비,148.58,191.09,147.83,123.77,149.07,258.14,226.7,202.7,215.71,337.13,225.69,221.17,217.53,352.41,277.69,274.89,346.79,458.2,331.9,299.09
, = 영업이익,16.77,12.89,19.61,14.54,19.28,92.43,77.55,-8.2,61.59,66.91,28.42,18.09,22.84,65.3,54.99,42.84,39.82,104.58,158.74,128.96
,* 지배순이익,33.53,7.95,18.33,8.47,11.86,62.19,64.93,3.5,30.05,12.72,25.87,15.76,7.1,43.11,30.08,29.69,48.7,57.69,124.41,99.04
,매출원가비중,78.63,77.13,77.57,78.83,79.77,72.87,68.65,77.7,72.39,68.8,71.9,75.46,76.52,69.89,67.74,70.2,68.59,68.6,62.81,62.89
,매출총이익율,21.37,22.87,22.43,21.17,20.23,27.13,31.35,22.3,27.61,31.2,28.1,24.54,23.48,30.11,32.26,29.8,31.41,31.4,37.19,37.11
,판관비율,19.2,21.42,19.8,18.94,17.91,19.97,23.36,23.24,21.48,26.04,24.96,22.69,21.25,25.41,26.93,25.78,28.17,25.57,25.16,25.93
,영업이익률,2.17,1.44,2.63,2.23,2.32,7.15,7.99,-0.94,6.13,5.17,3.14,1.86,2.23,4.71,5.33,4.02,3.24,5.84,12.03,11.18
,지배순이익률,4.33,0.89,2.46,1.3,1.42,4.81,6.69,0.4,2.99,0.98,2.86,1.62,0.69,3.11,2.92,2.78,3.96,3.22,9.43,8.59
,매출액YOY(%),,,,,7.58,44.87,30.03,33.46,20.65,0.19,-6.84,11.79,1.92,7.13,14.04,9.36,20.26,29.19,27.95,8.18
,영업이익YOY(%),,,,,14.97,617.07,295.46,-156.4,219.45,-27.61,-63.35,320.61,-62.92,-2.41,93.49,136.82,74.34,60.15,188.67,201.03
,지배순이익YOY(%),,,,,-64.63,682.26,254.23,-58.68,153.37,-79.55,-60.16,350.29,-76.37,238.92,16.27,88.39,585.92,33.82,313.6,233.58
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1321.38,2038.37,1388.1,1296.68,1644.34,2517.49,1640.33,1519.13,1596.98,2510.97,1649.66,1600.88,1820.17,2672.2,1832.31,1687.5,2102.73,3111.55,0,
