,코웨이,A021240,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,4301.34,4440.43,4423.57,4463.88,4580.35,5192.93,5073.83,5564.55,5305.32,5239.72,5350.06,5568.95,5255.22,5428.93,5481.96,5553.44,5803.54,6313.48,6236.71,5550.46
, - 매출원가,1347.91,1504.26,1454.48,1421.2,1515.35,1937.35,1675.61,1927.65,1842.08,1764.49,1822.93,1878.69,1682.24,1881.83,1751.98,1706.27,1780.6,2049.58,2070.43,1991.59
, = 매출총이익,2953.43,2936.17,2969.09,3042.68,3065,3255.58,3398.22,3636.9,3463.24,3475.23,3527.13,3690.26,3572.98,3547.1,3729.98,3847.17,4022.94,4263.9,4166.28,3558.87
, - 판매비와관리비,2339.21,2202.66,2327.71,2391.5,2435.94,2911.82,2701.11,2817.53,2500.45,2564.17,2624.35,2718.76,2620.08,2730,2726.85,2742.33,2783.59,2977.82,2930.38,3440.56
, = 영업이익,614.22,733.51,641.38,651.18,629.06,343.76,697.11,819.37,962.79,911.06,902.78,971.5,952.9,817.1,1003.13,1104.84,1239.35,1286.08,1235.9,118.31
,* 지배순이익,491.8,471.04,412.28,440.21,129.11,135.1,573.85,596.93,601.01,678.96,660.89,662.9,639.44,533.69,775.74,827.26,923.64,904.84,952.08,27.95
,매출원가비중,31.34,33.88,32.88,31.84,33.08,37.31,33.02,34.64,34.72,33.68,34.07,33.74,32.01,34.66,31.96,30.72,30.68,32.46,33.2,35.88
,매출총이익율,68.66,66.12,67.12,68.16,66.92,62.69,66.98,65.36,65.28,66.32,65.93,66.26,67.99,65.34,68.04,69.28,69.32,67.54,66.8,64.12
,판관비율,54.38,49.6,52.62,53.57,53.18,56.07,53.24,50.63,47.13,48.94,49.05,48.82,49.86,50.29,49.74,49.38,47.96,47.17,46.99,61.99
,영업이익률,14.28,16.52,14.5,14.59,13.73,6.62,13.74,14.72,18.15,17.39,16.87,17.44,18.13,15.05,18.3,19.89,21.36,20.37,19.82,2.13
,지배순이익률,11.43,10.61,9.32,9.86,2.82,2.6,11.31,10.73,11.33,12.96,12.35,11.9,12.17,9.83,14.15,14.9,15.92,14.33,15.27,0.5
,매출액YOY(%),,,,,6.49,16.95,14.7,24.66,15.83,0.9,5.44,0.08,-0.94,3.61,2.47,-0.28,10.43,16.29,13.77,-0.05
,영업이익YOY(%),,,,,2.42,-53.13,8.69,25.83,53.05,165.03,29.5,18.57,-1.03,-10.31,11.12,13.73,30.06,57.4,23.2,-89.29
,지배순이익YOY(%),,,,,-73.75,-71.32,39.19,35.6,365.5,402.56,15.17,11.05,6.39,-21.4,17.38,24.79,44.45,69.54,22.73,-96.62
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,5835.37,6140.75,6101.79,6233.72,6295.82,6536.4,6477.85,6780.88,6697.83,7116.59,7092.58,7554.6,7595.84,7946.11,7689.37,8055.04,8004.03,8625.68,8420,
