,GS건설,A006360,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,21371.64,27083.03,21083.83,23549.45,24012.55,27040.49,16928.33,24489.31,25101.17,29138.77,20406.33,23664.57,23046.36,27758.25,23158.22,24910.87,27888.57,29768.55,26391.21,27063.9
, - 매출원가,18872.77,24084.06,18880.92,20974.52,22183.92,25997.42,20905.97,24213.96,24824.65,29504.84,19886.49,22661.72,21953.34,26087.23,21912.24,23538.01,26761.47,28038.64,25114.21,25909.86
, = 매출총이익,2498.87,2998.97,2202.91,2574.93,1828.63,1043.07,-3977.64,275.35,276.52,-366.07,519.84,1002.85,1093.02,1671.02,1245.98,1372.86,1127.1,1729.91,1277,1154.04
, - 판매비와관리비,622.18,4417.25,1134.06,1729.38,1292.93,1732.54,1634.27,1381.19,1152.54,1394.67,703.05,891.39,854.49,1326.11,1045.81,991.21,1018.26,1199.89,985.8,927.49
, = 영업이익,1876.69,-1418.28,1068.85,845.55,535.7,-689.47,-5611.91,-1105.84,-876.02,-1760.74,-183.21,111.46,238.53,344.91,200.17,381.65,108.84,530.02,291.2,226.55
,* 지배순이익,894.91,752.46,732.24,720.97,366.78,-956.73,-4287.96,-1363.54,-827.84,-1802.61,-242.64,-86.9,10.24,-91.42,-0.44,30.53,529.03,-298.48,67.47,64.76
,매출원가비중,88.31,88.93,89.55,89.07,92.38,96.14,123.5,98.88,98.9,101.26,97.45,95.76,95.26,93.98,94.62,94.49,95.96,94.19,95.16,95.74
,매출총이익율,11.69,11.07,10.45,10.93,7.62,3.86,-23.5,1.12,1.1,-1.26,2.55,4.24,4.74,6.02,5.38,5.51,4.04,5.81,4.84,4.26
,판관비율,2.91,16.31,5.38,7.34,5.38,6.41,9.65,5.64,4.59,4.79,3.45,3.77,3.71,4.78,4.52,3.98,3.65,4.03,3.74,3.43
,영업이익률,8.78,-5.24,5.07,3.59,2.23,-2.55,-33.15,-4.52,-3.49,-6.04,-0.9,0.47,1.04,1.24,0.86,1.53,0.39,1.78,1.1,0.84
,지배순이익률,4.19,2.78,3.47,3.06,1.53,-3.54,-25.33,-5.57,-3.3,-6.19,-1.19,-0.37,0.04,-0.33,0,0.12,1.9,-1,0.26,0.24
,매출액YOY(%),,,,,12.36,-0.16,-19.71,3.99,4.53,7.76,20.55,-3.37,-8.19,-4.74,13.49,5.27,21.01,7.24,13.96,8.64
,영업이익YOY(%),,,,,-71.46,51.39,-625.04,-230.78,-263.53,-155.38,96.74,110.08,127.23,119.59,209.26,242.41,-54.37,53.67,45.48,-40.64
,지배순이익YOY(%),,,,,-59.01,-227.15,-685.6,-289.13,-325.7,-88.41,94.34,93.63,101.24,94.93,99.82,135.13,5066.31,-226.49,15434.09,112.12
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
