,대우건설,A047040,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,15272.22,21271.4,16380.16,21965.62,22346.97,21541.58,22692.86,23269.16,20196.35,21663.59,21653.58,25458.8,26063.09,26774.76,21937.85,25775.75,25653.45,25532.59,25588.94,30286.11
, - 매출원가,13826.98,19491,14451.6,19863.69,20282.85,19440.43,20629.84,21024.95,18050.69,24716.47,19366.29,23699.82,24398,24849.75,20423.72,23817.92,23332.47,25737.49,23808.57,27927.52
, = 매출총이익,1445.24,1780.4,1928.56,2101.93,2064.12,2101.15,2063.02,2244.21,2145.66,-3052.88,2287.29,1758.98,1665.09,1925.01,1514.13,1957.83,2320.98,-204.9,1780.37,2358.59
, - 판매비와관리비,639.15,2003.88,813.49,1280.12,1113.21,1532.07,912.57,1195.26,1103.43,2635.4,983.68,621.28,727,1034.69,931.82,915.25,1120.65,930.98,964.3,1232.06
, = 영업이익,806.09,-223.48,1115.07,821.81,950.91,569.08,1150.45,1048.95,1042.23,-5688.28,1303.61,1137.7,938.09,890.32,582.31,1042.58,1200.33,-1135.88,816.07,1126.53
,* 지배순이익,77.71,163.74,309.07,690.66,428.71,340.58,308.64,386.74,465.36,-8338.81,685.42,300.96,-13.74,351.39,206.6,795.12,209.12,-151.8,-70.27,538.62
,매출원가비중,90.54,91.63,88.23,90.43,90.76,90.25,90.91,90.36,89.38,114.09,89.44,93.09,93.61,92.81,93.1,92.4,90.95,100.8,93.04,92.21
,매출총이익율,9.46,8.37,11.77,9.57,9.24,9.75,9.09,9.64,10.62,-14.09,10.56,6.91,6.39,7.19,6.9,7.6,9.05,-0.8,6.96,7.79
,판관비율,4.19,9.42,4.97,5.83,4.98,7.11,4.02,5.14,5.46,12.17,4.54,2.44,2.79,3.86,4.25,3.55,4.37,3.65,3.77,4.07
,영업이익률,5.28,-1.05,6.81,3.74,4.26,2.64,5.07,4.51,5.16,-26.26,6.02,4.47,3.6,3.33,2.65,4.04,4.68,-4.45,3.19,3.72
,지배순이익률,0.51,0.77,1.89,3.14,1.92,1.58,1.36,1.66,2.3,-38.49,3.17,1.18,-0.05,1.31,0.94,3.08,0.82,-0.59,-0.27,1.78
,매출액YOY(%),,,,,46.32,1.27,38.54,5.93,-9.62,0.57,-4.58,9.41,29.05,23.59,1.31,1.24,-1.57,-4.64,16.64,17.5
,영업이익YOY(%),,,,,17.97,354.64,3.17,27.64,9.6,-1099.56,13.31,8.46,-9.99,115.65,-55.33,-8.36,27.95,-227.58,40.14,8.05
,지배순이익YOY(%),,,,,451.68,108,-0.14,-44,8.55,-2548.41,122.08,-22.18,-102.95,104.21,-69.86,164.19,1621.98,-143.2,-134.01,-32.26
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
