,삼성엔지니어링,A028050,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,22249.39,31308.76,26615.68,31081.15,28619.45,28085.29,25159.46,26574.27,19445.28,26884.22,22162.91,21977.25,22067.44,22906.91,17728.06,18424.3,8569.12,19691.02,14741.11,18800.21
, - 매출원가,19369.46,28587.78,23552.35,27606.04,25266.41,25070.69,25985.52,26494.05,25724.23,25329.52,20890.6,20307.01,20739.58,21717.71,16669.12,17265.47,22742.08,18626.34,13585.88,17327.54
, = 매출총이익,2879.93,2720.98,3063.33,3475.11,3353.04,3014.6,-826.06,80.22,-6278.95,1554.7,1272.31,1670.24,1327.86,1189.2,1058.94,1158.83,-14172.96,1064.68,1155.23,1472.67
, - 판매비와관리비,750.5,1845.16,1281.93,1424.81,1460.5,1371.24,1371.57,967.41,1188.59,1282.8,965.87,899.25,1006.28,969.88,842.89,964.94,954.34,890.67,889.32,1437.14
, = 영업이익,2129.43,875.82,1781.4,2050.3,1892.54,1643.36,-2197.63,-887.19,-7467.54,271.9,306.44,770.99,321.58,219.32,216.05,193.89,-15127.3,174.01,265.91,35.53
,* 지배순이익,1285.27,1504.78,1446.54,1442.01,1252.08,1131.35,-1796.89,-926.86,-5242.78,895.54,249.65,228.99,145.02,-73.84,123.88,10.29,-13318.3,131.33,83.35,23.09
,매출원가비중,87.06,91.31,88.49,88.82,88.28,89.27,103.28,99.7,132.29,94.22,94.26,92.4,93.98,94.81,94.03,93.71,265.4,94.59,92.16,92.17
,매출총이익율,12.94,8.69,11.51,11.18,11.72,10.73,-3.28,0.3,-32.29,5.78,5.74,7.6,6.02,5.19,5.97,6.29,-165.4,5.41,7.84,7.83
,판관비율,3.37,5.89,4.82,4.58,5.1,4.88,5.45,3.64,6.11,4.77,4.36,4.09,4.56,4.23,4.75,5.24,11.14,4.52,6.03,7.64
,영업이익률,9.57,2.8,6.69,6.6,6.61,5.85,-8.73,-3.34,-38.4,1.01,1.38,3.51,1.46,0.96,1.22,1.05,-176.53,0.88,1.8,0.19
,지배순이익률,5.78,4.81,5.43,4.64,4.37,4.03,-7.14,-3.49,-26.96,3.33,1.13,1.04,0.66,-0.32,0.7,0.06,-155.42,0.67,0.57,0.12
,매출액YOY(%),,,,,28.63,-10.3,-5.47,-14.5,-32.06,-4.28,-11.91,-17.3,13.48,-14.79,-20.01,-16.17,-61.17,-14.04,-16.85,2.04
,영업이익YOY(%),,,,,-11.12,87.64,-223.37,-143.27,-494.58,-83.45,113.94,186.9,104.31,-19.34,-29.5,-74.85,-4804.06,-20.66,23.08,-81.68
,지배순이익YOY(%),,,,,-2.58,-24.82,-224.22,-164.28,-518.73,-20.84,113.89,124.71,102.77,-108.25,-50.38,-95.51,-9283.77,277.86,-32.72,124.39
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
