,KCC,A002380,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,8408.8,8832.31,7687.27,8641.99,7963.91,8169.11,7150.94,8659.73,7970.91,8548.85,7763.59,8916.4,8551.47,8766.84,7701.47,8579.07,8662.86,9200.48,7866.21,9086.61
, - 매출원가,6849.35,7368.07,6040.76,6686.01,6260.03,6584.82,5601.61,6646.16,6264.31,6696.28,5930.72,6735.96,6605.45,6743.99,5809.87,6267.3,6360.96,6848.09,5651.06,6600.61
, = 매출총이익,1559.45,1464.24,1646.51,1955.98,1703.88,1584.29,1549.33,2013.57,1706.6,1852.57,1832.87,2180.44,1946.02,2022.85,1891.6,2311.77,2301.9,2352.39,2215.15,2486
, - 판매비와관리비,1144.63,1552.4,1119.99,1228.37,1189.43,1363.37,1096.51,1163.88,1135.14,1409.11,1162.86,1211.64,1297.8,1575.97,1214.71,1486.24,1305.09,1759.5,1358.46,1433.68
, = 영업이익,414.82,-88.16,526.52,727.61,514.45,220.92,452.82,849.69,571.46,443.46,670.01,968.8,648.22,446.88,676.89,825.53,996.81,592.89,856.69,1052.32
,* 지배순이익,2066.26,-1082.22,5781.69,37.47,202.17,-1575.09,1386.05,590.99,598.14,-96.89,524.48,693.52,577.48,1461.97,644.84,557.23,-196.62,830.11,586.16,603.13
,매출원가비중,81.45,83.42,78.58,77.37,78.6,80.61,78.33,76.75,78.59,78.33,76.39,75.55,77.24,76.93,75.44,73.05,73.43,74.43,71.84,72.64
,매출총이익율,18.55,16.58,21.42,22.63,21.4,19.39,21.67,23.25,21.41,21.67,23.61,24.45,22.76,23.07,24.56,26.95,26.57,25.57,28.16,27.36
,판관비율,13.61,17.58,14.57,14.21,14.94,16.69,15.33,13.44,14.24,16.48,14.98,13.59,15.18,17.98,15.77,17.32,15.07,19.12,17.27,15.78
,영업이익률,4.93,-1,6.85,8.42,6.46,2.7,6.33,9.81,7.17,5.19,8.63,10.87,7.58,5.1,8.79,9.62,11.51,6.44,10.89,11.58
,지배순이익률,24.57,-12.25,75.21,0.43,2.54,-19.28,19.38,6.82,7.5,-1.13,6.76,7.78,6.75,16.68,8.37,6.5,-2.27,9.02,7.45,6.64
,매출액YOY(%),,,,,-5.29,-7.51,-6.98,0.21,0.09,4.65,8.57,2.96,7.28,2.55,-0.8,-3.78,1.3,4.95,2.14,5.92
,영업이익YOY(%),,,,,24.02,350.59,-14,16.78,11.08,100.73,47.96,14.02,13.43,0.77,1.03,-14.79,53.78,32.67,26.56,27.47
,지배순이익YOY(%),,,,,-90.22,-45.54,-76.03,1477.24,195.86,93.85,-62.16,17.35,-3.45,1608.9,22.95,-19.65,-134.05,-43.22,-9.1,8.24
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
