,삼표시멘트,A038500,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,1439.56,1421.93,1191.42,1901.37,1490.89,1598.02,1415.74,1701.72,1558.54,1421.33,1231.89,1582.07,1308.41,1413.17,1155.3,1450.97,1439.47,1592.38,1211.07,1646.19
, - 매출원가,1254.75,1370.67,1141.14,1517.72,1194.5,1306.78,1248.95,1404.22,1272.25,1226.83,1088.51,1174.25,1109.37,1133.07,1040.45,1120.64,1213.28,1278.01,997.54,1256.84
, = 매출총이익,184.81,51.26,50.28,383.65,296.39,291.24,166.79,297.5,286.29,194.5,143.38,407.82,199.04,280.1,114.85,330.33,226.19,314.37,213.53,389.35
, - 판매비와관리비,161.12,164.83,157.77,169.79,173.51,226.74,173.46,176.28,246.56,395.85,108.97,97.67,129.53,50.72,110.71,113.68,151.91,140.06,138.42,175.1
, = 영업이익,23.69,-113.57,-107.49,213.86,122.88,64.5,-6.67,121.22,39.73,-201.35,34.41,310.15,69.51,229.38,4.14,216.65,74.28,174.31,75.11,214.25
,* 지배순이익,-100.71,-346.41,-227.67,68.92,1.52,-478.52,-135.51,-12.81,-1701.04,-575.83,1027.69,207.23,1920.02,114.24,-48.09,-166.6,-157.28,263.58,43.41,42.73
,매출원가비중,87.16,96.4,95.78,79.82,80.12,81.77,88.22,82.52,81.63,86.32,88.36,74.22,84.79,80.18,90.06,77.23,84.29,80.26,82.37,76.35
,매출총이익율,12.84,3.6,4.22,20.18,19.88,18.23,11.78,17.48,18.37,13.68,11.64,25.78,15.21,19.82,9.94,22.77,15.71,19.74,17.63,23.65
,판관비율,11.19,11.59,13.24,8.93,11.64,14.19,12.25,10.36,15.82,27.85,8.85,6.17,9.9,3.59,9.58,7.83,10.55,8.8,11.43,10.64
,영업이익률,1.65,-7.99,-9.02,11.25,8.24,4.04,-0.47,7.12,2.55,-14.17,2.79,19.6,5.31,16.23,0.36,14.93,5.16,10.95,6.2,13.01
,지배순이익률,-7,-24.36,-19.11,3.62,0.1,-29.94,-9.57,-0.75,-109.14,-40.51,83.42,13.1,146.74,8.08,-4.16,-11.48,-10.93,16.55,3.58,2.6
,매출액YOY(%),,,,,3.57,12.38,18.83,-10.5,4.54,-11.06,-12.99,-7.03,-16.05,-0.57,-6.22,-8.29,10.02,12.68,4.83,13.45
,영업이익YOY(%),,,,,418.7,156.79,93.79,-43.32,-67.67,-412.17,615.89,155.86,74.96,213.92,-87.97,-30.15,6.86,-24.01,1714.25,-1.11
,지배순이익YOY(%),,,,,101.51,-38.14,40.48,-118.59,-112010.5,-20.34,858.39,1717.72,212.87,119.84,-104.68,-180.39,-108.19,130.72,190.27,125.65
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1489.92,1811.92,1598.12,1835.73,1671.02,1608.2,1327.68,1435,1331.9,1665.69,1293.15,1596.02,1454.34,1611.34,1290.98,1402.77,1243.72,1494.04,1322,
