,네오위즈,A095660,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,1749.16,1767.78,1973.61,1684.91,1658.06,1436.16,1470.61,1374.42,916.23,666.92,647.27,429.29,422.07,451.56,481.27,449.49,489.02,480.93,570.72,519.08
, - 매출원가,1069.33,1059.02,1218.26,1049.83,1020.22,942.65,941.49,872.18,330.17,326.16,285.73,211.45,217.63,218.85,207.35,215.2,232.55,234.89,248.01,215.7
, = 매출총이익,679.83,708.76,755.35,635.08,637.84,493.51,529.12,502.24,586.06,340.76,361.54,217.84,204.44,232.71,273.92,234.29,256.47,246.04,322.71,303.38
, - 판매비와관리비,429.48,138.55,392.67,362.91,323.54,293.05,247.06,261.02,237.24,249.37,187.82,169,176.1,182.63,195.32,186.7,203.03,268.92,199.45,199.8
, = 영업이익,250.35,570.21,362.68,272.17,314.3,200.46,282.06,241.22,348.82,91.39,173.72,48.84,28.34,50.08,78.6,47.59,53.44,-22.88,123.26,103.58
,* 지배순이익,180.79,239.2,284.05,142.23,213.68,-565,200.63,152.34,96.93,18.99,86.39,6.46,13.06,-181.95,60.41,-2.95,4.38,-267.92,78.33,84.19
,매출원가비중,61.13,59.91,61.73,62.31,61.53,65.64,64.02,63.46,36.04,48.91,44.14,49.26,51.56,48.47,43.08,47.88,47.55,48.84,43.46,41.55
,매출총이익율,38.87,40.09,38.27,37.69,38.47,34.36,35.98,36.54,63.96,51.09,55.86,50.74,48.44,51.53,56.92,52.12,52.45,51.16,56.54,58.45
,판관비율,24.55,7.84,19.9,21.54,19.51,20.41,16.8,18.99,25.89,37.39,29.02,39.37,41.72,40.44,40.58,41.54,41.52,55.92,34.95,38.49
,영업이익률,14.31,32.26,18.38,16.15,18.96,13.96,19.18,17.55,38.07,13.7,26.84,11.38,6.71,11.09,16.33,10.59,10.93,-4.76,21.6,19.95
,지배순이익률,10.34,13.53,14.39,8.44,12.89,-39.34,13.64,11.08,10.58,2.85,13.35,1.5,3.09,-40.29,12.55,-0.66,0.9,-55.71,13.72,16.22
,매출액YOY(%),,,,,-5.21,-18.76,-25.49,-18.43,-44.74,-53.56,-55.99,-68.77,-53.93,-32.29,-25.65,4.71,15.86,6.5,18.59,15.48
,영업이익YOY(%),,,,,25.54,-64.84,-22.23,-11.37,10.98,-54.41,-38.41,-79.75,-91.88,-45.2,-54.75,-2.56,88.57,-145.69,56.82,117.65
,지배순이익YOY(%),,,,,18.19,-336.2,-29.37,7.11,-54.64,103.36,-56.94,-95.76,-86.53,-1058.14,-30.07,-145.67,-66.46,-47.25,29.66,2953.9
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,424.38,396.2,382,470.66,441.81,445.99,469.32,593.7,492.23,599.66,614.57,599.9,607.77,722.74,662.76,722.19,745.64,765.48,771,
