,엔씨소프트,A036570,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,1240.94,1090.05,1158.64,1165.56,1130.55,2833.53,1848.75,1920.14,1697.4,2100.26,1781.47,2138.11,2116.15,2351.45,1881.13,2175.38,1956.71,2369.75,2408.48,2405.26
, - 매출원가,237.75,230.73,243.65,265.93,352.96,744.5,549.65,506.14,547.24,601.48,546.96,630.94,519.01,505.86,482.93,503.65,468.28,571.97,505.33,463.94
, = 매출총이익,1003.19,859.32,914.99,899.63,777.59,2089.03,1299.1,1414,1150.16,1498.78,1234.51,1507.17,1597.14,1845.59,1398.2,1671.73,1488.43,1797.78,1903.15,1941.32
, - 판매비와관리비,481.26,568.48,615.8,786.95,477.67,977.98,743.98,791.52,842.86,931.32,789.31,857.69,783.76,971.77,949.53,1000.75,982.57,1048.63,1145.3,1079.84
, = 영업이익,521.93,290.84,299.19,112.68,299.92,1111.05,555.12,622.48,307.3,567.46,445.2,649.48,813.38,873.82,448.67,670.98,505.86,749.15,757.85,861.48
,* 지배순이익,456.2,271.79,283.33,142.54,326.76,1043.13,520.82,340.59,253.88,472.28,368.07,542.7,761.07,627.76,356.42,569.76,303.17,424.58,662.24,906.21
,매출원가비중,19.16,21.17,21.03,22.82,31.22,26.27,29.73,26.36,32.24,28.64,30.7,29.51,24.53,21.51,25.67,23.15,23.93,24.14,20.98,19.29
,매출총이익율,80.84,78.83,78.97,77.18,68.78,73.73,70.27,73.64,67.76,71.36,69.3,70.49,75.47,78.49,74.33,76.85,76.07,75.86,79.02,80.71
,판관비율,38.78,52.15,53.15,67.52,42.25,34.51,40.24,41.22,49.66,44.34,44.31,40.11,37.04,41.33,50.48,46,50.22,44.25,47.55,44.89
,영업이익률,42.06,26.68,25.82,9.67,26.53,39.21,30.03,32.42,18.1,27.02,24.99,30.38,38.44,37.16,23.85,30.84,25.85,31.61,31.47,35.82
,지배순이익률,36.76,24.93,24.45,12.23,28.9,36.81,28.17,17.74,14.96,22.49,20.66,25.38,35.96,26.7,18.95,26.19,15.49,17.92,27.5,37.68
,매출액YOY(%),,,,,-8.9,159.94,59.56,64.74,50.14,-25.88,-3.64,11.35,24.67,11.96,5.59,1.74,-7.53,0.78,28.03,10.57
,영업이익YOY(%),,,,,-42.54,282.01,85.54,452.43,2.46,-48.93,-19.8,4.34,164.69,53.99,0.78,3.31,-37.81,-14.27,68.91,28.39
,지배순이익YOY(%),,,,,-28.37,283.8,83.82,138.94,-22.3,-54.72,-29.33,59.34,199.78,32.92,-3.17,4.99,-60.17,-32.37,85.8,59.05
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,2175.59,2846.24,2395.03,2586.23,7272.65,5333.3,4751.69,4364.61,4038.31,3996.55,3587.56,4107.86,3978.09,5338.34,7311.11,5385.67,5851.7,5613.36,5397,
