,웹젠,A069080,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,146,177.71,155.05,130.5,141.2,145.85,180.61,162.37,199.67,178.14,177.79,128.76,240.44,187.74,206.32,712.95,782.22,720.73,600.46,538.73
, - 매출원가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
, = 매출총이익,146,177.71,155.05,130.5,141.2,145.85,180.61,162.37,199.67,178.14,177.79,128.76,240.44,187.74,206.32,712.95,782.22,720.73,600.46,538.73
, - 판매비와관리비,116.29,139.8,113.9,121.71,120.86,130.77,164.18,183.17,161.89,183.81,174.14,140.42,131.47,146.43,127.08,477.73,492.67,577.54,430.12,392.12
, = 영업이익,29.71,37.91,41.15,8.79,20.34,15.08,16.43,-20.8,37.78,-5.67,3.65,-11.66,108.97,41.31,79.24,235.22,289.55,143.19,170.34,146.61
,* 지배순이익,22.28,30.33,33.28,9.1,3.16,-22.83,20.47,-18.72,27.96,-11.37,4.24,-31.37,109.38,1.22,73.96,217.5,263.4,50.02,124.23,114.04
,매출원가비중,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,매출총이익율,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,판관비율,79.65,78.67,73.46,93.26,85.59,89.66,90.9,112.81,81.08,103.18,97.95,109.06,54.68,78,61.59,67.01,62.98,80.13,71.63,72.79
,영업이익률,20.35,21.33,26.54,6.74,14.41,10.34,9.1,-12.81,18.92,-3.18,2.05,-9.06,45.32,22,38.41,32.99,37.02,19.87,28.37,27.21
,지배순이익률,15.26,17.07,21.46,6.97,2.24,-15.65,11.33,-11.53,14,-6.38,2.38,-24.36,45.49,0.65,35.85,30.51,33.67,6.94,20.69,21.17
,매출액YOY(%),,,,,-3.29,-17.93,16.48,24.42,41.41,22.14,-1.56,-20.7,20.42,5.39,16.05,453.7,225.33,283.9,191.03,-24.44
,영업이익YOY(%),,,,,-31.54,-60.22,-60.07,-336.63,85.74,-137.6,-77.78,43.94,188.43,828.57,2070.96,2117.32,165.72,246.62,114.97,-37.67
,지배순이익YOY(%),,,,,-85.82,-175.27,-38.49,-305.71,784.81,50.2,-79.29,-67.57,291.2,110.73,1644.34,793.34,140.81,4000,67.97,-47.57
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,486.31,574.43,431.19,437.44,358.38,435.67,546.84,489.13,639.3,513.51,414.84,433.82,473.56,438.3,343.59,602.04,1069.63,925.66,871,
, - 매출원가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
, = 매출총이익,486.31,574.43,431.19,437.44,358.38,435.67,546.84,489.13,639.3,513.51,414.84,433.82,473.56,438.3,343.59,602.04,1069.63,925.66,,
