,제일기획,A030000,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,4525.77,5712.32,4207.84,6150.06,6073.4,7218.89,5638.96,7128.57,6461.98,7863.31,6335.88,6791.97,6015.15,7519.56,5751.99,7432.71,6830.83,8051.61,6593.55,8199.07
, - 매출원가,3396.8,4227.92,3185.55,4685.07,4620.96,5354,4293.89,5201.15,4595.8,5565.98,4622.1,4709.97,4134.47,5267.5,3696.43,5016.89,4465.37,5401.74,4332.38,5638.29
, = 매출총이익,1128.97,1484.4,1022.29,1464.99,1452.44,1864.89,1345.07,1927.42,1866.18,2297.33,1713.78,2082,1880.68,2252.06,2055.56,2415.82,2365.46,2649.87,2261.17,2560.78
, - 판매비와관리비,903.78,1085.51,902.94,1067.76,1163.73,1406.37,1163.63,1519.28,1532.69,1920.53,1502.58,1645.02,1651.8,1861.39,1814.75,1993.8,2094.41,2311.57,2037.01,2122.36
, = 영업이익,225.19,398.89,119.35,397.23,288.71,458.52,181.44,408.14,333.49,376.8,211.2,436.98,228.88,390.67,240.81,422.02,271.05,338.3,224.16,438.42
,* 지배순이익,213.55,346.66,94.6,295.33,211.38,338.45,129.81,297.35,229.24,329,136.14,367.34,166.9,345.67,174.35,332.59,168.86,119.34,140.43,284.38
,매출원가비중,75.05,74.01,75.71,76.18,76.09,74.17,76.15,72.96,71.12,70.78,72.95,69.35,68.73,70.05,64.26,67.5,65.37,67.09,65.71,68.77
,매출총이익율,24.95,25.99,24.29,23.82,23.91,25.83,23.85,27.04,28.88,29.22,27.05,30.65,31.27,29.95,35.74,32.5,34.63,32.91,34.29,31.23
,판관비율,19.97,19,21.46,17.36,19.16,19.48,20.64,21.31,23.72,24.42,23.72,24.22,27.46,24.75,31.55,26.82,30.66,28.71,30.89,25.89
,영업이익률,4.98,6.98,2.84,6.46,4.75,6.35,3.22,5.73,5.16,4.79,3.33,6.43,3.81,5.2,4.19,5.68,3.97,4.2,3.4,5.35
,지배순이익률,4.72,6.07,2.25,4.8,3.48,4.69,2.3,4.17,3.55,4.18,2.15,5.41,2.77,4.6,3.03,4.47,2.47,1.48,2.13,3.47
,매출액YOY(%),,,,,34.2,26.37,34.01,15.91,6.4,8.93,12.36,-4.72,-6.91,-4.37,-9.22,9.43,13.56,7.08,14.63,10.31
,영업이익YOY(%),,,,,28.21,14.95,52.02,2.75,15.51,-17.82,16.4,7.07,-31.37,3.68,14.02,-3.42,18.42,-13.41,-6.91,3.89
,지배순이익YOY(%),,,,,-1.02,-2.37,37.22,0.68,8.45,-2.79,4.88,23.54,-27.19,5.07,28.07,-9.46,1.17,-65.48,-19.46,-14.5
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,7808.76,9724.56,6745.59,8251.26,8763.74,9989.27,8119.38,9104.45,8690.2,8864.78,8119.93,8633.26,8428.75,9034.79,6812.49,6427.66,6868.72,7370.35,7006,
