,두산중공업,A034020,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,19837.85,27871.41,50507.68,56837.86,48339.23,57055.86,45292.66,51711.62,45515.42,49562.04,41708.39,46190.72,42463.7,49353.63,37061.22,37354.04,34198.23,36092.01,31739.76,35984.17
, - 매출원가,17222.45,24098.07,41194.15,47054.37,41191.52,48438.16,38174.35,42791.03,38185.18,41065.35,34499.86,38260.31,35494.79,40778.64,31003.63,31100.17,29443.67,31284.96,25849.59,29348.41
, = 매출총이익,2615.4,3773.34,9313.53,9783.49,7147.71,8617.7,7118.31,8920.59,7330.24,8496.69,7208.53,7930.41,6968.91,8574.99,6057.59,6253.87,4754.56,4807.05,5890.17,6635.76
, - 판매비와관리비,1642.02,2419.19,5411.99,5746.7,5391.84,12450.39,5061.03,5779.07,5119.1,6325.92,5158.04,5091.04,5073.17,6579.52,4898.09,4593.12,4593.9,8061.27,3684.46,4012.05
, = 영업이익,973.38,1354.15,3901.54,4036.79,1755.87,-3832.69,2057.28,3141.52,2211.14,2170.77,2050.49,2839.37,1895.74,1995.47,1159.5,1660.75,160.66,-3254.22,2205.71,2623.71
,* 지배순이익,-827.2,617.83,942.48,1434.29,494.52,-2445.56,547.78,250.28,-82.91,-22.92,171.96,-327.23,183.5,-974.98,-552.92,-174.3,-2038.31,-7619.9,315.9,53.36
,매출원가비중,86.82,86.46,81.56,82.79,85.21,84.9,84.28,82.75,83.9,82.86,82.72,82.83,83.59,82.63,83.66,83.26,86.1,86.68,81.44,81.56
,매출총이익율,13.18,13.54,18.44,17.21,14.79,15.1,15.72,17.25,16.1,17.14,17.28,17.17,16.41,17.37,16.34,16.74,13.9,13.32,18.56,18.44
,판관비율,8.28,8.68,10.72,10.11,11.15,21.82,11.17,11.18,11.25,12.76,12.37,11.02,11.95,13.33,13.22,12.3,13.43,22.34,11.61,11.15
,영업이익률,4.91,4.86,7.72,7.1,3.63,-6.72,4.54,6.08,4.86,4.38,4.92,6.15,4.46,4.04,3.13,4.45,0.47,-9.02,6.95,7.29
,지배순이익률,-4.17,2.22,1.87,2.52,1.02,-4.29,1.21,0.48,-0.18,-0.05,0.41,-0.71,0.43,-1.98,-1.49,-0.47,-5.96,-21.11,1,0.15
,매출액YOY(%),,,,,143.67,104.71,-10.33,-9.02,-5.84,-13.13,-7.91,-10.68,-6.7,-0.42,-11.14,-19.13,-19.46,-26.87,-14.36,-3.67
,영업이익YOY(%),,,,,80.39,-383.03,-47.27,-22.18,25.93,156.64,-0.33,-9.62,-14.26,-8.08,-43.45,-41.51,-91.53,-263.08,90.23,57.98
,지배순이익YOY(%),,,,,159.78,-495.83,-41.88,-82.55,-116.77,99.06,-68.61,-230.75,321.32,-4153.84,-421.54,46.73,-1210.8,-681.54,157.13,130.61
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
