,현대엘리베이,A017800,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,2214.34,2513.06,2035.06,2388,2311.21,2421.93,2048.39,2764.41,2833.11,3016.22,2788.16,3252.56,3469.02,3546.06,3028.98,3505.17,3796.92,4155.47,3656.79,4483.83
, - 매출원가,2014.97,2216.31,1791.5,2096.14,1961.2,2055.82,1722.44,2274.61,2316.96,2476.36,2309.87,2627.35,2733.01,2802.59,2407.13,2765.05,2965.84,3242.24,2856.59,3461.1
, = 매출총이익,199.37,296.75,243.56,291.86,350.01,366.11,325.95,489.8,516.15,539.86,478.29,625.21,736.01,743.47,621.85,740.12,831.08,913.23,800.2,1022.73
, - 판매비와관리비,136.52,140.66,167.98,186.2,192.35,212.13,191.59,221.39,218.92,253.63,292.3,288.57,307.8,356.68,332.81,340.69,431.44,436.23,436.26,572.38
, = 영업이익,62.85,156.09,75.58,105.66,157.66,153.98,134.36,268.41,297.23,286.23,185.99,336.64,428.21,386.79,289.04,399.43,399.64,477,363.94,450.35
,* 지배순이익,-839.42,-485.74,134.06,-1378.39,345.9,-1811.67,-1724.89,27.42,13.82,-1739.66,-317.58,140.23,1064.27,-382.27,220.75,-69.33,132.78,-324.7,-336.01,579.35
,매출원가비중,91,88.19,88.03,87.78,84.86,84.88,84.09,82.28,81.78,82.1,82.85,80.78,78.78,79.03,79.47,78.88,78.11,78.02,78.12,77.19
,매출총이익율,9,11.81,11.97,12.22,15.14,15.12,15.91,17.72,18.22,17.9,17.15,19.22,21.22,20.97,20.53,21.12,21.89,21.98,21.88,22.81
,판관비율,6.17,5.6,8.25,7.8,8.32,8.76,9.35,8.01,7.73,8.41,10.48,8.87,8.87,10.06,10.99,9.72,11.36,10.5,11.93,12.77
,영업이익률,2.84,6.21,3.71,4.42,6.82,6.36,6.56,9.71,10.49,9.49,6.67,10.35,12.34,10.91,9.54,11.4,10.53,11.48,9.95,10.04
,지배순이익률,-37.91,-19.33,6.59,-57.72,14.97,-74.8,-84.21,0.99,0.49,-57.68,-11.39,4.31,30.68,-10.78,7.29,-1.98,3.5,-7.81,-9.19,12.92
,매출액YOY(%),,,,,4.37,-3.63,0.66,15.76,22.58,24.54,36.11,17.66,22.45,17.57,8.64,7.77,9.45,17.19,20.73,27.92
,영업이익YOY(%),,,,,150.85,-1.35,77.77,154.03,88.53,85.89,38.43,25.42,44.07,35.13,55.41,18.65,-6.67,23.32,25.91,12.75
,지배순이익YOY(%),,,,,141.21,-272.97,-1386.66,101.99,-96,3.97,81.59,411.42,7600.94,78.03,169.51,-149.44,-87.52,15.06,-252.21,935.64
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,4477.27,4970.03,4553.51,5263.76,5362.73,4757.01,4340.93,4800.34,4737.92,4892.98,4200.71,4612.39,4748.03,5164.25,4087.21,4526.27,4559.89,5038.48,4279,
