,LG유플러스,A032640,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,23509.98,24406.62,25405.51,27876.8,28211.97,27552.06,28596.59,27634.04,28791.9,29480.47,27804.23,27739.09,27618.42,26836.54,25559.5,26614.42,27167.54,28610.72,27127.95,28791.16
, - 매출원가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
, = 매출총이익,23509.98,24406.62,25405.51,27876.8,28211.97,27552.06,28596.59,27634.04,28791.9,29480.47,27804.23,27739.09,27618.42,26836.54,25559.5,26614.42,27167.54,28610.72,27127.95,28791.16
, - 판매비와관리비,22560.41,24064.67,24740.09,27892.14,28315.33,26831.22,27365.06,26185.86,27299.8,28230.99,26672.38,26758.83,25873.33,24930.36,24012.35,24690.61,25446.34,27479.57,25421.98,26989.78
, = 영업이익,949.57,341.95,665.42,-15.34,-103.36,720.84,1231.53,1448.18,1492.1,1249.48,1131.85,980.26,1745.09,1906.18,1547.15,1923.81,1721.2,1131.15,1705.97,1801.38
,* 지배순이익,564.86,-641.91,220.45,-320.45,-383.56,-113.24,744.68,814.97,755.1,479.88,268.79,333.76,825.49,853.9,823.18,1159.33,1136.14,395.8,1101.29,1307.86
,매출원가비중,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,매출총이익율,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,판관비율,95.96,98.6,97.38,100.06,100.37,97.38,95.69,94.76,94.82,95.76,95.93,96.47,93.68,92.9,93.95,92.77,93.66,96.05,93.71,93.74
,영업이익률,4.04,1.4,2.62,-0.06,-0.37,2.62,4.31,5.24,5.18,4.24,4.07,3.53,6.32,7.1,6.05,7.23,6.34,3.95,6.29,6.26
,지배순이익률,2.4,-2.63,0.87,-1.15,-1.36,-0.41,2.6,2.95,2.62,1.63,0.97,1.2,2.99,3.18,3.22,4.36,4.18,1.38,4.06,4.54
,매출액YOY(%),,,,,20,12.89,12.56,-0.87,2.06,7,-2.77,0.38,-4.08,-8.97,-8.07,-4.05,-1.63,6.61,6.14,8.18
,영업이익YOY(%),,,,,-110.88,110.8,85.08,9540.55,1543.6,73.34,-8.09,-32.31,16.96,52.56,36.69,96.26,-1.37,-40.66,10.27,-6.36
,지배순이익YOY(%),,,,,-167.9,82.36,237.8,354.32,296.87,523.77,-63.91,-59.05,9.32,77.94,206.25,247.35,37.63,-53.65,33.78,12.81
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,27370.14,31221.21,28819.77,30096.63,30595.9,33281.52,29799.33,29807.38,29918.52,27731.27,29374.61,31144.93,31558,31742.15,32866.49,32726.34,33410.28,35173.16,34326,
, - 매출원가,5019.47,-5019.47,0,0,6833.13,-6833.13,7417.15,0,7036.63,-14453.78,7333.4,8925.93,9061.17,-25320.5,7596.27,6836.64,7090.88,-21523.79,,
