,신라섬유,A001000,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,19.55,23.54,10.68,24.32,14.55,12.11,12.49,10.5,12.99,14.84,8.45,5.38,8.55,7.95,5.57,7.78,9.77,11.41,8.52,10.34
, - 매출원가,15.66,19.17,6.56,19.38,9.94,8.75,7.95,7.17,10.15,12.92,4.84,1.75,7.89,5.09,1.98,8.65,11.13,14.61,4.72,6.88
, = 매출총이익,3.89,4.37,4.12,4.94,4.61,3.36,4.54,3.33,2.84,1.92,3.61,3.63,0.66,2.86,3.59,-0.87,-1.36,-3.2,3.8,3.46
, - 판매비와관리비,4.14,1.3,2.1,1.94,4.03,2.34,2.3,0.96,2.1,-0.02,0.95,0.84,2.15,1.24,1.08,13.73,7.66,1.32,1.41,2.83
, = 영업이익,-0.25,3.07,2.02,3,0.58,1.02,2.24,2.37,0.74,1.94,2.66,2.79,-1.49,1.62,2.51,-14.6,-9.02,-4.52,2.39,0.63
,* 지배순이익,-5.01,3.19,2.63,2.03,1.36,2.58,2.16,-0.48,0.67,5.47,1.63,3.16,-1.49,1.48,1.99,-15.19,-9.49,-4.64,1.68,-0.58
,매출원가비중,80.1,81.44,61.42,79.69,68.32,72.25,63.65,68.29,78.14,87.06,57.28,32.53,92.28,64.03,35.55,111.18,113.92,128.05,55.4,66.54
,매출총이익율,19.9,18.56,38.58,20.31,31.68,27.75,36.35,31.71,21.86,12.94,42.72,67.47,7.72,35.97,64.45,-11.18,-13.92,-28.05,44.6,33.46
,판관비율,21.18,5.52,19.66,7.98,27.7,19.32,18.41,9.14,16.17,-0.13,11.24,15.61,25.15,15.6,19.39,176.48,78.4,11.57,16.55,27.37
,영업이익률,-1.28,13.04,18.91,12.34,3.99,8.42,17.93,22.57,5.7,13.07,31.48,51.86,-17.43,20.38,45.06,-187.66,-92.32,-39.61,28.05,6.09
,지배순이익률,-25.63,13.55,24.63,8.35,9.35,21.3,17.29,-4.57,5.16,36.86,19.29,58.74,-17.43,18.62,35.73,-195.24,-97.13,-40.67,19.72,-5.61
,매출액YOY(%),,,,,-25.58,-48.56,16.95,-56.83,-10.72,22.54,-32.35,-48.76,-34.18,-46.43,-34.08,44.61,14.27,43.52,52.96,32.9
,영업이익YOY(%),,,,,332,-66.78,10.89,-21,27.59,90.2,18.75,17.72,-301.35,-16.49,-5.64,-623.3,-505.37,-379.01,-4.78,104.32
,지배순이익YOY(%),,,,,127.15,-19.12,-17.87,-123.65,-50.74,112.02,-24.54,758.33,-322.39,-72.94,22.09,-580.7,-536.91,-413.51,-15.58,96.18
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,8.8,10.58,9.4,10.3,9.71,10.56,11.5,11.87,12.69,10.96,9.82,10.05,11.51,10.43,13.28,9.25,9.58,9.67,0,
, - 매출원가,4.54,7.33,5.58,7.23,5.62,9.42,6.9,9.44,6.7,10.46,5.3,7.22,6.82,9.67,8.44,9.84,4.93,5.3,,
, = 매출총이익,4.26,3.25,3.82,3.07,4.09,1.14,4.6,2.43,5.99,0.5,4.52,2.83,4.69,0.76,4.84,-0.59,4.65,4.37,,
, - 판매비와관리비,1.56,1.27,1.86,2.53,1.3,1.06,1.58,3.5,1.34,-0.48,1.19,3.36,1.81,-0.88,0.26,4.56,0.58,1.02,,
, = 영업이익,2.7,1.98,1.96,0.54,2.79,0.08,3.02,-1.07,4.65,0.98,3.33,-0.53,2.88,1.64,4.58,-5.15,4.07,3.35,0,
,* 지배순이익,1.27,0.19,1.45,2.09,1.76,-1.21,2.13,-2.33,3.15,-1.24,2.35,-3.07,1.44,1.56,2.32,-4.15,2.94,2.37,0,
,매출원가비중,51.59,69.28,59.36,70.19,57.88,89.2,60,79.53,52.8,95.44,53.97,71.84,59.25,92.71,63.55,106.38,51.46,54.81,,
,매출총이익율,48.41,30.72,40.64,29.81,42.12,10.8,40,20.47,47.2,4.56,46.03,28.16,40.75,7.29,36.45,-6.38,48.54,45.19,,
,판관비율,17.73,12,19.79,24.56,13.39,10.04,13.74,29.49,10.56,-4.38,12.12,33.43,15.73,-8.44,1.96,49.3,6.05,10.55,,
,영업이익률,30.68,18.71,20.85,5.24,28.73,0.76,26.26,-9.01,36.64,8.94,33.91,-5.27,25.02,15.72,34.49,-55.68,42.48,34.64,0,
,지배순이익률,14.43,1.8,15.43,20.29,18.13,-11.46,18.52,-19.63,24.82,-11.31,23.93,-30.55,12.51,14.96,17.47,-44.86,30.69,24.51,0,
,매출액YOY(%),-9.93,-7.27,10.33,-0.39,10.34,-0.19,22.34,15.24,30.69,3.79,-14.61,-15.33,-9.3,-4.84,35.23,-7.96,-16.77,-7.29,0,
,영업이익YOY(%),129.93,143.81,-17.99,-14.29,3.33,-95.96,54.08,-298.15,66.67,1125,10.26,50.47,-38.06,67.35,37.54,-871.7,41.32,104.27,0,
,지배순이익YOY(%),113.38,104.09,-13.69,460.34,38.58,-736.84,46.9,-211.48,78.98,-2.48,10.33,-31.76,-54.29,225.81,-1.28,-35.18,104.17,51.92,0,
,,,,,,,,,,,,,,,,,,,,,
,개별 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,19.55,23.54,10.68,24.32,14.55,12.11,12.49,10.5,12.99,14.84,8.45,5.38,8.55,7.95,5.57,7.78,9.77,11.41,8.52,10.34
,영업이익,-0.25,2.32,2.02,3,0.58,1.02,2.24,2.37,0.07,2.61,2.66,2.79,-1.49,1.62,2.51,-14.6,-9.02,-4.52,2.39,0.63
,순이익,-5.01,3.19,2.63,2.03,1.36,2.58,2.16,-0.48,3.65,2.49,1.63,3.16,-1.49,1.48,1.99,-15.19,-9.49,-4.64,1.68,-0.58
,영업이익율(%),-1.28,9.86,18.91,12.34,3.99,8.42,17.93,22.57,0.54,17.59,31.48,51.86,-17.43,20.38,45.06,-187.66,-92.32,-39.61,28.05,6.09
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,8.8,10.58,9.4,10.3,9.71,10.56,11.5,11.87,12.69,10.96,9.82,10.05,11.51,10.43,13.28,9.25,9.58,9.67,0,
,영업이익,2.7,1.98,1.96,0.54,2.79,0.08,3.02,-1.07,4.65,0.98,3.33,-0.53,2.88,1.64,4.58,-5.15,4.07,3.35,0,
,순이익,1.27,0.19,1.45,2.09,1.76,-1.21,2.13,-2.33,3.15,-1.24,2.35,-3.07,1.44,1.56,2.32,-4.15,2.94,2.37,0,
,영업이익율(%),30.68,18.71,20.85,5.24,28.73,0.76,26.26,-9.01,36.64,8.94,33.91,-5.27,25.02,15.72,34.49,-55.68,42.48,34.64,0,
