,DB하이텍,A000990,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,1226.76,1147.58,1427.82,1574.85,1498.37,1335.1,1212.13,1325.26,1335.38,1064.75,1185.88,1437.36,1478.55,1575.39,1455,1513.46,1882.37,1815.12,1838.76,1900.51
, - 매출원가,1024.96,1114.44,1203.92,1227.4,1236.02,1201.44,1048.78,941.83,1081.24,973.15,942.61,1106.61,1129.63,1129.28,1023.28,1000.08,1143.25,1202.55,1155.31,1160.94
, = 매출총이익,201.8,33.14,223.9,347.45,262.35,133.66,163.35,383.43,254.14,91.6,243.27,330.75,348.92,446.11,431.72,513.38,739.12,612.57,683.45,739.57
, - 판매비와관리비,377.99,333.11,287.31,301.59,275.55,249.21,237.37,261.32,239.98,249.95,234.97,228.06,226.07,224.35,247.65,236.39,251.92,311.14,276.38,297.39
, = 영업이익,-176.19,-299.97,-63.41,45.86,-13.2,-115.55,-74.02,122.11,14.16,-158.35,8.3,102.69,122.85,221.76,184.07,276.99,487.2,301.43,407.07,442.18
,* 지배순이익,-429.28,-394.76,-163.11,-73.28,134.48,-193.64,-292.82,-25.43,-92.82,-419.39,-232.44,-52.22,-297.71,-187.72,612.13,252.95,312.99,89.26,272.41,197.81
,매출원가비중,83.55,97.11,84.32,77.94,82.49,89.99,86.52,71.07,80.97,91.4,79.49,76.99,76.4,71.68,70.33,66.08,60.73,66.25,62.83,61.09
,매출총이익율,16.45,2.89,15.68,22.06,17.51,10.01,13.48,28.93,19.03,8.6,20.51,23.01,23.6,28.32,29.67,33.92,39.27,33.75,37.17,38.91
,판관비율,30.81,29.03,20.12,19.15,18.39,18.67,19.58,19.72,17.97,23.48,19.81,15.87,15.29,14.24,17.02,15.62,13.38,17.14,15.03,15.65
,영업이익률,-14.36,-26.14,-4.44,2.91,-0.88,-8.65,-6.11,9.21,1.06,-14.87,0.7,7.14,8.31,14.08,12.65,18.3,25.88,16.61,22.14,23.27
,지배순이익률,-34.99,-34.4,-11.42,-4.65,8.98,-14.5,-24.16,-1.92,-6.95,-39.39,-19.6,-3.63,-20.14,-11.92,42.07,16.71,16.63,4.92,14.81,10.41
,매출액YOY(%),,,,,22.14,16.34,-15.11,-15.85,-10.88,-20.25,-2.17,8.46,10.72,47.96,22.69,5.29,27.31,15.22,26.38,25.57
,영업이익YOY(%),,,,,92.51,61.48,-16.73,166.27,207.27,-37.04,111.21,-15.9,767.58,240.04,2117.71,169.73,296.58,35.93,121.15,59.64
,지배순이익YOY(%),,,,,131.33,50.95,-79.52,65.3,-169.02,-116.58,20.62,-105.35,-220.74,55.24,363.35,584.39,205.13,147.55,-55.5,-21.8
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1982.17,2009.96,1904.61,1746.83,1639,1506.94,1384.45,1740.61,1837.4,1730.33,1595.8,2134.85,2223.2,2120.32,2258.03,2416.51,2406.47,2278.19,2382,
