,SK하이닉스,A000660,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,22911.05,25531.59,23883.89,26319.53,24234.82,27183.86,27811.47,39326.47,40836.21,33676.87,37426.9,39228.75,43120.69,51479.32,48183.41,46385.79,49250.34,44160.44,36557.17,39409.27
, - 매출원가,21826.79,22828.47,21783.86,21544.11,20142.55,22039.37,20182.29,24508.8,23792.74,20162.04,21104.22,22460.45,23767.15,27285.43,25299.49,25227.28,27960.09,26666.67,23376.72,26891.17
, = 매출총이익,1084.26,2703.12,2100.03,4775.42,4092.27,5144.49,7629.18,14817.67,17043.47,13514.83,16322.68,16768.3,19353.54,24193.89,22883.92,21158.51,21290.25,17493.77,13180.45,12518.1
, - 판매비와관리비,3851.85,3941.76,4735.48,4722.95,4332.49,4594.78,4459.67,3681.64,5398.66,5667.33,5750.02,5929.63,6341.8,7522.3,6998.62,7403.71,7458.1,7605.02,7562.47,7989.57
, = 영업이익,-2767.59,-1238.64,-2635.45,52.47,-240.22,549.71,3169.51,11136.03,11644.81,7847.5,10572.66,10838.67,13011.74,16671.59,15885.3,13754.8,13832.15,9888.75,5617.98,4528.53
,* 지배순이익,-5611,-2398.92,-2711.19,-531.58,18.85,1635.06,1785.95,9468.07,9582.78,7887.9,8025.38,6732.01,10953.2,16243.97,12957.3,11080.69,10483.07,8702.5,4441.94,2861.41
,매출원가비중,95.27,89.41,91.21,81.86,83.11,81.08,72.57,62.32,58.26,59.87,56.39,57.26,55.12,53,52.51,54.39,56.77,60.39,63.95,68.24
,매출총이익율,4.73,10.59,8.79,18.14,16.89,18.92,27.43,37.68,41.74,40.13,43.61,42.74,44.88,47,47.49,45.61,43.23,39.61,36.05,31.76
,판관비율,16.81,15.44,19.83,17.94,17.88,16.9,16.04,9.36,13.22,16.83,15.36,15.12,14.71,14.61,14.52,15.96,15.14,17.22,20.69,20.27
,영업이익률,-12.08,-4.85,-11.03,0.2,-0.99,2.02,11.4,28.32,28.52,23.3,28.25,27.63,30.18,32.39,32.97,29.65,28.09,22.39,15.37,11.49
,지배순이익률,-24.49,-9.4,-11.35,-2.02,0.08,6.01,6.42,24.08,23.47,23.42,21.44,17.16,25.4,31.55,26.89,23.89,21.29,19.71,12.15,7.26
,매출액YOY(%),,,,,5.78,6.47,16.44,49.42,68.5,23.89,34.57,-0.25,5.59,52.86,28.74,18.24,14.22,-14.22,-24.13,-15.04
,영업이익YOY(%),,,,,91.32,144.38,220.26,21123.62,4947.56,1327.57,233.57,-2.67,11.74,112.44,50.25,26.9,6.31,-40.69,-64.63,-67.08
,지배순이익YOY(%),,,,,100.34,168.16,165.87,1881.12,50737.03,382.42,349.36,-28.9,14.3,105.94,61.45,64.6,-4.29,-46.43,-65.72,-74.18
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
