,삼성전자,A005930,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,412739.7,473039.3,452705.2,475969.8,521772.7,560588.5,528680.9,574644.5,590835,592766.3,536753.3,523532.3,474473.1,527301.3,471179.2,485375.4,516825.7,533154.5,497822.5,509371.2
, - 매출원가,277542.5,315093.1,301383.7,299712.1,319896,345527.5,313793.5,343414.2,355276.2,364479.2,320495.1,316718.2,307114,338460.7,289553.9,289556,316094.5,339616.8,303738.6,296091.2
, = 매출총이익,135197.2,157946.3,151321.4,176257.7,201876.7,215061,214887.4,231230.3,235558.8,228287.1,216258.1,206814.1,167359.1,188840.5,181625.3,195819.4,200731.2,193537.7,194083.9,213280
, - 판매비와관리비,92668.2,111036.5,94430.12,111641.9,121263.3,126688.1,127092.8,135923.5,133922.9,145174.3,131370.1,134940.9,126753.9,135956.3,121831.6,126840,126797.5,132110.1,127325.8,131840.5
, = 영업이익,42528.96,46909.79,56891.32,64615.85,80613.34,88372.87,87794.58,95306.83,101635.9,83112.78,84887.99,71873.23,40605.22,52884.27,59793.67,68979.37,73933.73,61427.65,66758.12,81439.5
,* 지배순이익,33001.57,39108.87,48608.94,50490.42,64248.72,68505.67,69769.18,75750.16,80495.37,72197.44,74846.8,61765.06,41354.22,52858.91,45193.23,56267.34,53061.04,32424.67,52635.06,58261.78
,매출원가비중,67.24,66.61,66.57,62.97,61.31,61.64,59.35,59.76,60.13,61.49,59.71,60.5,64.73,64.19,61.45,59.66,61.16,63.7,61.01,58.13
,매출총이익율,32.76,33.39,33.43,37.03,38.69,38.36,40.65,40.24,39.87,38.51,40.29,39.5,35.27,35.81,38.55,40.34,38.84,36.3,38.99,41.87
,판관비율,22.45,23.47,20.86,23.46,23.24,22.6,24.04,23.65,22.67,24.49,24.47,25.78,26.71,25.78,25.86,26.13,24.53,24.78,25.58,25.88
,영업이익률,10.3,9.92,12.57,13.58,15.45,15.76,16.61,16.59,17.2,14.02,15.82,13.73,8.56,10.03,12.69,14.21,14.31,11.52,13.41,15.99
,지배순이익률,8,8.27,10.74,10.61,12.31,12.22,13.2,13.18,13.62,12.18,13.94,11.8,8.72,10.02,9.59,11.59,10.27,6.08,10.57,11.44
,매출액YOY(%),,,,,26.42,18.51,16.78,20.73,13.24,5.74,1.53,-8.89,-19.69,-11.04,-12.22,-7.29,8.93,1.11,5.65,4.94
,영업이익YOY(%),,,,,89.55,88.39,54.32,47.5,26.08,-5.95,-3.31,-24.59,-60.05,-36.37,-29.56,-4.03,82.08,16.15,11.65,18.06
,지배순이익YOY(%),,,,,94.68,75.17,43.53,50.03,25.29,5.39,7.28,-18.46,-48.63,-26.79,-39.62,-8.9,28.31,-38.66,16.47,3.54
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
