,CJ CGV,A079160,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,1692.1,1344.33,1385.47,1542.78,1994.01,2015.46,2247.49,2107.42,2670.16,2134.23,2469.63,2254.4,3078.23,2590.7,2575.44,2783.59,3580.72,2995.41,3142.84,3146.41
, - 매출원가,770.35,623.72,647.18,687.25,889.94,976.53,1062.9,999.03,1324.21,1094.42,1257.12,1193.36,1497.28,1321.1,1269.62,1446.6,1751.67,1547.38,1573.77,1600.92
, = 매출총이익,921.75,720.61,738.29,855.53,1104.07,1038.93,1184.59,1108.39,1345.95,1039.81,1212.51,1061.04,1580.95,1269.6,1305.82,1336.99,1829.05,1448.03,1569.07,1545.49
, - 판매비와관리비,583.94,654.49,567.35,629.85,831.32,1045.61,976.13,995.7,1123.85,1067.9,1116.57,1028.82,1241.97,1215.91,1161.1,1250.85,1439.11,1399.83,1391.98,1537
, = 영업이익,337.81,66.12,170.94,225.68,272.75,-6.68,208.46,112.69,222.1,-28.09,95.94,32.22,338.98,53.69,144.72,86.14,389.94,48.2,177.09,8.49
,* 지배순이익,220.76,-13.01,120.72,161.26,403.61,-34.23,108.07,-18.42,165.25,-128.08,37.4,1.1,238.38,-110.31,93.32,113.37,343.63,-30.88,132.96,51.83
,매출원가비중,45.53,46.4,46.71,44.55,44.63,48.45,47.29,47.41,49.59,51.28,50.9,52.93,48.64,50.99,49.3,51.97,48.92,51.66,50.07,50.88
,매출총이익율,54.47,53.6,53.29,55.45,55.37,51.55,52.71,52.59,50.41,48.72,49.1,47.07,51.36,49.01,50.7,48.03,51.08,48.34,49.93,49.12
,판관비율,34.51,48.69,40.95,40.83,41.69,51.88,43.43,47.25,42.09,50.04,45.21,45.64,40.35,46.93,45.08,44.94,40.19,46.73,44.29,48.85
,영업이익률,19.96,4.92,12.34,14.63,13.68,-0.33,9.28,5.35,8.32,-1.32,3.88,1.43,11.01,2.07,5.62,3.09,10.89,1.61,5.63,0.27
,지배순이익률,13.05,-0.97,8.71,10.45,20.24,-1.7,4.81,-0.87,6.19,-6,1.51,0.05,7.74,-4.26,3.62,4.07,9.6,-1.03,4.23,1.65
,매출액YOY(%),,,,,17.84,49.92,62.22,36.6,33.91,5.89,9.88,6.97,15.28,21.39,4.28,23.47,16.32,15.62,22.03,13.03
,영업이익YOY(%),,,,,-19.26,-110.1,21.95,-50.07,-18.57,-320.51,-53.98,-71.41,52.62,291.14,50.84,167.35,15.03,-10.23,22.37,-90.14
,지배순이익YOY(%),,,,,82.83,-163.11,-10.48,-111.42,-59.06,-274.17,-65.39,105.97,44.25,13.87,149.52,10206.36,44.15,72.01,42.48,-54.28
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,4220.77,3812.43,4055.18,3826.24,4721.78,4540.67,4411.79,4048.04,4729.9,4503.84,4646.14,4819.34,4974.69,4982.63,2433.08,415.94,1551.95,1433.47,1740,
