,JYP ENT.,A035900,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,34.72,64.51,10.75,14.74,25.44,86.57,28.07,28.36,25.29,131.53,75.46,89.79,120.21,199.37,74.7,117.47,132.72,180.69,109.83,179.37
, - 매출원가,34.72,64.51,10.84,12.5,19.32,68.06,16.38,19.19,16.87,78.04,46.58,61.73,84.77,108.64,48.62,84.67,90.16,125.68,74.21,111.22
, = 매출총이익,0,0,-0.09,2.24,6.12,18.51,11.69,9.17,8.42,53.49,28.88,28.06,35.44,90.73,26.08,32.8,42.56,55.01,35.62,68.15
, - 판매비와관리비,-0.17,9.86,16.77,15.58,15.73,27.27,21.06,22.84,22.03,42.37,25.57,22.94,26.54,25.5,26.24,24.68,25.84,37.7,28.81,29.98
, = 영업이익,0.17,-9.86,-16.86,-13.34,-9.61,-8.76,-9.37,-13.67,-13.61,11.12,3.31,5.12,8.9,65.23,-0.16,8.12,16.72,17.31,6.81,38.17
,* 지배순이익,-1.34,-20.24,-15.27,-9.09,-9.56,-42.12,-9.89,-16.95,-12.57,2.28,9.43,2.14,9.85,55.61,0.73,0.43,16.45,14.3,9.6,28.95
,매출원가비중,100,100,100.84,84.8,75.94,78.62,58.35,67.67,66.71,59.33,61.73,68.75,70.52,54.49,65.09,72.08,67.93,69.56,67.57,62.01
,매출총이익율,0,0,-0.84,15.2,24.06,21.38,41.65,32.33,33.29,40.67,38.27,31.25,29.48,45.51,34.91,27.92,32.07,30.44,32.43,37.99
,판관비율,-0.49,15.28,156,105.7,61.83,31.5,75.03,80.54,87.11,32.21,33.89,25.55,22.08,12.79,35.13,21.01,19.47,20.86,26.23,16.71
,영업이익률,0.49,-15.28,-156.84,-90.5,-37.78,-10.12,-33.38,-48.2,-53.82,8.45,4.39,5.7,7.4,32.72,-0.21,6.91,12.6,9.58,6.2,21.28
,지배순이익률,-3.86,-31.37,-142.05,-61.67,-37.58,-48.65,-35.23,-59.77,-49.7,1.73,12.5,2.38,8.19,27.89,0.98,0.37,12.39,7.91,8.74,16.14
,매출액YOY(%),,,,,-26.73,34.2,161.12,92.4,-0.59,51.93,168.83,216.61,375.33,51.58,-1.01,30.83,10.41,-9.37,47.03,52.69
,영업이익YOY(%),,,,,-5752.94,11.16,44.42,-2.47,-41.62,226.94,135.33,137.45,165.39,486.6,-104.83,58.59,87.87,-73.46,4356.25,370.07
,지배순이익YOY(%),,,,,-613.43,-108.1,35.23,-86.47,-31.49,105.41,195.35,112.63,178.36,2339.04,-92.26,-79.91,67.01,-74.29,1215.07,6632.56
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,190.18,257.08,219.18,285.27,174.77,343.2,230.15,315.62,338.95,363.49,263.6,391.63,455.73,443.4,339.73,341.34,345.96,416.96,325,
