,신세계,A004170,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,5179.91,5920.27,5577.03,5390.14,5331.55,6659.57,5977.49,5808.28,5782.88,6847.72,6087.81,5686.28,5955.58,7193.4,6306.71,6010.87,6007.13,7315.14,6432.77,6566.79
, - 매출원가,1964.94,1960.16,2032.89,1775.69,2061.5,2194.11,2170.68,2005.98,2229.25,2327.74,2210.68,1948.77,2235.64,2547.52,2287.91,2094.72,2304.13,2607.03,2327.22,2271.85
, = 매출총이익,3214.97,3960.11,3544.14,3614.45,3270.05,4465.46,3806.81,3802.3,3553.63,4519.98,3877.13,3737.51,3719.94,4645.88,4018.8,3916.15,3703,4708.11,4105.55,4294.94
, - 판매비와관리비,2859.09,3184.69,2949.73,3002.95,3048.97,3394.73,3100.65,3118.38,3078.66,3321.13,3182.33,3155.11,3227.92,3680.63,3306.04,3420.69,3322.12,3675.88,3484.58,3869.44
, = 영업이익,355.88,775.42,594.41,611.5,221.08,1070.73,706.16,683.92,474.97,1198.85,694.8,582.4,492.02,965.25,712.76,495.46,380.88,1032.23,620.97,425.5
,* 지배순이익,187.23,787.96,471.18,498.16,160.27,486.45,386.93,415.96,216.91,556.38,403.02,360.86,205.17,597.09,458.34,2712.97,298.29,551.47,364.66,984.13
,매출원가비중,37.93,33.11,36.45,32.94,38.67,32.95,36.31,34.54,38.55,33.99,36.31,34.27,37.54,35.41,36.28,34.85,38.36,35.64,36.18,34.6
,매출총이익율,62.07,66.89,63.55,67.06,61.33,67.05,63.69,65.46,61.45,66.01,63.69,65.73,62.46,64.59,63.72,65.15,61.64,64.36,63.82,65.4
,판관비율,55.2,53.79,52.89,55.71,57.19,50.98,51.87,53.69,53.24,48.5,52.27,55.49,54.2,51.17,52.42,56.91,55.3,50.25,54.17,58.92
,영업이익률,6.87,13.1,10.66,11.34,4.15,16.08,11.81,11.77,8.21,17.51,11.41,10.24,8.26,13.42,11.3,8.24,6.34,14.11,9.65,6.48
,지배순이익률,3.61,13.31,8.45,9.24,3.01,7.3,6.47,7.16,3.75,8.13,6.62,6.35,3.45,8.3,7.27,45.13,4.97,7.54,5.67,14.99
,매출액YOY(%),,,,,2.93,12.49,7.18,7.76,8.47,2.83,1.85,-2.1,2.99,5.05,3.6,5.71,0.87,1.69,2,9.25
,영업이익YOY(%),,,,,-37.88,38.08,18.8,11.84,114.84,11.97,-1.61,-14.84,3.59,-19.49,2.58,-14.93,-22.59,6.94,-12.88,-14.12
,지배순이익YOY(%),,,,,-14.4,-38.26,-17.88,-16.5,35.34,14.38,4.16,-13.25,-5.41,7.32,13.73,651.81,45.39,-7.64,-20.44,-63.72
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,7334.05,9141.25,9165.52,8765.82,9852.54,10930.28,10953.47,11827.29,13664.16,15411.91,15168.91,15060.44,16026.36,17686.53,11968.56,10144.04,12144.12,13436.07,13531,
