,LG,A003550,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,23090.79,28223.94,21041.74,25300.09,23949.14,26661.07,21167.75,24545.89,23667.1,28611.39,20824.15,24092.42,24077.87,29659.58,21539.47,24150.8,25902.65,28060.73,21487.54,24733.21
, - 매출원가,19458.53,23617.11,16787.47,20602.47,19396.65,23669.58,17835.93,20116.47,19661.18,24233.6,17717.01,20054.63,19996.46,25851.19,18396.34,19597.19,20886.18,24502.39,17189.48,19634.56
, = 매출총이익,3632.26,4606.83,4254.27,4697.62,4552.49,2991.49,3331.82,4429.42,4005.92,4377.79,3107.14,4037.79,4081.41,3808.39,3143.13,4553.61,5016.47,3558.34,4298.06,5098.65
, - 판매비와관리비,1280.38,985.93,1029.63,1154.55,1130.99,865.24,1130.01,1158.09,1189.79,1127.84,1152.74,1156.82,1176.97,1107.12,1143.7,1134.35,1283,1324.31,1115.83,996.07
, = 영업이익,2351.88,3620.9,3224.64,3543.07,3421.5,2126.25,2201.81,3271.33,2816.13,3249.95,1954.4,2880.97,2904.44,2701.27,1999.43,3419.26,3733.47,2234.03,3182.23,4102.58
,* 지배순이익,1584.6,1776.81,2729.69,2786.65,2797.15,1068.14,1934.84,2519.59,2448,2058.74,1756.31,2636.35,2295.22,1757.6,1682.78,2999.07,3167.35,1592.69,2941.56,3538.59
,매출원가비중,84.27,83.68,79.78,81.43,80.99,88.78,84.26,81.95,83.07,84.7,85.08,83.24,83.05,87.16,85.41,81.15,80.63,87.32,80,79.39
,매출총이익율,15.73,16.32,20.22,18.57,19.01,11.22,15.74,18.05,16.93,15.3,14.92,16.76,16.95,12.84,14.59,18.85,19.37,12.68,20,20.61
,판관비율,5.54,3.49,4.89,4.56,4.72,3.25,5.34,4.72,5.03,3.94,5.54,4.8,4.89,3.73,5.31,4.7,4.95,4.72,5.19,4.03
,영업이익률,10.19,12.83,15.32,14,14.29,7.98,10.4,13.33,11.9,11.36,9.39,11.96,12.06,9.11,9.28,14.16,14.41,7.96,14.81,16.59
,지배순이익률,6.86,6.3,12.97,11.01,11.68,4.01,9.14,10.26,10.34,7.2,8.43,10.94,9.53,5.93,7.81,12.42,12.23,5.68,13.69,14.31
,매출액YOY(%),,,,,3.72,-5.54,0.6,-2.98,-1.18,7.32,-1.62,-1.85,1.74,3.66,3.44,0.24,7.58,-5.39,-0.24,2.41
,영업이익YOY(%),,,,,45.48,-41.28,-31.72,-7.67,-17.69,52.85,-11.24,-11.93,3.14,-16.88,2.3,18.68,28.54,-17.3,59.16,19.98
,지배순이익YOY(%),,,,,76.52,-39.88,-29.12,-9.58,-12.48,92.74,-9.23,4.63,-6.24,-14.63,-4.19,13.76,38,-9.38,74.8,17.99
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
