,SK네트웍스,A001740,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,68848.6,74602.31,66366.39,71478.48,72729.58,68780.59,64273.93,63122.93,67472.04,64884.71,60888.66,55066.1,54428.8,53697.12,48592.77,51600.34,51007.79,44033.24,43820.31,45162.16
, - 매출원가,64177.58,69257.09,61456.48,66233.08,67541.53,64003.84,59998.47,58402.17,62801.18,59456.45,56216.39,51223.19,50255.08,48975.8,44923.32,47864.61,47218.33,44269.99,41482.75,42749.32
, = 매출총이익,4671.02,5345.23,4909.91,5245.4,5188.05,4776.75,4275.46,4720.76,4670.86,5428.26,4672.27,3842.91,4173.72,4721.32,3669.45,3735.73,3789.46,-236.75,2337.56,2412.84
, - 판매비와관리비,3973.62,3820.41,4403.94,4579.21,4684.84,3936.52,4033.29,4113.28,4090.32,4450.21,4259.11,3391.01,3645.62,4101.07,3349.5,3374.83,3195.06,-872.37,2027.62,2023.53
, = 영업이익,697.4,1524.82,505.97,666.19,503.21,840.23,242.17,607.48,580.54,978.05,413.16,451.9,528.1,620.25,319.95,360.9,594.4,635.62,309.94,389.31
,* 지배순이익,55.64,560.49,198.36,195.29,189.69,-102.3,-1729.38,-7.76,84.8,-4027.44,209.45,181.24,41.57,-111.57,20.35,44.37,565.09,105.35,5.16,100.4
,매출원가비중,93.22,92.84,92.6,92.66,92.87,93.06,93.35,92.52,93.08,91.63,92.33,93.02,92.33,91.21,92.45,92.76,92.57,100.54,94.67,94.66
,매출총이익율,6.78,7.16,7.4,7.34,7.13,6.94,6.65,7.48,6.92,8.37,7.67,6.98,7.67,8.79,7.55,7.24,7.43,-0.54,5.33,5.34
,판관비율,5.77,5.12,6.64,6.41,6.44,5.72,6.28,6.52,6.06,6.86,6.99,6.16,6.7,7.64,6.89,6.54,6.26,-1.98,4.63,4.48
,영업이익률,1.01,2.04,0.76,0.93,0.69,1.22,0.38,0.96,0.86,1.51,0.68,0.82,0.97,1.16,0.66,0.7,1.17,1.44,0.71,0.86
,지배순이익률,0.08,0.75,0.3,0.27,0.26,-0.15,-2.69,-0.01,0.13,-6.21,0.34,0.33,0.08,-0.21,0.04,0.09,1.11,0.24,0.01,0.22
,매출액YOY(%),,,,,5.64,-7.8,-3.15,-11.69,-7.23,-5.66,-5.27,-12.76,-19.33,-17.24,-20.19,-6.29,-6.29,-18,-9.82,-12.48
,영업이익YOY(%),,,,,-27.84,-44.9,-52.14,-8.81,15.37,16.4,70.61,-25.61,-9.03,-36.58,-22.56,-20.14,12.55,2.48,-3.13,7.87
,지배순이익YOY(%),,,,,240.92,-118.25,-971.84,-103.97,-55.3,-3836.89,112.11,2435.57,-50.98,97.23,-90.28,-75.52,1259.37,194.42,-74.64,126.28
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
