,마크로젠,A038290,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,72.16,96.75,91,115.84,102.14,118.54,111.49,123.81,107.49,137.99,115.08,126.31,121.69,178.21,154.68,176.57,229.79,234.29,229.64,212.9
, - 매출원가,37.63,52.5,60.11,64.19,53.33,66.75,65.89,63.77,60.57,77.87,70.93,64.88,71.69,117.46,100.42,109.04,147.36,176.55,152.73,137.65
, = 매출총이익,34.53,44.25,30.89,51.65,48.81,51.79,45.6,60.04,46.92,60.12,44.15,61.43,50,60.75,54.26,67.53,82.43,57.74,76.91,75.25
, - 판매비와관리비,18.42,28.87,27.32,33.65,34,37.48,40.44,45.6,41.74,49.22,37.91,51.51,48.7,52.2,58.57,59.55,62,40.17,61.12,70.55
, = 영업이익,16.11,15.38,3.57,18,14.81,14.31,5.16,14.44,5.18,10.9,6.24,9.92,1.3,8.55,-4.31,7.98,20.43,17.57,15.79,4.7
,* 지배순이익,17.43,-4.3,6.2,14.91,15.03,-1.72,8.81,16.02,4.92,34.51,8.92,8.05,2.82,10.1,3.38,11.82,22.16,64.36,16.74,15.69
,매출원가비중,52.15,54.26,66.05,55.41,52.21,56.31,59.1,51.51,56.35,56.43,61.64,51.37,58.91,65.91,64.92,61.75,64.13,75.36,66.51,64.65
,매출총이익율,47.85,45.74,33.95,44.59,47.79,43.69,40.9,48.49,43.65,43.57,38.36,48.63,41.09,34.09,35.08,38.25,35.87,24.64,33.49,35.35
,판관비율,25.53,29.84,30.02,29.05,33.29,31.62,36.27,36.83,38.83,35.67,32.94,40.78,40.02,29.29,37.87,33.73,26.98,17.15,26.62,33.14
,영업이익률,22.33,15.9,3.92,15.54,14.5,12.07,4.63,11.66,4.82,7.9,5.42,7.85,1.07,4.8,-2.79,4.52,8.89,7.5,6.88,2.21
,지배순이익률,24.15,-4.44,6.81,12.87,14.72,-1.45,7.9,12.94,4.58,25.01,7.75,6.37,2.32,5.67,2.19,6.69,9.64,27.47,7.29,7.37
,매출액YOY(%),,,,,41.55,22.52,22.52,6.88,5.24,16.41,3.22,2.02,13.21,29.15,34.41,39.79,88.83,31.47,48.46,20.58
,영업이익YOY(%),,,,,-8.07,-6.96,44.54,-19.78,-65.02,-23.83,20.93,-31.3,-74.9,-21.56,-169.07,-19.56,1471.54,105.5,466.36,-41.1
,지배순이익YOY(%),,,,,-13.77,60,42.1,7.44,-67.27,2106.4,1.25,-49.75,-42.68,-70.73,-62.11,46.83,685.82,537.23,395.27,32.74
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,205.23,263.35,242.46,236.68,242.23,296.56,269.15,271.66,248.39,339.12,297.23,266.76,298.97,165.19,335.36,284.25,316.04,190.4,0,
, - 매출원가,142.08,180.08,163.69,158.57,165.62,193.4,173.65,183.12,160.9,261.43,194.24,196.74,200.15,82.49,222.05,213.05,212.57,56.48,,
