,크리스탈지노믹스,A083790,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,6.9,17.64,16.35,5.5,7.46,7.88,5.08,3.2,5.77,33.91,8.8,8.29,9.75,18.52,22.33,7.86,25.76,5.41,46.01,60.99
, - 매출원가,0,0,0,0,0,0,0,0,0,0,0,0,28.29,-15.13,30.43,0,0,-27.27,0,24.74
, = 매출총이익,6.9,17.64,16.35,5.5,7.46,7.88,5.08,3.2,5.77,33.91,8.8,8.29,-18.54,33.65,-8.1,7.86,25.76,32.68,46.01,36.25
, - 판매비와관리비,27.81,46.69,30.62,27.63,28.85,21.84,24.94,33.03,27.17,23.21,32.06,28.16,0,44.26,0,20.99,23.68,53.45,49.82,30.85
, = 영업이익,-20.91,-29.05,-14.27,-22.13,-21.39,-13.96,-19.86,-29.83,-21.4,10.7,-23.26,-19.87,-18.54,-10.61,-8.1,-13.13,2.08,-20.77,-3.81,5.4
,* 지배순이익,-27.32,-26.35,-18.46,-30.78,-25.11,-42.95,-25.29,-38.93,-28.68,-21.15,-35.39,-18.5,-24.89,-40.53,-17.44,-20.46,-3.62,-6.98,14.11,-3.15
,매출원가비중,0,0,0,0,0,0,0,0,0,0,0,0,290.15,-81.7,136.27,0,0,-504.07,0,40.56
,매출총이익율,100,100,100,100,100,100,100,100,100,100,100,100,-190.15,181.7,-36.27,100,100,604.07,100,59.44
,판관비율,403.04,264.68,187.28,502.36,386.73,277.16,490.94,1032.19,470.88,68.45,364.32,339.69,0,238.98,0,267.05,91.93,987.99,108.28,50.58
,영업이익률,-303.04,-164.68,-87.28,-402.36,-286.73,-177.16,-390.94,-932.19,-370.88,31.55,-264.32,-239.69,-190.15,-57.29,-36.27,-167.05,8.07,-383.92,-8.28,8.85
,지배순이익률,-395.94,-149.38,-112.91,-559.64,-336.6,-545.05,-497.83,-1216.56,-497.05,-62.37,-402.16,-223.16,-255.28,-218.84,-78.1,-260.31,-14.05,-129.02,30.67,-5.16
,매출액YOY(%),,,,,8.12,-55.33,-68.93,-41.82,-22.65,330.33,73.23,159.06,68.98,-45.38,153.75,-5.19,164.21,-70.79,106.05,675.95
,영업이익YOY(%),,,,,-2.3,51.94,-39.17,-34.79,-0.05,176.65,-17.12,33.39,13.36,-199.16,65.18,33.92,111.22,-95.76,52.96,141.13
,지배순이익YOY(%),,,,,8.09,-63,-37,-26.48,-14.22,50.76,-39.94,52.48,13.21,-91.63,50.72,-10.59,85.46,82.78,180.91,84.6
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,35,3.25,35.36,31.7,38.56,16.13,10.29,59.73,8.51,60.34,11.62,10.43,10.75,107.27,417.75,388.25,341.58,-845.34,0,
, - 매출원가,12.01,11.82,13.53,14.57,2.32,2.91,2.3,1.69,2.08,22.95,6.84,8,8.13,69.03,339.21,324.22,275.29,-765.59,,
