,동양생명,A082640,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,7851.16,7640.35,8113.89,8445.16,9624.07,10444.12,11913.89,9662.72,8943.14,7587.4,7893.56,8062.24,8182.74,8486.37,8642.7,8783.76,8945.42,9259.17,18964.44,15714.44
, - 매출원가,3993,3739.74,4132.42,4426.65,5369.28,6068.65,7574.78,5567.74,3203.67,646.48,3090.73,4050.08,4097.96,4413.38,3816.58,4269.16,4450.26,5028.09,13590.49,10660.36
, = 매출총이익,3858.16,3900.61,3981.47,4018.51,4254.79,4375.47,4339.11,4094.98,5739.47,6940.92,4802.83,4012.16,4084.78,4072.99,4826.12,4514.6,4495.16,4231.08,5373.95,5054.08
, - 판매비와관리비,3997.04,3463.86,3406.76,3627.36,3817.47,3848.83,3661.58,3362.43,5311.33,7108.89,4270.54,3628.08,3644.17,4223.71,3784.51,3942.88,4199.56,4018.38,4440.86,4129.51
, = 영업이익,-138.88,436.75,574.71,391.15,437.32,526.64,677.53,732.55,428.14,-167.97,532.29,384.08,440.61,-150.72,1041.61,571.72,295.6,212.7,933.09,924.57
,* 지배순이익,-124.52,315.8,442.33,312,370.36,389.52,498.46,527.11,310.77,-63.42,438.54,315.42,428.45,461.97,783.47,520.25,213.3,61.96,808.69,731.6
,매출원가비중,50.86,48.95,50.93,52.42,55.79,58.11,63.58,57.62,35.82,8.52,39.16,50.24,50.08,52.01,44.16,48.6,49.75,54.3,71.66,67.84
,매출총이익율,49.14,51.05,49.07,47.58,44.21,41.89,36.42,42.38,64.18,91.48,60.84,49.76,49.92,47.99,55.84,51.4,50.25,45.7,28.34,32.16
,판관비율,50.91,45.34,41.99,42.95,39.67,36.85,30.73,34.8,59.39,93.69,54.1,45,44.53,49.77,43.79,44.89,46.95,43.4,23.42,26.28
,영업이익률,-1.77,5.72,7.08,4.63,4.54,5.04,5.69,7.58,4.79,-2.21,6.74,4.76,5.38,-1.78,12.05,6.51,3.3,2.3,4.92,5.88
,지배순이익률,-1.59,4.13,5.45,3.69,3.85,3.73,4.18,5.46,3.47,-0.84,5.56,3.91,5.24,5.44,9.07,5.92,2.38,0.67,4.26,4.66
,매출액YOY(%),,,,,22.58,36.7,46.83,14.42,-7.08,-27.35,-33.74,-16.56,-8.5,11.85,9.49,8.95,9.32,9.11,119.43,78.9
,영업이익YOY(%),,,,,414.89,20.58,17.89,87.28,-2.1,-131.89,-21.44,-47.57,2.91,10.27,95.68,48.85,-32.91,241.12,-10.42,61.72
,지배순이익YOY(%),,,,,397.43,23.34,12.69,68.95,-16.09,-116.28,-12.02,-40.16,37.87,828.43,78.65,64.94,-50.22,-86.59,3.22,40.62
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
