,삼성생명,A032830,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,35605.1,36234.61,39631.83,38776.02,56136.34,56552.27,69048.37,41182.74,41426.8,43064.3,42536.04,43660.94,42995.67,45423.62,45344.29,43762.13,42393.39,42041.66,41535.88,42240.02
, - 매출원가,17084.06,18637.14,19535.78,21254.81,36941.32,37000.84,48985.3,24402.33,24329.16,25353.73,22772.69,26230.61,23709.16,27600.83,25180.68,24361.87,23355.71,25744.82,22470.01,21393.43
, = 매출총이익,18521.04,17597.47,20096.05,17521.21,19195.02,19551.43,20063.06,16780.41,17097.64,17710.57,19763.35,17430.33,19286.51,17822.79,20163.61,19400.26,19037.68,16296.84,19065.87,20846.59
, - 판매비와관리비,17995.6,15706.05,14810.82,14851.9,15669.97,17380.61,16081.75,14379.61,14248.94,17533.99,15588.47,11811.9,16182.33,16664.96,14584.53,15563.39,16482.6,16782.93,13462,16481.42
, = 영업이익,525.44,1891.42,5285.23,2669.31,3525.05,2170.82,3981.31,2400.8,2848.7,176.58,4174.88,5618.43,3104.18,1157.83,5579.08,3836.87,2555.08,-486.09,5603.87,4365.17
,* 지배순이익,514.86,1456.31,4828.89,2429.55,2774.85,1609.83,3254.51,2476.89,2208.14,1184.61,4102.09,4937.51,2949.8,1385.48,4636.92,4427.62,2719.89,327.9,12400.54,3294.97
,매출원가비중,47.98,51.43,49.29,54.81,65.81,65.43,70.94,59.25,58.73,58.87,53.54,60.08,55.14,60.76,55.53,55.67,55.09,61.24,54.1,50.65
,매출총이익율,52.02,48.57,50.71,45.19,34.19,34.57,29.06,40.75,41.27,41.13,46.46,39.92,44.86,39.24,44.47,44.33,44.91,38.76,45.9,49.35
,판관비율,50.54,43.35,37.37,38.3,27.91,30.73,23.29,34.92,34.4,40.72,36.65,27.05,37.64,36.69,32.16,35.56,38.88,39.92,32.41,39.02
,영업이익률,1.48,5.22,13.34,6.88,6.28,3.84,5.77,5.83,6.88,0.41,9.81,12.87,7.22,2.55,12.3,8.77,6.03,-1.16,13.49,10.33
,지배순이익률,1.45,4.02,12.18,6.27,4.94,2.85,4.71,6.01,5.33,2.75,9.64,11.31,6.86,3.05,10.23,10.12,6.42,0.78,29.86,7.8
,매출액YOY(%),,,,,57.66,56.07,74.22,6.21,-26.2,-23.85,-38.4,6.02,3.79,5.48,6.6,0.23,-1.4,-7.45,-8.4,-3.48
,영업이익YOY(%),,,,,570.88,14.77,-24.67,-10.06,-19.19,-91.87,4.86,134.02,8.97,555.7,33.63,-31.71,-17.69,-141.98,0.44,13.77
,지배순이익YOY(%),,,,,438.95,10.54,-32.6,1.95,-20.42,-26.41,26.04,99.34,33.59,16.96,13.04,-10.33,-7.79,-76.33,167.43,-25.58
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
