,메디포스트,A078160,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,66.67,60.14,73.28,68.44,75.24,135.22,91.21,96.55,90.56,136.73,78.27,87.32,94.66,153.79,104.82,104.43,89.91,76.55,80.43,71.5
, - 매출원가,18.53,20.54,22.74,28.13,30.73,89.81,42.94,50.42,38.7,87.6,36.33,46.88,48.42,97.33,43.49,41.02,40.55,30.74,33.82,32.03
, = 매출총이익,48.14,39.6,50.54,40.31,44.51,45.41,48.27,46.13,51.86,49.13,41.94,40.44,46.24,56.46,61.33,63.41,49.36,45.81,46.61,39.47
, - 판매비와관리비,36.52,35.81,45.1,49.29,49.36,45.3,49.92,51.16,50.71,45.6,50.36,51.12,49.75,51.6,56.84,56.83,60.86,47.5,59.19,63.85
, = 영업이익,11.62,3.79,5.44,-8.98,-4.85,0.11,-1.65,-5.03,1.15,3.53,-8.42,-10.68,-3.51,4.86,4.49,6.58,-11.5,-1.69,-12.58,-24.38
,* 지배순이익,16.68,-12.99,12.07,-7.41,-3.3,17.85,11.3,-13.41,11.15,0.91,-10.43,-2.86,-6.01,0.78,21.72,21.02,-10.2,-4.76,-5.56,-21.42
,매출원가비중,27.79,34.15,31.03,41.1,40.84,66.42,47.08,52.22,42.73,64.07,46.42,53.69,51.15,63.29,41.49,39.28,45.1,40.16,42.05,44.8
,매출총이익율,72.21,65.85,68.97,58.9,59.16,33.58,52.92,47.78,57.27,35.93,53.58,46.31,48.85,36.71,58.51,60.72,54.9,59.84,57.95,55.2
,판관비율,54.78,59.54,61.54,72.02,65.6,33.5,54.73,52.99,56,33.35,64.34,58.54,52.56,33.55,54.23,54.42,67.69,62.05,73.59,89.3
,영업이익률,17.43,6.3,7.42,-13.12,-6.45,0.08,-1.81,-5.21,1.27,2.58,-10.76,-12.23,-3.71,3.16,4.28,6.3,-12.79,-2.21,-15.64,-34.1
,지배순이익률,25.02,-21.6,16.47,-10.83,-4.39,13.2,12.39,-13.89,12.31,0.67,-13.33,-3.28,-6.35,0.51,20.72,20.13,-11.34,-6.22,-6.91,-29.96
,매출액YOY(%),,,,,12.85,124.84,24.47,41.07,20.36,1.12,-14.19,-9.56,4.53,12.48,33.92,19.59,-5.02,-50.22,-23.27,-31.53
,영업이익YOY(%),,,,,-141.74,-97.1,-130.33,43.99,123.71,3109.09,-410.3,-112.33,-405.22,37.68,153.33,161.61,-227.64,-134.77,-380.18,-470.52
,지배순이익YOY(%),,,,,-119.78,237.41,-6.38,-80.97,437.88,-94.9,-192.3,78.67,-153.9,-14.29,308.25,834.97,-69.72,-710.26,-125.6,-201.9
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,66.2,68.4,96.57,120.81,92.7,112.42,114.98,110.74,109.3,108.81,123.29,113.35,111.45,110.02,122.36,117.86,118.42,127.61,0,
