,오스코텍,A039200,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,50.47,27.84,29.05,33.34,41.8,46.69,61.14,61.43,60.18,35.84,47.22,39.38,47.38,37.12,43.57,37.07,56.65,46.07,52.36,5.26
, - 매출원가,37.37,17.96,20.92,25.29,32.27,48.98,29.4,36.56,33.73,25.13,27.84,19.54,27.84,19.98,24.51,22,26.04,25.98,31.31,2.92
, = 매출총이익,13.1,9.88,8.13,8.05,9.53,-2.29,31.74,24.87,26.45,10.71,19.38,19.84,19.54,17.14,19.06,15.07,30.61,20.09,21.05,2.34
, - 판매비와관리비,12.65,3.03,10.43,8.51,10.25,17.5,22.33,22.16,24.98,33.15,20.36,20.02,19.4,23.68,21.18,20.76,18.61,17.42,22.64,10.95
, = 영업이익,0.45,6.85,-2.3,-0.46,-0.72,-19.79,9.41,2.71,1.47,-22.44,-0.98,-0.18,0.14,-6.54,-2.12,-5.69,12,2.67,-1.59,-8.61
,* 지배순이익,-0.85,-17.49,-4.98,5.52,-4.43,-151.83,8.54,-0.04,-6.98,-41.22,-0.52,-2.83,-1.68,-15.19,-5.62,-3.66,13.84,-0.61,-3.31,-34.72
,매출원가비중,74.04,64.51,72.01,75.85,77.2,104.9,48.09,59.51,56.05,70.12,58.96,49.62,58.76,53.83,56.25,59.35,45.97,56.39,59.8,55.51
,매출총이익율,25.96,35.49,27.99,24.15,22.8,-4.9,51.91,40.49,43.95,29.88,41.04,50.38,41.24,46.17,43.75,40.65,54.03,43.61,40.2,44.49
,판관비율,25.06,10.88,35.9,25.52,24.52,37.48,36.52,36.07,41.51,92.49,43.12,50.84,40.95,63.79,48.61,56,32.85,37.81,43.24,208.17
,영업이익률,0.89,24.6,-7.92,-1.38,-1.72,-42.39,15.39,4.41,2.44,-62.61,-2.08,-0.46,0.3,-17.62,-4.87,-15.35,21.18,5.8,-3.04,-163.69
,지배순이익률,-1.68,-62.82,-17.14,16.56,-10.6,-325.19,13.97,-0.07,-11.6,-115.01,-1.1,-7.19,-3.55,-40.92,-12.9,-9.87,24.43,-1.32,-6.32,-660.08
,매출액YOY(%),,,,,-17.18,67.71,110.46,84.25,43.97,-23.24,-22.77,-35.89,-21.27,3.57,-7.73,-5.87,19.57,24.11,20.17,-85.81
,영업이익YOY(%),,,,,-260,-388.91,509.13,689.13,304.17,-13.39,-110.41,-106.64,-90.48,70.86,-116.33,-3061.11,8471.43,140.83,25,-51.32
,지배순이익YOY(%),,,,,-421.18,-768.1,271.49,-100.72,-57.56,72.85,-106.09,-6975,75.93,63.15,-980.77,-29.33,923.81,95.98,41.1,-848.63
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,7.67,-29.75,13.31,9,10.24,6.53,11.44,9.88,11.32,154.39,10.98,11.13,12.35,9.23,9.5,155.26,7.83,262.11,0,
