,진원생명과학,A011000,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,51.29,43.5,31.38,35.27,41.98,40.75,41.7,52.29,40.03,72.56,71.84,69,60.28,45.14,62.11,81.41,74.14,65.99,72.56,78.82
, - 매출원가,47.91,42.29,28.57,32.12,38.69,32.18,39.7,54.19,34.49,36.46,49.88,53.49,47.95,54.94,47.33,57.29,51.31,51.29,56.55,60.7
, = 매출총이익,3.38,1.21,2.81,3.15,3.29,8.57,2,-1.9,5.54,36.1,21.96,15.51,12.33,-9.8,14.78,24.12,22.83,14.7,16.01,18.12
, - 판매비와관리비,5.93,10.18,12.35,13.74,10.24,37.38,20.73,24.7,19.75,39.65,26.02,26.25,23.34,28.66,24.09,34.7,23.76,30.15,28.13,68.81
, = 영업이익,-2.55,-8.97,-9.54,-10.59,-6.95,-28.81,-18.73,-26.6,-14.21,-3.55,-4.06,-10.74,-11.01,-38.46,-9.31,-10.58,-0.93,-15.45,-12.12,-50.69
,* 지배순이익,-1.23,-10.95,-10.17,-9.05,-10.31,-25.67,-32.36,-28.18,-17.91,-5.18,-3.46,-13.38,-9.77,-38.3,-8.31,-9.18,35.3,-3.67,-12.14,-51.76
,매출원가비중,93.41,97.22,91.05,91.07,92.16,78.97,95.2,103.63,86.16,50.25,69.43,77.52,79.55,121.71,76.2,70.37,69.21,77.72,77.94,77.01
,매출총이익율,6.59,2.78,8.95,8.93,7.84,21.03,4.8,-3.63,13.84,49.75,30.57,22.48,20.45,-21.71,23.8,29.63,30.79,22.28,22.06,22.99
,판관비율,11.56,23.4,39.36,38.96,24.39,91.73,49.71,47.24,49.34,54.64,36.22,38.04,38.72,63.49,38.79,42.62,32.05,45.69,38.77,87.3
,영업이익률,-4.97,-20.62,-30.4,-30.03,-16.56,-70.7,-44.92,-50.87,-35.5,-4.89,-5.65,-15.57,-18.26,-85.2,-14.99,-13,-1.25,-23.41,-16.7,-64.31
,지배순이익률,-2.4,-25.17,-32.41,-25.66,-24.56,-62.99,-77.6,-53.89,-44.74,-7.14,-4.82,-19.39,-16.21,-84.85,-13.38,-11.28,47.61,-5.56,-16.73,-65.67
,매출액YOY(%),,,,,-18.15,-6.32,32.89,48.26,-4.65,78.06,72.28,31.96,50.59,-37.79,-13.54,17.99,22.99,46.19,16.82,-3.18
,영업이익YOY(%),,,,,-172.55,-221.18,-96.33,-151.18,-104.46,87.68,78.32,59.62,22.52,-983.38,-129.31,1.49,91.55,59.83,-30.18,-379.11
,지배순이익YOY(%),,,,,-738.21,-134.43,-218.19,-211.38,-73.71,79.82,89.31,52.52,45.45,-639.38,-140.17,31.39,461.31,90.42,-46.09,-463.83
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,72.76,89.57,66.69,65.46,76.76,62.8,76.44,82.01,86.77,97.7,73.89,100.2,113.98,124.34,83.91,103.16,107.97,119.99,0,
