,헬릭스미스,A084990,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,1.12,15.97,7.94,7.52,17.76,5.66,8.77,12.62,12.51,23.55,5.25,13.52,9.73,32.88,3.99,10.8,22.93,39.23,5.66,29.87
, - 매출원가,1.37,1.98,1.45,2.38,2.15,1.85,1.49,0.99,0.97,1.53,1.06,1.67,1.3,1.8,1.04,1.55,1.51,2.28,0.91,1.21
, = 매출총이익,-0.25,13.99,6.49,5.14,15.61,3.81,7.28,11.63,11.54,22.02,4.19,11.85,8.43,31.08,2.95,9.25,21.42,36.95,4.75,28.66
, - 판매비와관리비,11.44,17.94,11.07,12.67,12.05,11.79,11.68,13.09,11.4,12.5,12.84,13.66,13.51,13.08,14.1,13.73,14.13,17.88,15.13,14.6
, = 영업이익,-11.69,-3.95,-4.58,-7.53,3.56,-7.98,-4.4,-1.46,0.14,9.52,-8.65,-1.81,-5.08,18,-11.15,-4.48,7.29,19.07,-10.38,14.06
,* 지배순이익,-21.08,-59.32,-4.01,-9.86,9.46,-41.95,-5.68,5.61,10.94,-8.21,-9.22,-1.91,-6.73,19.46,-11.87,-5.48,0.32,19.61,-7.8,16.13
,매출원가비중,122.32,12.4,18.26,31.65,12.11,32.69,16.99,7.84,7.75,6.5,20.19,12.35,13.36,5.47,26.07,14.35,6.59,5.81,16.08,4.05
,매출총이익율,-22.32,87.6,81.74,68.35,87.89,67.31,83.01,92.16,92.25,93.5,79.81,87.65,86.64,94.53,73.93,85.65,93.41,94.19,83.92,95.95
,판관비율,1021.43,112.34,139.42,168.48,67.85,208.3,133.18,103.72,91.13,53.08,244.57,101.04,138.85,39.78,353.38,127.13,61.62,45.58,267.31,48.88
,영업이익률,-1043.75,-24.73,-57.68,-100.13,20.05,-140.99,-50.17,-11.57,1.12,40.42,-164.76,-13.39,-52.21,54.74,-279.45,-41.48,31.79,48.61,-183.39,47.07
,지배순이익률,-1882.14,-371.45,-50.5,-131.12,53.27,-741.17,-64.77,44.45,87.45,-34.86,-175.62,-14.13,-69.17,59.18,-297.49,-50.74,1.4,49.99,-137.81,54
,매출액YOY(%),,,,,1485.71,-64.56,10.45,67.82,-29.56,316.08,-40.14,7.13,-22.22,39.62,-24,-20.12,135.66,19.31,41.85,176.57
,영업이익YOY(%),,,,,130.45,-102.03,3.93,80.61,-96.07,219.3,-96.59,-23.97,-3728.57,89.08,-28.9,-147.51,243.5,5.94,6.91,413.84
,지배순이익YOY(%),,,,,144.88,29.28,-41.65,156.9,15.64,80.43,-62.32,-134.05,-161.52,337.03,-28.74,-186.91,104.75,0.77,34.29,394.34
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,17.31,15.6,3.97,10.25,8.32,9.04,4.74,10.58,7.19,8.76,4.66,9.54,13.57,16.78,8.53,14.79,9.58,10.15,0,
, - 매출원가,1.88,38.28,0.8,2.33,1.25,1.32,1.16,0.88,1.22,2.85,1.4,7.53,35.97,-0.59,3.18,5.41,3.15,3.66,,
, = 매출총이익,15.43,-22.68,3.17,7.92,7.07,7.72,3.58,9.7,5.97,5.91,3.26,2.01,-22.4,17.37,5.35,9.38,6.43,6.49,,
, - 판매비와관리비,14.79,1.47,20.11,25.76,24.84,24.57,28.5,47.35,64.74,84.46,92.09,102.61,105.32,117.56,159.53,237.44,150.54,191.15,,
, = 영업이익,0.64,-24.15,-16.94,-17.84,-17.77,-16.85,-24.92,-37.65,-58.77,-78.55,-88.83,-100.6,-127.72,-100.19,-154.18,-228.06,-144.11,-184.66,0,
,* 지배순이익,1.95,-17.42,-15.17,-10.01,-9.43,-30.35,-22.1,-20.75,-59.32,-185.11,-169.14,136.52,-95.92,-941.83,-285.72,-209.67,-156.64,-176.54,0,
,매출원가비중,10.86,245.38,20.15,22.73,15.02,14.6,24.47,8.32,16.97,32.53,30.04,78.93,265.07,-3.52,37.28,36.58,32.88,36.06,,
,매출총이익율,89.14,-145.38,79.85,77.27,84.98,85.4,75.53,91.68,83.03,67.47,69.96,21.07,-165.07,103.52,62.72,63.42,67.12,63.94,,
,판관비율,85.44,9.42,506.55,251.32,298.56,271.79,601.27,447.54,900.42,964.16,1976.18,1075.58,776.12,700.6,1870.22,1605.41,1571.4,1883.25,,
,영업이익률,3.7,-154.81,-426.7,-174.05,-213.58,-186.39,-525.74,-355.86,-817.39,-896.69,-1906.22,-1054.51,-941.19,-597.08,-1807.5,-1541.99,-1504.28,-1819.31,0,
,지배순이익률,11.27,-111.67,-382.12,-97.66,-113.34,-335.73,-466.24,-196.12,-825.03,-2113.13,-3629.61,1431.03,-706.85,-5612.81,-3349.59,-1417.65,-1635.07,-1739.31,0,
,매출액YOY(%),-24.51,-60.23,-29.86,-65.68,-51.94,-42.05,19.4,3.22,-13.58,-3.1,-1.69,-9.83,88.73,91.55,83.05,55.03,-29.4,-39.51,0,
,영업이익YOY(%),-91.22,-226.64,-63.2,-226.88,-2876.56,30.23,-47.11,-111.04,-230.73,-366.17,-256.46,-167.2,-117.32,-27.55,-73.57,-126.7,-12.83,-84.31,0,
,지배순이익YOY(%),509.38,-188.83,-94.49,-162.06,-583.59,-74.23,-45.68,-107.29,-529.06,-509.92,-665.34,757.93,-61.7,-408.79,-68.93,-253.58,-63.3,81.26,0,
,,,,,,,,,,,,,,,,,,,,,
,개별 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,1.12,15.97,7.94,7.52,17.76,5.66,8.77,12.62,12.51,23.55,5.25,13.52,9.73,32.88,3.99,10.8,22.93,39.23,5.66,29.87
,영업이익,-11.69,-3.95,-4.81,-7.83,3.56,-7.68,-4.4,-1.46,0.14,9.52,-8.65,-1.81,-5.08,18,-11.15,-4.48,7.29,19.07,-10.38,14.06
,순이익,-21.08,-59.32,-4.01,-9.86,9.46,-41.96,-5.69,5.59,10.93,-8.21,-9.23,-1.92,-6.74,19.48,-11.87,-5.48,0.32,19.61,-7.8,16.13
,영업이익율(%),-1043.75,-24.73,-60.58,-104.12,20.05,-135.69,-50.17,-11.57,1.12,40.42,-164.76,-13.39,-52.21,54.74,-279.45,-41.48,31.79,48.61,-183.39,47.07
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,17.31,15.6,3.97,10.25,8.32,9.04,4.74,10.58,7.19,9.36,3.56,8.47,15.74,16.78,8.41,14.33,9.58,10.68,0,
,영업이익,0.64,-1.29,-12.96,-6.24,-9.99,-40.23,-23.67,-34.32,-42.1,-41.21,-51.47,-98.04,-107.85,-107.52,-113.03,-204.37,-99.62,-140.75,0,
,순이익,1.95,-4.78,-11.18,1.59,-1.64,-53.72,-20.86,-17.41,-42.66,-205.9,-168.92,133.34,-95.92,-939.99,-285.82,-216.07,-155.89,-171.85,0,
,영업이익율(%),3.7,-8.27,-326.45,-60.88,-120.07,-445.02,-499.37,-324.39,-585.54,-440.28,-1445.79,-1157.5,-685.2,-640.76,-1344,-1426.17,-1039.88,-1317.88,0,
