,GS,A078930,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,21305.44,23080.81,23775.75,24345.19,25427.86,23608.34,24597.48,22060.98,25463.61,23709.86,26473.89,26088.16,27257.45,28841.81,27849.42,34110.01,29529.86,30305.81,30672.12,33250.96
, - 매출원가,18008.44,18772.23,19178.54,21177.4,20048.2,19346,20011.59,18501.52,19947.37,20518.38,22855.37,22405.12,23981.97,27644.49,22745.68,23945,23149.33,23150.42,23996.64,24685
, = 매출총이익,3297,4308.58,4597.21,3167.79,5379.66,4262.34,4585.89,3559.46,5516.24,3191.48,3618.52,3683.04,3275.48,1197.32,5103.74,10165.01,6380.53,7155.39,6675.48,8565.96
, - 판매비와관리비,2100.96,2721.9,2433.97,2468.45,2782.34,2879.55,2791.34,2812.1,2874.89,2853.44,2929.74,3025.53,3035.43,3126.94,3123.43,3136.49,3202.47,3299.05,3391.77,3549.72
, = 영업이익,1196.04,1586.68,2163.24,699.34,2597.32,1382.79,1794.55,747.36,2641.35,338.04,688.78,657.51,240.05,-1929.62,1980.31,7028.52,3178.06,3856.34,3283.71,5016.24
,* 지배순이익,748.61,1254.3,1790.57,148.31,2039.27,962.15,1438.5,312.49,2310.51,-483.36,338.59,114.11,-445.61,-3476.38,1215,2455.33,603.75,647.96,1523.07,2603.44
,매출원가비중,84.53,81.33,80.66,86.99,78.84,81.95,81.36,83.87,78.34,86.54,86.33,85.88,87.98,95.85,81.67,70.2,78.39,76.39,78.24,74.24
,매출총이익율,15.47,18.67,19.34,13.01,21.16,18.05,18.64,16.13,21.66,13.46,13.67,14.12,12.02,4.15,18.33,29.8,21.61,23.61,21.76,25.76
,판관비율,9.86,11.79,10.24,10.14,10.94,12.2,11.35,12.75,11.29,12.03,11.07,11.6,11.14,10.84,11.22,9.2,10.84,10.89,11.06,10.68
,영업이익률,5.61,6.87,9.1,2.87,10.21,5.86,7.3,3.39,10.37,1.43,2.6,2.52,0.88,-6.69,7.11,20.61,10.76,12.72,10.71,15.09
,지배순이익률,3.51,5.43,7.53,0.61,8.02,4.08,5.85,1.42,9.07,-2.04,1.28,0.44,-1.63,-12.05,4.36,7.2,2.04,2.14,4.97,7.83
,매출액YOY(%),,,,,19.35,2.29,3.46,-9.38,0.14,0.43,7.63,18.25,7.04,21.64,5.2,30.75,8.34,5.08,10.14,-2.52
,영업이익YOY(%),,,,,117.16,-12.85,-17.04,6.87,1.7,-75.55,-61.62,-12.02,-90.91,-670.83,187.51,968.96,1223.92,299.85,65.82,-28.63
,지배순이익YOY(%),,,,,172.41,-23.29,-19.66,110.7,13.3,-150.24,-76.46,-63.48,-119.29,-619.21,258.84,2051.72,235.49,118.64,25.36,6.03
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
