,SK디스커버리,A006120,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,22405.16,21709.97,23378.26,20784.29,21751.14,25687.15,18864.35,19157.04,21380.62,23163.49,20190.09,19056.71,16711.9,16877.39,11869.7,12382.09,14397.3,14042.66,14345.41,16282.83
, - 매출원가,20393.98,19718.32,21704.57,18956.45,20025.21,24054.52,17371.05,17470.32,19570.51,21340.22,18673.27,17307.7,14887.64,15374.97,10671.47,11026.98,12677.51,12204.91,12349.09,14430.02
, = 매출총이익,2011.18,1991.65,1673.69,1827.84,1725.93,1632.63,1493.3,1686.72,1810.11,1823.27,1516.82,1749.01,1824.26,1502.42,1198.23,1355.11,1719.79,1837.75,1996.32,1852.81
, - 판매비와관리비,1148.41,1477.66,1155.25,1157.52,1195.98,1445.1,1136.63,1220.4,1165.69,1350.36,1270.74,1251.44,1159.8,1414.68,1129.93,1133.04,1205.17,1443.71,1280.66,1254.64
, = 영업이익,862.77,513.99,518.44,670.32,529.95,187.53,356.67,466.32,644.42,472.91,246.08,497.57,664.46,87.74,68.3,222.07,514.62,394.04,715.66,598.17
,* 지배순이익,735.61,291.08,600.59,258.57,385.68,-447.01,-276.52,63.31,124.72,-220.52,-100.28,87.79,183.75,-422.15,-102,-55.08,398.62,313.97,268.94,320.68
,매출원가비중,91.02,90.83,92.84,91.21,92.07,93.64,92.08,91.2,91.53,92.13,92.49,90.82,89.08,91.1,89.91,89.06,88.05,86.91,86.08,88.62
,매출총이익율,8.98,9.17,7.16,8.79,7.93,6.36,7.92,8.8,8.47,7.87,7.51,9.18,10.92,8.9,10.09,10.94,11.95,13.09,13.92,11.38
,판관비율,5.13,6.81,4.94,5.57,5.5,5.63,6.03,6.37,5.45,5.83,6.29,6.57,6.94,8.38,9.52,9.15,8.37,10.28,8.93,7.71
,영업이익률,3.85,2.37,2.22,3.23,2.44,0.73,1.89,2.43,3.01,2.04,1.22,2.61,3.98,0.52,0.58,1.79,3.57,2.81,4.99,3.67
,지배순이익률,3.28,1.34,2.57,1.24,1.77,-1.74,-1.47,0.33,0.58,-0.95,-0.5,0.46,1.1,-2.5,-0.86,-0.44,2.77,2.24,1.87,1.97
,매출액YOY(%),,,,,-2.92,18.32,-19.31,-7.83,-1.7,-9.82,7.03,-0.52,-21.84,-27.14,-41.21,-35.03,-13.85,-16.8,20.86,31.5
,영업이익YOY(%),,,,,-38.58,-63.51,-31.2,-30.43,21.6,152.18,-31.01,6.7,3.11,-81.45,-72.24,-55.37,-22.55,349.1,947.82,169.36
,지배순이익YOY(%),,,,,-47.57,-253.57,-146.04,-75.52,-67.66,50.67,63.73,38.67,47.33,-91.43,-1.72,-162.74,116.94,174.37,363.67,682.21
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
