,대한그린파워,A060900,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,76.59,82.55,65.13,71.76,68.29,263.47,353.3,364.26,358.18,297.19,356.97,303.29,331.62,149.23,248.5,1.86,92.64,44.09,56.87,62.33
, - 매출원가,63.96,70.61,47.52,58.9,62.38,232.47,319.75,339.96,293.61,329.78,332.62,305.41,288.45,322.73,248.79,6.39,88.19,67.51,63.51,50.36
, = 매출총이익,12.63,11.94,17.61,12.86,5.91,31,33.55,24.3,64.57,-32.59,24.35,-2.12,43.17,-173.5,-0.29,-4.53,4.45,-23.42,-6.64,11.97
, - 판매비와관리비,7.55,9.41,11.48,9.18,10.76,25.14,23.98,25.54,33.29,28.13,24.22,22.19,23.29,52.88,19.91,9.25,-3.91,19.38,0.89,3.55
, = 영업이익,5.08,2.53,6.13,3.68,-4.85,5.86,9.57,-1.24,31.28,-60.72,0.13,-24.31,19.88,-226.38,-20.2,-13.78,8.36,-42.8,-7.53,8.42
,* 지배순이익,3.33,-2.43,3.75,1.28,-4.36,17.34,1.63,-17.39,17.94,-163.57,3.77,-56.71,2.57,-382.85,36.59,-40.81,-6.61,-82.72,-10.28,-19.74
,매출원가비중,83.51,85.54,72.96,82.08,91.35,88.23,90.5,93.33,81.97,110.97,93.18,100.7,86.98,216.26,100.12,343.55,95.2,153.12,111.68,80.8
,매출총이익율,16.49,14.46,27.04,17.92,8.65,11.77,9.5,6.67,18.03,-10.97,6.82,-0.7,13.02,-116.26,-0.12,-243.55,4.8,-53.12,-11.68,19.2
,판관비율,9.86,11.4,17.63,12.79,15.76,9.54,6.79,7.01,9.29,9.47,6.78,7.32,7.02,35.44,8.01,497.31,-4.22,43.96,1.56,5.7
,영업이익률,6.63,3.06,9.41,5.13,-7.1,2.22,2.71,-0.34,8.73,-20.43,0.04,-8.02,5.99,-151.7,-8.13,-740.86,9.02,-97.07,-13.24,13.51
,지배순이익률,4.35,-2.94,5.76,1.78,-6.38,6.58,0.46,-4.77,5.01,-55.04,1.06,-18.7,0.77,-256.55,14.72,-2194.09,-7.14,-187.62,-18.08,-31.67
,매출액YOY(%),,,,,-10.84,219.16,442.45,407.61,424.5,12.8,1.04,-16.74,-7.42,-49.79,-30.39,-99.39,-72.06,-70.46,-77.11,3251.08
,영업이익YOY(%),,,,,-195.47,131.62,56.12,-133.7,744.95,-1136.18,-98.64,-1860.48,-36.45,-272.83,-15638.46,43.32,-57.95,81.09,62.72,161.1
,지배순이익YOY(%),,,,,-230.93,813.58,-56.53,-1458.59,511.47,-1043.31,131.29,-226.11,-85.67,-134.06,870.56,28.04,-357.2,78.39,-128.1,51.63
