,안랩,A053800,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,229.45,324.53,264.11,294.83,303.66,419.57,283.65,333.87,314.57,441.2,287.38,347.65,315.79,403.4,260.32,311.4,307.87,464.94,274.92,334.72
, - 매출원가,58.06,115.83,82.44,85.6,93.11,164.32,87.53,107.71,101.29,178.88,65.92,93.26,91.23,131.72,46.26,71.18,65.08,177.85,42.16,77.78
, = 매출총이익,171.39,208.7,181.67,209.23,210.55,255.25,196.12,226.16,213.28,262.32,221.46,254.39,224.56,271.68,214.06,240.22,242.79,287.09,232.76,256.94
, - 판매비와관리비,141.38,204.84,160.13,171.79,175.59,217.84,198.05,214.88,210.63,234.88,211.71,223.97,207.88,238.33,212.23,221.85,208.74,221.73,219.55,232.38
, = 영업이익,30.01,3.86,21.54,37.44,34.96,37.41,-1.93,11.28,2.65,27.44,9.75,30.42,16.68,33.35,1.83,18.37,34.05,65.36,13.21,24.56
,* 지배순이익,-1.06,32.44,39.33,49.63,55.72,11.29,21.47,16.47,5.64,20.8,12.32,28.46,19.33,30.33,4.61,22.01,30.77,61.8,16.33,27
,매출원가비중,25.3,35.69,31.21,29.03,30.66,39.16,30.86,32.26,32.2,40.54,22.94,26.83,28.89,32.65,17.77,22.86,21.14,38.25,15.34,23.24
,매출총이익율,74.7,64.31,68.79,70.97,69.34,60.84,69.14,67.74,67.8,59.46,77.06,73.17,71.11,67.35,82.23,77.14,78.86,61.75,84.66,76.76
,판관비율,61.62,63.12,60.63,58.27,57.82,51.92,69.82,64.36,66.96,53.24,73.67,64.42,65.83,59.08,81.53,71.24,67.8,47.69,79.86,69.43
,영업이익률,13.08,1.19,8.16,12.7,11.51,8.92,-0.68,3.38,0.84,6.22,3.39,8.75,5.28,8.27,0.7,5.9,11.06,14.06,4.81,7.34
,지배순이익률,-0.46,10,14.89,16.83,18.35,2.69,7.57,4.93,1.79,4.71,4.29,8.19,6.12,7.52,1.77,7.07,9.99,13.29,5.94,8.07
,매출액YOY(%),,,,,32.34,29.29,7.4,13.24,3.59,5.16,1.32,4.13,0.39,-8.57,-9.42,-10.43,-2.51,15.26,5.61,7.49
,영업이익YOY(%),,,,,16.49,869.17,-108.96,-69.87,-92.42,-26.65,605.18,169.68,529.43,21.54,-81.23,-39.61,104.14,95.98,621.86,33.7
,지배순이익YOY(%),,,,,5356.6,-65.2,-45.41,-66.81,-89.88,84.23,-42.62,72.8,242.73,45.82,-62.58,-22.66,59.18,103.76,254.23,22.67
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,376.6,442.56,328.52,358.14,391.86,424.08,376.02,400.36,395.65,426.12,394.02,416.59,430.6,428.71,404.09,447.78,426.14,503.86,0,
, - 매출원가,108.99,143.3,69.2,78.95,79.51,115.83,70.55,74.61,68.49,-213.65,68.18,70.49,81.2,-219.88,77.25,81.21,76.45,-234.91,,
